Word	Label
lt	1
the	2
to	3
i	4
you	5
enron	6
and	7
a	8
is	9
for	10
on	11
kim	12
of	13
com	14
in	15
have	16
ward	17
that	18
with	19
me	20
this	21
it	22
if	23
are	24
be	25
we	26
20001	27
will	28
	29
amp	30
know	31
ect	32
subject	33
from	34
your	35
thanks	36
s	37
at	38
re	39
let	40
not	41
et	42
get	43
as	44
would	45
can	46
am	47
please	48
my	49
hou	50
what	51
out	52
was	53
do	54
any	55
just	56
up	57
gas	58
04	59
attached	60
or	61
cc	62
e	63
sent	64
they	65
but	66
so	67
stacy	68
need	69
our	70
call	71
all	72
when	73
them	74
there	75
about	76
going	77
amto	78
like	79
message	80
pmto	81
one	82
good	83
no	84
questions	85
agreement	86
10	87
by	88
ectcc	89
should	90
back	91
here	92
think	93
1	94
12	95
want	96
april	97
number	98
lynn	99
us	100
how	101
go	102
has	103
original	104
also	105
2	106
these	107
000	108
some	109
master	110
see	111
03	112
did	113
age	114
their	115
credit	116
time	117
an	118
09	119
deal	120
02	121
ca	122
price	123
enronxgate	124
had	125
were	126
x	127
pg	128
night	129
4	130
new	131
5	132
aol	133
he	134
power	135
more	136
email	137
20	138
com'	139
could	140
make	141
don't	142
she	143
i'm	144
been	145
very	146
111	147
changes	148
san	149
terminal	150
now	151
chris	152
tuesday	153
into	154
week	155
anything	156
'kim	157
who	158
houston	159
713	160
confirmation	161
06	162
find	163
take	164
got	165
8	166
mail	167
work	168
still	169
07	170
hope	171
confirmed	172
check	173
pm	174
john	175
czn	176
great	177
which	178
send	179
friday	180
tell	181
monday	182
version	183
dickson	184
853	185
embedded	186
stdolelink	187
tbroderi	188
blair	189
other	190
prices	191
day	192
sure	193
estrickland	194
mieco	195
too	196
where	197
dan	198
calpeak	199
05	200
01	201
date	202
non	203
then	204
ok	205
guys	206
help	207
him	208
next	209
information	210
sale	211
reservation	212
7	213
6	214
same	215
last	216
place	217
jose	218
might	219
2000	220
3	221
can't	222
long	223
keep	224
days	225
forward	226
30	227
again	228
may	229
kids	230
use	231
give	232
looking	233
june	234
19	235
contract	236
08	237
come	238
after	239
change	240
k	241
people	242
firm	243
legal	244
sorry	245
dinner	246
better	247
trip	248
name	249
things	250
purchase	251
corp	252
review	253
look	254
23	255
right	256
weekend	257
today	258
well	259
thursday	260
15	261
yes	262
year	263
draft	264
term	265
seat	266
copy	267
much	268
tom	269
before	270
eric	271
mailto	272
28	273
supply	274
phone	275
ava	276
c	277
duration	278
comments	279
14	280
california	281
only	282
else	283
citizens	284
working	285
energy	286
through	287
stop	288
two	289
office	290
physical	291
his	292
phoenix	293
reps	294
married	295
debra	296
enroncc	297
city	298
26apr	299
airlines	300
aircraft	301
