Word	Label
the	1
to	2
you	3
out	4
this	5
a	6
at	7
is	8
i	9
not	10
for	11
with	12
index	13
2000	14
com	15
in	16
ww	17
gorelieberman	18
and	19
too	20
my	21
check	22
please	23
going	24
of	25
larry	26
will	27
big	28
we	29
just	30
can	31
thanks	32
it	33
that	34
how	35
guy	36
by	37
gas	38
be	39
stay	40
gotta	41
are	42
option	43
priced	44
book	45
oct	46
night	47
yes	48
up	49
enron	50
on	51
your	52
time	53
until	54
000	55
meet	56
know	57
if	58
it's	59
what	60
all	61
here	62
30	63
or	64
much	65
find	66
daily	67
puts	68
locations	69
put	70
me	71
cash	72
spot	73
month	74
nov	75
mar	76
apr	77
6	78
like	79
quenet	80
as	81
help	82
line	83
set	84
today	85
susan	86
work	87
desk	88
she	89
has	90
problems	91
he	92
one	93
appointment	94
3	95
any	96
other	97
day	98
thankslarry	99
ok	100
there	101
second	102
fed	103
ex	104
when	105
boys	106
were	107
those	108
no	109
room	110
went	111
i'll	112
about	113
house	114
pm	115
trying	116
trouble	117
small	118
long	119
short	120
get	121
everyone	122
hop	123
could	124
pricing	125
currently	126
system	127
calls	128
premiums	129
discounts	130
level	131
call	132
values	133
1	134
flat	135
2	136
order	137
discuss	138
options	139
use	140
number	141
12	142
transco	143
zone	144
sounds	145
another	146
ranch	147
pleasure	148
dear	149
stephanie	150
per	151
eol	152
id	153
password	154
joe	155
maybe	156
would	157
enjoy	158
s	159
understanding	160
full	161
offered	162
permiting	163
her	164
replacement	165
completely	166
comfortable	167
sorry	168
late	169
notice	170
forgot	171
had	172
dentist	173
week	174
don't	175
worry	176
blood	177
pressure	178
probably	179
right	180
now	181
morgage	182
company	183
took	184
additional	185
funds	186
leave	187
envelope	188
office	189
already	190
been	191
delivered	192
do	193
mean	194
thought	195
gym	196
times	197
go	198
democrat	199
http	200
gasfundy	201
corp	202
framework	203
default	204
asp	205
hey	206
w	207
first	208
women	209
rob	210
shared	211
third	212
sleep	213
9	214
slight	215
buzz	216
have	217
dental	218
post	219
oak	220
area	221
4000pm	222
410	223
so	224
talk	225
tomorrow	226
pop	227
yvette's	228
boyfriend	229
home	230
around	231
ish	232
called	233
andm	234
only	235
got	236
voice	237
mail	238
we're	239
rob's	240
4	241
nimble	242
alert	243
everyone's	244
ya'	245
'bout	246
boilermakers	247
an	248
amp	249
m	250
alumni	251
the're	252
blasted	253
ou	254
some	255
mullets	256
play	257
inform	258
rolling	259
changes	260
model	261
properly	262
same	263
matter	264
change	265
result	266
raising	267
lowering	268
opposite	269
addition	270
plus	271
minus	272
deals	273
example	274
which	275
incorrectly	276
accurately	277
reflect	278
difference	279
strikes	280
anyone	281
questions	282
6731	283
thank	284
may	285
every	286
battles	287
else	288
than	289
bought	290
new	291
yesterday	292
blocks	293
from	294
knock	295
doesn't	296
yet	297
burr	298
getting	299
cold	300
avg	301
temp	302
50	303
60	304
jan	305
feb	306
married	307
still	308
play'	309
say	310
hi	311
later	312
qq	313
might	314
aware	315
scott	316
admin	317
pipe	318
was	319
forced	320
wednesday	321
am	322
friday	323
calc	324
while	325
scheduled	326
rotate	327
west	328
soon	329
think	330
need	331
putting	332
two	333
persons	334
bring	335
load	336
sustainable	337
i'd	338
monday	339
issue	340
let	341
fits	342
schedules	343
expected	344
take	345
care	346
application	347
onlinethanks	348
frank	349
steve	350
spreadsheet	351
following	352
tickers	353
basisnwpl	354
rm	355
octep	356
sj	357
socal	358
octthanks	359
eric	360
sandberg	361
lance	362
jordan	363
thurs	364
3pm	365
conference	366
attend	367
mayx6731	368
enable	369
flecther	370
sturm	371
sell	372
fine	373
yo	374
courthouse	375
over	376
stadium	377
actually	378
broke	379
sweat	380
down	381
payment	382
you'	383
looking	384
