Word	Label
the	1
	2
enron	3
lt	4
to	5
and	6
of	7
com	8
a	9
20	10
you	11
in	12
i	13
for	14
ect	15
on	16
is	17
that	18
this	19
with	20
will	21
be	22
hou	23
have	24
we	25
lay	26
s	27
corp	28
development	29
at	30
your	31
it	32
are	33
e	34
from	35
01	36
as	37
please	38
amp	39
by	40
if	41
not	42
subject	43
me	44
communications	45
or	46
would	47
our	48
com'	49
20001	50
ken	51
2000	52
has	53
kenneth	54
energy	55
he	56
an	57
meeting	58
mail	59
know	60
x	61
cc	62
can	63
but	64
rosalee	65
do	66
http	67
thanks	68
org	69
stacy	70
mr	71
enronxgate	72
us	73
000	74
call	75
any	76
ees	77
new	78
may	79
m	80
www	81
more	82
all	83
about	84
let	85
am	86
my	87
et	88
l	89
so	90
eees	91
was	92
na	93
information	94
like	95
time	96
one	97
pmto	98
they	99
out	100
mark	101
which	102
net	103
attached	104
there	105
news	106
up	107
1	108
i2	109
what	110
his	111
edu	112
houston	113
conference	114
sent	115
p	116
111	117
09	118
message	119
03	120
board	121
j	122
been	123
business	124
amto	125
thank	126
should	127
also	128
t	129
their	130
david	131
just	132
no	133
10	134
its	135
2	136
john	137
attend	138
get	139
said	140
3d	141
fleming	142
could	143
company	144
very	145
jeff	146
713	147
gas	148
3	149
30	150
how	151
need	152
co	153
some	154
email	155
04	156
12	157
hope	158
02	159
when	160
april	161
hi	162
these	163
market	164
see	165
who	166
executive	167
klay	168
michael	169
make	170
him	171
send	172
5	173
want	174
james	175
re	176
agreement	177
other	178
4	179
doc	180
now	181
enroncc	182
d	183
world	184
w	185
dickson	186
good	187
year	188
monday	189
power	190
jeffrey	191
r	192
forward	193
two	194
had	195
azurix	196
05	197
day	198
week	199
uk	200
next	201
president	202
well	203
committee	204
office	205
use	206
ww	207
report	208
look	209
08	210
pm	211
contact	212
g	213
take	214
u	215
issues	216
0	217
questions	218
march	219
event	220
address	221
last	222
than	223
content	224
06	225
yahoo	226
them	227
here	228
n	229
smith	230
first	231
available	232
help	233
were	234
brookings	235
did	236
best	237
into	238
forum	239
able	240
version	241
k	242
lynn	243
june	244
work	245
brown	246
think	247
joe	248
over	249
through	250
changes	251
much	252
15	253
only	254
dinner	255
credit	256
media	257
6	258
california	259
give	260
phone	261
economic	262
26	263
html	264
c	265
back	266
compaq	267
o	268
chairman	269
both	270
comments	271
14	272
before	273
visit	274
mary	275
businessweek	276
place	277
free	278
great	279
group	280
dr	281
most	282
copy	283
jim	284
8	285
each	286
regards	287
16	288
letter	289
lon	290
firm	291
number	292
those	293
september	294
don't	295
further	296
steve	297
going	298
future	299
received	300
25	301
yes	302
jr	303
sure	304
plan	305
since	306
mike	307
cindy	308
date	309
talk	310
online	311
htm	312
018	313
friday	314
such	315
review	316
receive	317
management	318
program	319
draft	320
financial	321
wanted	322
service	323
sherri	324
price	325
richard	326
policy	327
come	328
provide	329
made	330
find	331
chief	332
ceo	333
companies	334
technology	335
i'm	336
19	337
after	338
bill	339
comcc	340
asked	341
asia	342
aol	343
below	344
28	345
schedule	346
go	347
many	348
response	349
request	350
project	351
fax	352
07	353
katherine	354
state	355
tuesday	356
7	357
today	358
rosie	359
then	360
being	361
meet	362
karen	363
name	364
fine	365
support	366
skilling	367
per	368
222	369
members	370
house	371
18	372
morning	373
type	374
again	375
services	376
transaction	377
alliance	378
hrice	379
robert	380
13	381
working	382
join	383
she	384
person	385
susan	386
oil	387
853	388
deal	389
industry	390
final	391
right	392
still	393
kevin	394
international	395
does	396
director	397
original	398
27	399
demand	400
ann	401
additional	402
even	403
rick	404
respond	405
mckinsey	406
rebecca	407
ase	408
23	409
keep	410
washington	411
following	412
between	413
29	414
july	415
people	416
risk	417
21	418
gregg	419
master	420
team	421
text	422
notes	423
sera	424
sharon	425
issue	426
check	427
f	428
barbara	429
mailto	430
greg	431
however	432
years	433
where	434
while	435
general	436
during	437
'kenneth	438
possible	439
carol	440
texas	441
doing	442
web	443
blair	444
real	445
efficiency	446
supply	447
tom	448
way	449
sorry	450
larry	451
latest	452
transfer	453
bcc	454
inc	455
regarding	456
already	457
site	458
analysis	459
verizon	460
markets	461
north	462
key	463
gisb	464
tori	465
wells	466
including	467
opportunity	468
invitation	469
order	470
really	471
investment	472
days	473
soon	474
member	475
few	476
follow	477
too	478
york	479
long	480
home	481
kpcb	482
dwr	483
change	484
weekly	485
end	486
line	487
hearing	488
linda	489
tomorrow	490
appreciate	491
interest	492
contract	493
corporate	494
hotel	495
steven	496
staff	497
delay	498
under	499
return	500
off	501
sec	502
msn	503
include	504
system	505
economy	506
jack	507
scheduled	508
floor	509
better	510
money	511
24	512
because	513
whether	514
plain	515
charset	516
encoding	517
pdf	518
h	519
thursday	520
country	521
wednesday	522
white	523
understand	524
gs	525
research	526
b	527
together	528
dan	529
tim	530
sa	531
three	532
afternoon	533
global	534
month	535
costs	536
sutton	537
dear	538
invite	539
until	540
currently	541
called	542
believe	543
november	544
mime	545
folder	546
origin	547
filename	548
purchase	549
kean	550
must	551
session	552
garten	553
charles	554
paul	555
second	556
buy	557
miller	558
mena	559
shall	560
location	561
briefing	562
might	563
ask	564
discuss	565
japan	566
discussed	567
olson	568
update	569
rice	570
high	571
444	572
term	573
government	574
liz	575
october	576
product	577
gov	578
america	579
customers	580
down	581
thomas	582
stephen	583
environmental	584
joseph	585
read	586
vanessa	587
dalton	588
looking	589
role	590
17	591
reply	592
full	593
india	594
secretary	595
addition	596
short	597
rob	598
9	599
special	600
meetings	601
her	602
fw	603
7bit	604
folders	605
nsf	606
video	607
dorothy	608
utilities	609
access	610
george	611
finance	612
governor	613
edu'	614
mcdonald	615
andrew	616
kathy	617
groscrand	618
document	619
annual	620
either	621
times	622
language	623
public	624
it's	625
hotmail	626
set	627
another	628
details	629
major	630
indicate	631
internet	632
street	633
agreements	634
juno	635
current	636
nui	637
jonathan	638
dates	639
owens	640
nancy	641
website	642
needs	643
cliff	644
mcmahon	645
feel	646
growth	647
ava	648
agenda	649
partnership	650
keynote	651
interested	652
university	653
say	654
tell	655
ascii	656
daniel	657
why	658
list	659
randy	660
opportunities	661
marketing	662
iea	663
stanley	664
leading	665
natural	666
bush	667
ben	668
info	669
works	670
getting	671
center	672
political	673
recent	674
yet	675
big	676
several	677
terry	678
sale	679
hannon	680
planning	681
participate	682
panel	683
air	684
leadership	685
early	686
sue	687
taylor	688
alert	689
question	690
reps	691
stephanie	692
petroleum	693
newsworld	694
baxter	695
behalf	696
anything	697
harris	698
everyone	699
looks	700
part	701
proposed	702
frank	703
past	704
party	705
campaign	706
against	707
31	708
sending	709
million	710
experience	711
concerns	712
budget	713
complete	714
views	715
upon	716
based	717
east	718
allenco	719
cisco	720
valerie	721
pershing	722
rates	723
process	724
lou	725
att	726
ford	727
pam	728
invoices	729
says	730
city	731
own	732
little	733
town	734
trip	735
department	736
sincerely	737
position	738
add	739
rockets	740
above	741
copies	742
area	743
file	744
joannie	745
williamson	746
lay's	747
1000	748
bob	749
commerce	750
held	751
40	752
agree	753
national	754
unfortunately	755
projects	756
having	757
wise	758
test	759
discussion	760
speaker	761
sims	762
berkeley	763
summer	764
migration	765
solution	766
summary	767
resources	768
judy	769
calendar	770
william	771
garcia	772
michelle	773
august	774
mcconnell	775
frevert	776
koenig	777
garza	778
