Word	Label
the	1
you	2
to	3
for	4
i	5
and	6
enron	7
is	8
com	9
have	10
000	11
out	12
teb	13
of	14
my	15
this	16
a	17
be	18
check	19
ww	20
gorelieberman	21
2000	22
will	23
outlook	24
20001	25
at	26
fgt	27
in	28
class	29
as	30
please	31
pharr	32
1	33
going	34
call	35
lokey	36
subject	37
me	38
by	39
if	40
your	41
he	42
all	43
help	44
up	45
with	46
phase	47
enroncc	48
lerea	49
approval	50
reply	51
ect	52
very	53
times	54
thanks	55
pm	56
company	57
am	58
now	59
work	60
guy	61
congratulations	62
debbie	63
name	64
18	65
any	66
questions	67
713	68
853	69
are	70
ex	71
it	72
would	73
we	74
or	75
years	76
custody	77
his	78
31	79
him	80
were	81
line	82
on	83
today	84
attached	85
discuss	86
operating	87
committee	88
i'll	89
got	90
iv	91
536	92
like	93
hilda	94
111	95
39	96
amto	97
still	98
when	99
there	100
so	101
from	102
10	103
january	104
wednesday	105
21	106
time	107
not	108
big	109
ok	110
approve	111
attendance	112
946	113
lokeylerea	114
ect01	115
24	116
pmsent	117
ectto	118
request	119
required	120
attend	121
following	122
grant	123
send	124
lpharr	125
notesmail	126
hou	127
sure	128
include	129
employee's	130
number	131
outlooksession	132
dates	133
amp	134
3	135
pmlocation	136
eb572no	137
show	138
participant	139
fee	140
000if	141
technology	142
training	143
coordinator	144
1816	145
how	146
much	147
know	148
additional	149
fed	150
it's	151
been	152
but	153
may	154
good	155
both	156
us	157
keep	158
thank	159
new	160
well	161
deserved	162
was	163
where	164
legal	165
membership	166
anthony	167
raising	168
son	169
school	170
945	171
what	172
do	173
mean	174
boys	175
thought	176
gym	177
those	178
stephanie	179
per	180
eol	181
can	182
set	183
id	184
password	185
joe	186
quenet	187
info	188
sharon	189
compressor	190
station	191
27	192
options	193
memo	194
sam	195
list	196
pop	197
yvette's	198
boyfriend	199
home	200
around	201
6	202
30	203
ish	204
called	205
andm	206
only	207
voice	208
mail	209
we're	210
rob's	211
house	212
4	213
volumes	214
fts	215
2	216
rate	217
schedule	218
just	219
ii	220
v	221
also	222
lindley01	223
16	224
john	225
cobb	226
david	227
mcellin	228
issuecould	229
someone	230
question	231
dark	232
blair	233
reserved	234
39c1	235
friday	236
26	237
our	238
strategy	239
assignments	240
meeting	241
tentatively	242
scheduled	243
february	244
orlando	245
advise	246
does	247
http	248
gasfundy	249
corp	250
gas	251
framework	252
default	253
asp	254
yo	255
don't	256
worry	257
blood	258
pressure	259
probably	260
right	261
again	262
she's	263
beautiful	264
thompson's	265
02	266
thompsonyour	267
thompson	268
29	269
went	270
courthouse	271
over	272
stadium	273
actually	274
broke	275
sweat	276
down	277
payment	278
you'	279
looking	280
here	281
go	282
democrat	283
yes	284
dear	285
morgage	286
took	287
funds	288
second	289
leave	290
envelope	291
office	292
already	293
delivered	294
one	295
better	296
could	297
get	298
together	299
lunch	300
dinner	301
tattoo	302
saturday	303
weekend	304
after	305
race	306
let	307
sounds	308
great	309
tattoos	310
laura	311
giambrone01	312
08	313
36	314
nancy	315
carpenter	316
re	317
lunchteb	318
nancy's	319
cancelled	320
hey	321
w	322
inspiration	323
given	324
these	325
many	326
miss	327
happy	328
opportunity	329
wife	330
sandy	331
grateful	332
gave	333
her	334
asks	335
about	336
body	337
shop	338
comes	339
fitness	340
center	341
come	342
god	343
bless	344
each	345
day	346
positive	347
attitude	348
blessed	349
keri	350
add	351
nephew	352
whom	353
met	354
downtown	355
club	356
michael	357
orona	358
17	359
old	360
turn	361
next	362
born	363
83	364
stated	365
included	366
benefits	367
papers	368
court	369
law	370
awarding	371
full	372
consent	373
parents	374
who	375
unable	376
care	377
address	378
same	379
mine	380
507	381
welch	382
houston	383
tx	384
7770006	385
senior	386
lamar	387
high	388
active	389
extracurricular	390
activities	391
including	392
sports	393
hope	394
rules	395
permit	396
anthony's	397
addition	398
several	399
6868	400
require	401
information	402
consideration	403
walter	404
lokeymember	405
no	406
en	407
345	408
message	409
received	410
woman	411
01	412
lokeyyour	413
