Word	Label
lt	1
the	2
com	3
	4
enron	5
to	6
20	7
and	8
of	9
a	10
ect	11
in	12
for	13
that	14
is	15
you	16
i	17
on	18
this	19
be	20
with	21
we	22
or	23
have	24
from	25
it	26
not	27
will	28
amp	29
us	30
if	31
mary	32
e	33
at	34
please	35
are	36
hou	37
com'	38
hain	39
org	40
gov	41
power	42
ferc	43
as	44
by	45
20001	46
x	47
corp	48
bpa	49
has	50
any	51
s	52
would	53
subject	54
mail	55
me	56
your	57
na	58
1	59
enronxgate	60
wa	61
iso	62
an	63
all	64
energy	65
01	66
state	67
et	68
do	69
information	70
cc	71
net	72
am	73
2	74
was	75
our	76
should	77
order	78
market	79
3	80
stacy	81
rate	82
know	83
california	84
about	85
but	86
its	87
they	88
her	89
attached	90
said	91
ci	92
thanks	93
my	94
request	95
call	96
d	97
so	98
03	99
new	100
transmission	101
what	102
may	103
gas	104
pgn	105
pdx	106
can	107
4	108
agreement	109
he	110
bracepatt	111
these	112
up	113
need	114
which	115
also	116
other	117
get	118
no	119
02	120
alan	121
some	122
out	123
steve	124
time	125
pm	126
james	127
pacificorp	128
doc	129
content	130
section	131
filing	132
john	133
resources	134
2000	135
m	136
there	137
joe	138
like	139
data	140
trade	141
been	142
rates	143
thank	144
let	145
west	146
communications	147
000	148
paul	149
their	150
see	151
just	152
capital	153
5	154
10	155
aol	156
more	157
steffes	158
one	159
richard	160
under	161
make	162
only	163
re	164
lysa	165
did	166
could	167
j	168
rto	169
stoel	170
28	171
questions	172
epmi	173
had	174
development	175
over	176
file	177
mike	178
comments	179
co	180
pg	181
were	182
because	183
how	184
12	185
utilities	186
utility	187
want	188
jeff	189
response	190
use	191
when	192
teleport	193
march	194
pacifier	195
version	196
service	197
them	198
susan	199
8	200
system	201
customers	202
increase	203
sent	204
meeting	205
commission	206
111	207
pngc	208
review	209
i'm	210
puc	211
letter	212
l	213
price	214
than	215
chbh	216
think	217
affairs	218
jim	219
dickson	220
position	221
day	222
issues	223
who	224
ca	225
going	226
last	227
remove	228
draft	229
does	230
conference	231
changes	232
seattle	233
0	234
work	235
williams	236
ppcpdx	237
costs	238
sarah	239
comnes	240
chris	241
provide	242
whether	243
she	244
electricity	245
interconnection	246
don't	247
here	248
text	249
bcc	250
org'	251
09	252
idahopower	253
lists	254
ectcc	255
customer	256
caiso	257
group	258
mark	259
two	260
now	261
cost	262
6	263
produce	264
robert	265
today	266
resigned	267
bill	268
number	269
b	270
email	271
after	272
send	273
lynn	274
before	275
7	276
report	277
tariff	278
following	279
forward	280
davis	281
into	282
week	283
puget	284
avistacorp	285
earthlink	286
such	287
regulatory	288
hartsoe	289
c	290
find	291
tacoma	292
aes	293
