Word	Label
the	1
line	2
you	3
and	4
enron	5
thanks	6
i	7
i'm	8
to	9
stephanie	10
as	11
per	12
eol	13
help	14
can	15
please	16
set	17
up	18
my	19
id	20
password	21
for	22
on	23
today	24
joe	25
quenet	26
where	27
are	28
woman	29
call	30
me	31
http	32
gasfundy	33
corp	34
com	35
gas	36
framework	37
default	38
asp	39
received	40
prospectus	41
amp	42
roster	43
just	44
fine	45
looking	46
forward	47
climb	48
glad	49
that	50
last	51
person	52
cancelled	53
i'll	54
be	55
calling	56
around	57
possibly	58
carpool	59
also	60
could	61
either	62
drive	63
or	64
catch	65
a	66
ride	67
again	68
steven	69
merriss	70
