Word	Label
	1
x	2
the	3
you	4
to	5
ftr	6
as	7
z3	8
and	9
please	10
surplus	11
townsend	12
this	13
for	14
2000	15
on	16
ft	17
shortageft	18
thanks	19
judy	20
content	21
should	22
include	23
add	24
that	25
were	26
managing	27
fluctuating	28
wellheads	29
while	30
traders	31
are	32
taking	33
short	34
long	35
positions	36
in	37
access	38
area	39
well	40
line	41
my	42
enron	43
com	44
june	45
schedule	46
volumes	47
contract	48
5618	49
6942	50
follows	51
z1	52
879	53
z2	54
45	55
206	56
2	57
333	58
shortageif	59
have	60
any	61
questions	62
call	63
me	64
at	65
713	66
853	67
17555	68
mime	69
version	70
1	71
0	72
type	73
text	74
plain	75
charset	76
us	77
ascii	78
transfer	79
encoding	80
7bit	81
from	82
chris	83
germany	84
cc	85
bcc	86
folder	87
judith	88
jun20001	89
notes	90
folders	91
'sent	92
mail	93
origin	94
j	95
filename	96
jtownse	97
nsf	98
stephanie	99
per	100
eol	101
help	102
can	103
set	104
up	105
id	106
password	107
today	108
joe	109
quenet	110
http	111
gasfundy	112
corp	113
gas	114
framework	115
default	116
asp	117
location	118
is	119
eb	120
32224c	121
ext	122
317555	123
check	124
out	125
ww	126
gorelieberman	127
