Word	Label
the	1
to	2
i	3
you	4
and	5
a	6
is	7
enron	8
for	9
of	10
in	11
on	12
that	13
have	14
this	15
we	16
are	17
with	18
pl	19
	20
will	21
be	22
it	23
me	24
ect	25
if	26
please	27
your	28
phillip	29
not	30
thanks	31
from	32
at	33
as	34
am	35
my	36
can	37
know	38
or	39
any	40
was	41
would	42
do	43
x	44
amp	45
hou	46
what	47
out	48
need	49
all	50
he	51
about	52
1	53
get	54
up	55
should	56
there	57
let	58
they	59
by	60
gas	61
here	62
an	63
these	64
just	65
so	66
2	67
stacy	68
but	69
s	70
going	71
email	72
call	73
like	74
lt	75
com	76
time	77
some	78
deal	79
questions	80
us	81
did	82
m	83
et	84
has	85
when	86
one	87
20001	88
love	89
new	90
our	91
work	92
think	93
good	94
000	95
corp	96
week	97
see	98
help	99
how	100
them	101
also	102
attached	103
3	104
subject	105
file	106
his	107
e	108
had	109
him	110
been	111
only	112
make	113
deals	114
were	115
no	116
want	117
p	118
two	119
last	120
go	121
take	122
na	123
cc	124
4	125
more	126
price	127
5	128
day	129
give	130
allen	131
information	132
sent	133
may	134
their	135
send	136
back	137
talk	138
mail	139
still	140
guys	141
book	142
next	143
desk	144
which	145
she	146
713	147
agreement	148
sure	149
10	150
now	151
don't	152
then	153
content	154
enronxgate	155
01	156
year	157
other	158
today	159
use	160
dickson	161
number	162
changes	163
said	164
0	165
check	166
could	167
12	168
fyi	169
again	170
version	171
same	172
20	173
try	174
type	175
look	176
thank	177
does	178
soon	179
tomorrow	180
list	181
over	182
2000	183
month	184
got	185
numbers	186
per	187
than	188
before	189
project	190
who	191
jeff	192
find	193
physical	194
risk	195
into	196
central	197
energy	198
well	199
following	200
set	201
853	202
7	203
way	204
first	205
put	206
shout	207
very	208
forward	209
sitara	210
office	211
lynn	212
friday	213
firm	214
review	215
daily	216
night	217
her	218
mike	219
after	220
15	221
111	222
since	223
access	224
looks	225
prices	226
change	227
days	228
keep	229
hope	230
weekend	231
6	232
meeting	233
transfer	234
notes	235
sorry	236
auburn	237
john	238
cost	239
each	240
l	241
being	242
wanted	243
might	244
right	245
getting	246
plan	247
much	248
under	249
date	250
come	251
really	252
tagg	253
c	254
group	255
contract	256
credit	257
index	258
lucy	259
fax	260
message	261
re	262
address	263
yes	264
too	265
doing	266
paid	267
development	268
trading	269
original	270
few	271
variance	272
storage	273
name	274
home	275
pay	276
little	277
things	278
02	279
schedule	280
morning	281
30	282
west	283
due	284
long	285
because	286
text	287
bcc	288
keith	289
transaction	290
around	291
those	292
hear	293
house	294
through	295
done	296
plain	297
folder	298
ft	299
financial	300
made	301
master	302
market	303
team	304
comments	305
basis	306
communications	307
job	308
even	309
working	310
anything	311
mime	312
charset	313
encoding	314
origin	315
filename	316
04	317
down	318
phone	319
why	320
between	321
contact	322
pm	323
larry	324
line	325
needs	326
reports	327
note	328
looking	329
people	330
construction	331
add	332
san	333
letter	334
7bit	335
pmto	336
off	337
9	338
carol	339
bid	340
game	341
money	342
rent	343
total	344
transport	345
able	346
ascii	347
k	348
great	349
site	350
person	351
better	352
where	353
fine	354
didn't	355
second	356
monday	357
below	358
ontario	359
rentroll	360
process	361
bonilla	362
tuesday	363
traders	364
george	365
gregg	366
trader	367
06	368
received	369
business	370
having	371
eol	372
months	373
both	374
gisb	375
thought	376
folders	377
nsf	378
books	379
texas	380
everything	381
copy	382
blair	383
thursday	384
sounds	385
always	386
curve	387
three	388
high	389
such	390
else	391
'sent	392
power	393
randy	394
tell	395
report	396
additional	397
shall	398
st	399
cash	400
mark	401
most	402
kam	403
until	404
purchase	405
sale	406
regarding	407
system	408
09	409
houston	410
place	411
january	412
issue	413
above	414
feel	415
request	416
future	417
every	418
june	419
form	420
april	421
natural	422
14	423
hopefully	424
amount	425
left	426
05	427
tickets	428
ok	429
further	430
another	431
issues	432
end	433
8	434
understand	435
experience	436
i'm	437
info	438
mary	439
believe	440
different	441
steve	442
room	443
free	444
anyone	445
costs	446
plans	447
receive	448
value	449
variances	450
company	451
25	452
03	453
points	454
migration	455
accenture	456
location	457
yet	458
coming	459
plus	460
far	461
frank	462
land	463
something	464
went	465
requested	466
loan	467
yesterday	468
discussed	469
later	470
b	471
guaranty	472
unit	473
point	474
track	475
fgt	476
jim	477
draft	478
together	479
already	480
amto	481
ask	482
late	483
vacation	484
fun	485
property	486
leave	487
trying	488
pretty	489
oa	490
grigsby	491
26	492
fill	493
concerns	494
spoke	495
heard	496
during	497
must	498
problem	499
liquidations	500
socal	501
position	502
resume	503
utilities	504
manager	505
told	506
however	507
ectcc	508
agreements	509
says	510
discuss	511
7376	512
open	513
north	514
liquidation	515
invoices	516
nui	517
provide	518
seems	519
actually	520
jackson	521
deposit	522
financing	523
meet	524
years	525
o	526
support	527
id	528
short	529
latest	530
document	531
curves	532
response	533
man	534
it's	535
kragel	536
weeks	537
buyer	538
website	539
agree	540
product	541
units	542
possible	543
order	544
school	545
items	546
several	547
tab	548
actual	549
darron	550
david	551
saturday	552
probably	553
tonight	554
denver	555
special	556
ava	557
changed	558
files	559
current	560
terms	561
outlook	562
closing	563
profit	564
program	565
spreadsheet	566
follow	567
hunter	568
646	569
can't	570
happy	571
correct	572
ready	573
play	574
guy	575
http	576
50	577
trades	578
joe	579
term	580
bank	581
nice	582
language	583
based	584
include	585
complete	586
update	587
hours	588
bring	589
guess	590
ina	591
13	592
wade	593
thing	594
terry	595
everyone	596
counterparty	597
america	598
termination	599
jan	600
n	601
floor	602
used	603
gd	604
reps	605
question	606
continue	607
scott	608
close	609
final	610
without	611
football	612
mm	613
taken	614
ashley	615
estimates	616
university	617
interested	618
jacques	619
fixed	620
missed	621
reviewing	622
pallen	623
chris	624
say	625
user	626
password	627
ahead	628
enroncc	629
million	630
40	631
hit	632
plove	633
monthly	634
tx	635
jazz	636
afternoon	637
management	638
npng	639
calendar	640
359	641
net	642
old	643
talked	644
08	645
found	646
best	647
trip	648
start	649
full	650
clear	651
brenda	652
real	653
18	654
once	655
definitely	656
within	657
sending	658
h	659
fest	660
gary	661
holst	662
detail	663
prior	664
payment	665
show	666
currently	667
move	668
updated	669
contracts	670
click	671
james	672
paul	673
mind	674
d	675
lowder	676
region	677
format	678
capacity	679
planning	680
added	681
run	682
mentioned	683
across	684
groups	685
matt	686
doesn't	687
season	688
service	689
march	690
couple	691
busy	692
talking	693
design	694
general	695
available	696
follows	697
california	698
section	699
listed	700
care	701
thoughts	702
remember	703
never	704
thinking	705
susan	706
ena	707
jason	708
survey	709
inc	710
mid	711
