Word	Label
the	1
enron	2
to	3
lt	4
i	5
you	6
and	7
amp	8
s	9
	10
a	11
et	12
is	13
for	14
on	15
of	16
this	17
in	18
are	19
with	20
have	21
we	22
be	23
me	24
up	25
that	26
not	27
at	28
if	29
will	30
thanks	31
your	32
lynn	33
it	34
my	35
please	36
or	37
know	38
x	39
what	40
just	41
from	42
out	43
would	44
com	45
do	46
enronxgate	47
blair	48
going	49
call	50
am	51
any	52
stacy	53
as	54
get	55
our	56
can	57
all	58
by	59
20001	60
about	61
let	62
was	63
mc	64
e	65
they	66
need	67
mike	68
subject	69
when	70
june	71
like	72
did	73
ava	74
day	75
should	76
had	77
000	78
i'm	79
reps	80
713	81
there	82
message	83
them	84
attached	85
terry	86
go	87
sure	88
he	89
questions	90
2000	91
back	92
06	93
invoices	94
work	95
new	96
give	97
an	98
m	99
good	100
time	101
john	102
sent	103
us	104
but	105
one	106
check	107
randy	108
been	109
still	110
make	111
email	112
very	113
mail	114
853	115
dickson	116
these	117
week	118
tuesday	119
month	120
so	121
enroncc	122
has	123
how	124
some	125
got	126
then	127
here	128
come	129
use	130
house	131
gas	132
may	133
down	134
no	135
also	136
1	137
fgt	138
content	139
think	140
0	141
end	142
she	143
kowalke	144
were	145
amto	146
want	147
larry	148
raetta	149
him	150
nng	151
see	152
carson	153
too	154
fyi	155
cc	156
agreement	157
version	158
send	159
http	160
where	161
ok	162
k	163
saturday	164
meeting	165
big	166
today	167
night	168
qb	169
giants	170
joe	171
pmto	172
buchanan	173
both	174
kathy	175
into	176
7	177
again	178
last	179
2	180
don't	181
next	182
10	183
days	184
reviewing	185
per	186
her	187
6203	188
guys	189
who	190
firm	191
baby	192
boy	193
culpepperrb	194
20	195
take	196
little	197
keep	198
team	199
re	200
more	201
change	202
home	203
address	204
concerns	205
having	206
floor	207
wanted	208
can't	209
jean	210
hope	211
wk	212
heather	213
party	214
gisb	215
ww	216
gorelieberman	217
n	218
mary	219
debra	220
it's	221
master	222
due	223
30	224
georgerb	225
t	226
storage	227
find	228
lynnfrom	229
01	230
original	231
12	232
working	233
over	234
which	235
those	236
does	237
than	238
222	239
transfer	240
imbalances	241
cycle	242
5	243
oba	244
information	245
i'll	246
monday	247
13	248
much	249
pork	250
well	251
tangie	252
other	253
dsl	254
now	255
type	256
only	257
freemanrec	258
jerry	259
agreements	260
25	261
since	262
report	263
man	264
thought	265
each	266
mean	267
tx	268
believe	269
6	270
same	271
rick	272
berger	273
morning	274
before	275
error	276
two	277
short	278
guy	279
everyone	280
tonight	281
janzen	282
linda	283
already	284
system	285
forward	286
8	287
bodnar	288
mime	289
text	290
plain	291
charset	292
ascii	293
encoding	294
7bit	295
bcc	296
folder	297
origin	298
filename	299
non	300
privileged	301
loop	302
hormel	303
ricerec	304
gonzalezk	305
energy	306
however	307
training	308
gramaticadef	309
lynda	310
02	311
small	312
talk	313
their	314
changes	315
approximately	316
possible	317
help	318
111	319
b	320
3	321
chris	322
glad	323
fw	324
14	325
contracts	326
flash	327
number	328
brokers	329
jan	330
love	331
talked	332
sorry	333
sending	334
50	335
andersrec	336
gotta	337
281	338
yet	339
rileyhouston	340
doing	341
pm	342
enro	343
james	344
cynthia	345
www	346
company	347
second	348
j	349
update	350
sell	351
while	352
after	353
credit	354
comments	355
wife	356
could	357
garcia	358
michael	359
stacey	360
msn	361
really	362
first	363
yesterday	364
his	365
left	366
looking	367
together	368
try	369
pig	370
letter	371
currently	372
actually	373
coming	374
cal	375
corp	376
ny	377
gregg	378
leave	379
comed	380
kid	381
testing	382
being	383
ramona	384
upgrade	385
needs	386
july	387
thank	388
gerry	389
few	390
1000	391
reports	392
deadline	393
15	394
washington	395
several	396
asked	397
tropical	398
storm	399
shelley	400
look	401
move	402
game	403
chance	404
dietz	405
friday	406
ms	407
4	408
following	409
rates	410
close	411
myself	412
tell	413
trip	414
base	415
district	416
timely	417
even	418
told	419
callans	420
nancy	421
19	422
line	423
p	424
market	425
stay	426
long	427
thankyou	428
info	429
381	430
jeff	431
807	432
off	433
outlook	434
getting	435
yahoo	436
html	437
porter	438
adams	439
robert	440
dykes	441
sherry	442
forbish	443
greaney	444
scurlock	445
janet	446
mcdaniel	447
sturr	448
harry	449
woodson	450
rivers	451
d	452
shippers	453
gomez	454
speed	455
ricki	456
damage	457
something	458
flood	459
providing	460
checks	461
receive	462
taken	463
review	464
purchase	465
sale	466
5705	467
9th	468
reply	469
beer	470
available	471
course	472
000p	473
place	474
october	475
degrees	476
during	477
holiday	478
notes	479
folders	480
nsf	481
copy	482
say	483
name	484
sometime	485
went	486
right	487
wgr	488
msr's	489
signed	490
yes	491
29th	492
9	493
person	494
later	495
lblair	496
rlmichaelis	497
fix	498
deals	499
antonio	500
deal	501
transaction	502
says	503
checking	504
discuss	505
always	506
id	507
galen	508
21	509
tms	510
upcoming	511
assist	512
said	513
assistance	514
large	515
thursday	516
54	517
test	518
process	519
ask	520
laferla	521
'bout	522
boys	523
thoughts	524
c	525
gary	526
35842	527
west	528
follow	529
visit	530
18	531
agree	532
anything	533
different	534
zadow	535
another	536
teams	537
accounts	538
customers	539
every	540
through	541
customer	542
reservation	543
preliminary	544
passing	545
unusual	546
high	547
low	548
dollar	549
amounts	550
answering	551
tas	552
unbilled	553
processing	554
errors	555
correcting	556
attending	557
commodity	558
meet	559
further	560
details	561
awesome	562
conversation	563
such	564
notice	565
bwi	566
noon	567
guess	568
wait	569
kids	570
kuehl	571
updates	572
gonzalezrec	573
hop	574
air	575
book	576
sat	577
read	578
anyway	579
stuff	580
throwing	581
cell	582
drafting	583
bring	584
7770005	585
hopefully	586
pretty	587
way	588
rest	589
bryan	590
carr	591
shirley	592
perry	593
tracy	594
minter	595
nron	596
diana	597
wilkens	598
linhart	599
christine	600
mcevoy	601
albert	602
hernandez	603
beverly	604
miller	605
mulligan	606
ward	607
additional	608
ex	609
heard	610
04	611
benningfield	612
western	613
plant	614
mitchell	615
amendment	616
because	617
family	618
sign	619
request	620
cary	621
add	622
done	623
stand	624
evening	625
attend	626
recieve	627
best	628
26	629
amy	630
w	631
session	632
own	633
excited	634
doc	635
ready	636
perlingiere	637
nov20001	638
sdickso	639
anyone	640
hit	641
problem	642
risk	643
payment	644
note	645
question	646
ya'll	647
card	648
parents	649
lunch	650
care	651
draft	652
besch	653
returned	654
voice	655
we're	656
access	657
marketing	658
exceptions	659
tw	660
o	661
sleep	662
ellen	663
solutions	664
dear	665
town	666
hey	667
great	668
sisters	669
recently	670
messages	671
transmitted	672
intended	673
entity	674
addressed	675
received	676
woman	677
provisions	678
weekend	679
carson41114	680
knock	681
60	682
term	683
jpg	684
'sent	685
doug	686
towns	687
08	688
chops	689
form	690
spot	691
brian	692
sbs	693
smithrec	694
def	695
coral	696
remove	697
point	698
lead	699
let's	700
never	701
remember	702
he's	703
luck	704
freeman	705
tony	706
password	707
schedule	708
cannot	709
away	710
loose	711
betancourt	712
testinglynn	713
regarding	714
explained	715
require	716
medeles	717
months	718
office	719
screens	720
complete	721
gym	722
times	723
prayers	724
lynnava	725
garcia06	726
post	727
allisonlynn	728
vacation	729
darrell	730
scott	731
sense	732
26333	733
cason	734
u	735
issue	736
09	737
daily	738
items	739
concerning	740
volume	741
etc	742
calls	743
issues	744
assigning	745
current	746
total	747
totals	748
weeks	749
takes	750
ago	751
dives	752
directions	753
accomidations	754
arriving	755
driving	756
dc	757
mcperge	758
southern	759
columbia	760
provision	761
toby	762
longer	763
32	764
nomination	765
05	766
contact	767
services	768
56	769
comcc	770
lockettk	771
trying	772
trouble	773
play	774
yo	775
thing	776
used	777
girl	778
afternoon	779
moved	780
41114	781
sharon	782
you're	783
start	784
windows	785
h	786
instructions	787
intranet	788
critical	789
put	790
03	791
jodie	792
floyd	793
walden	794
katherine	795
aldinger	796
karen	797
clapper	798
marion	799
coon	800
tim	801
laura	802
giambrone	803
jack	804
howard	805
phillips	806
locknar	807
09lynn	808
sheila	809
nacey	810
took	811
funds	812
fed	813
delivered	814
trading	815
pipe	816
communicate	817
corman	818
assets	819
resources	820
accounting	821
related	822
gathering	823
co2	824
between	825
1st	826
26th	827
mother	828
relief	829
below	830
employees	831
included	832
allison	833
tomorrow	834
demand	835
employee	836
order	837
sincerely	838
conoco	839
friends	840
bash	841
september	842
invite	843
margarita	844
machine	845
invitation	846
stadium	847
half	848
enr	849
interested	850
magdelena	851
