Word	Label
the	1
to	2
enron	3
of	4
i	5
is	6
a	7
ect	8
and	9
	10
you	11
for	12
in	13
that	14
on	15
have	16
hou	17
this	18
with	19
are	20
at	21
we	22
not	23
your	24
from	25
be	26
thanks	27
would	28
very	29
charlie	30
fuel	31
if	32
will	33
it	34
2	35
out	36
1	37
0	38
no	39
up	40
any	41
capacity	42
do	43
corp	44
me	45
know	46
please	47
suzette	48
as	49
oil	50
4	51
just	52
good	53
my	54
na	55
but	56
per	57
weldon	58
may	59
6	60
what	61
spec	62
or	63
000	64
program	65
by	66
222	67
3000	68
being	69
her	70
com	71
ots	72
20	73
need	74
doug	75
was	76
our	77
i'm	78
2000	79
going	80
all	81
can	82
mba	83
she	84
specs	85
how	86
note	87
ft	88
these	89
charles	90
now	91
attached	92
so	93
get	94
day	95
v	96
check	97
issue	98
contact	99
too	100
when	101
ok	102
subject	103
pierce	104
texas	105
visit	106
name	107
here	108
open	109
information	110
business	111
yes	112
let	113
call	114
16	115
hours	116
35	117
251	118
id	119
30	120
am	121
should	122
other	123
location	124
about	125
ww	126
gorelieberman	127
01	128
use	129
3	130
more	131
one	132
again	133
big	134
he	135
issues	136
price	137
today	138
were	139
only	140
14	141
15	142
20001	143
much	144
guy	145
still	146
date	147
an	148
work	149
team	150
see	151
office	152
who	153
night	154
prices	155
wanted	156
there	157
than	158
following	159
gas	160
requirements	161
mark	162
eric	163
through	164
plant	165
fgu	166
available	167
those	168
sheet	169
candidate	170
ssn	171
confidence	172
problem	173
leadership	174
potential	175
personality	176
student	177
students	178
provide	179
elaborate	180
ut	181
match	182
lt	183
migration	184
8	185
thought	186
sample	187
sure	188
into	189
deal	190
been	191
new	192
off	193
likely	194
right	195
heat	196
overall	197
purchase	198
down	199
full	200
phase	201
vi	202
east	203
desk	204
2444	205
take	206
regarding	207
9	208
05	209
working	210
energy	211
outlook	212
current	213
believe	214
http	215
amp	216
house	217
matt	218
some	219
e	220
m	221
fill	222
else	223
time	224
last	225
tank	226
mhi	227
i'll	228
them	229
also	230
which	231
couple	232
where	233
confident	234
joe	235
looking	236
could	237
few	238
50	239
previous	240
significantly	241
message	242
track	243
concerning	244
project	245
meeting	246
mw	247
final	248
engineering	249
mode	250
dispatched	251
rate	252
below	253
month	254
summer	255
winter	256
5	257
known	258
shared	259
02	260
leach	261
morning	262
we're	263
getting	264
without	265
degree	266
further	267
above	268
had	269
experience	270
views	271
well	272
yet	273
individual	274
record	275
successful	276
yhoo	277
it's	278
access	279
list	280
has	281
made	282
f	283
david	284
then	285
calendar	286
plan	287
that's	288
cal	289
later	290
him	291
forward	292
specification	293
long	294
gotta	295
trucks	296
ngi	297
daily	298
got	299
data	300
file	301
monthly	302
comparison	303
taken	304
florida	305
luck	306
ed	307
'bout	308
knock	309
us	310
woman	311
close	312
give	313
confirm	314
yesterday	315
friday	316
make	317
boyt	318
months	319
expected	320
allow	321
taking	322
hour	323
prior	324
via	325
april	326
their	327
come	328
317	329
mean	330
boys	331
help	332
line	333
info	334
values	335
jet	336
they	337
first	338
second	339
went	340
co	341
09	342
ectcc	343
vanadium	344
measurement	345
think	346
university	347
austintexasmbaadmission	348
initiative	349
critique	350
formalumni	351
weldonalumni	352
graduation	353
year	354
2000applicant	355
emmonsut	356
houstonvisit	357
01trait	358
description	359
rating	360
comments	361
communication	362
skills	363
strong	364
effective	365
communicator	366
poise	367
quite	368
cocky	369
easy	370
imagine	371
role	372
enthusiasm	373
energetic	374
ascited	375
possibility	376
maturity	377
mixing	378
older	379
experienced	380
clarity	381
professional	382
focus	383
seems	384
focused	385
opportunities	386
receiving	387
minded	388
admission	389
committee	390
brief	391
narrative	392
overview	393
admissionvisit	394
dialogue	395
opportunity	396
rankings	397
comfortable	398
exchange	399
topics	400
seasoned	401
dealing	402
complex	403
ahead	404
many	405
fellow	406
exudes	407
remains	408
ideas	409
ways	410
thinking	411
reservation	412
saying	413
flourish	414
contribute	415
quality	416
class	417
culture	418
strengths	419
texasmba	420
reservations	421
definitely	422
high	423
results	424
oriented	425
tremendous	426
accomplishments	427
conducive	428
diverse	429
environment	430
prevent	431
top	432
notch	433
same	434
24	435
www	436
asp	437
10	438
pmto	439
cc	440
want	441
diesel	442
tezyk	443
parties	444
whether	445
questions	446
like	447
short	448
pm	449
scott	450
w	451
enr	452
email	453
notes	454
h	455
anyone	456
responsible	457
address	458
rest	459
asked	460
look	461
mail	462
home	463
identify	464
attainable	465
ash	466
determine	467
best	468
proceed	469
development	470
don't	471
afternoon	472
gallons	473
mitsubishi	474
status	475
nice	476
trying	477
stay	478
kim	479
updated	480
index	481
usually	482
different	483
sorry	484
assistance	485
trip	486
representative	487
delivered	488
conversation	489
we'll	490
john	491
resolve	492
latest	493
stagecoach	494
adjusted	495
request	496
indicative	497
quotes	498
market	499
quote	500
karen	501
received	502
noticed	503
sent	504
instead	505
trading	506
assumptions	507
dave	508
fairley	509
mcmichael	510
ruth	511
concannon	512
change	513
evaluation	514
document	515
during	516
summertime	517
september	518
run	519
sufficient	520
running	521
bought	522
mmbtu	523
table	524
total	525
needed	526
june	527
completion	528
its	529
october	530
75000	531
because	532
less	533
non	534
12	535
13	536
690	537
7	538
each	539
60	540
gym	541
times	542
quenet	543
along	544
heating	545
parameters	546
0413	547
rc	548
106230	549
charges	550
ppm	551
tonight	552
why	553
ng	554
degrees	555
75	556
111	557
45	558
plus	559
minutes	560
plenty	561
except	562
another	563
card	564
enronxgate	565
number	566
send	567
update	568
recommend	569
using	570
avg	571
basis	572
volatility	573
glad	574
rain	575
mike	576
distribution	577
said	578
regular	579
low	580
sulphur	581
path	582
fed	583
ex	584
leave	585
miss	586
p	587
b	588
reese	589
n	590
s	591
jones	592
jan	593
j	594
young	595
bill	596
t	597
survey	598
user	599
o	600
g	601
click	602
thank	603
type	604
desktop	605
both	606
permission	607
updating	608
book	609
currently	610
etc	611
mm	612
ddd	613
yyy	614
actually	615
deleted	616
dear	617
accuracy	618
tomorrow	619
meet	620
tonite	621
19	622
cin	623
curves	624
anything	625
response	626
matter	627
commercially	628
feedback	629
56	630
mathew	631
gimble	632
vendor	633
permit	634
labeled	635
density	636
reference	637
trace	638
cetane	639
go	640
monday	641
site	642
hope	643
availability	644
d	645
853	646
man	647
2000k	648
environmental	649
stringent	650
suggest	651
value	652
bids	653
103	654
enjoyed	655
able	656
coming	657
edu	658
say	659
really	660
around	661
love	662
sincerely	663
since	664
cable	665
flossie	666
incmap	667
turbine	668
used	669
replace	670
fpua	671
he's	672
days	673
