Word	Label
the	1
i	2
to	3
you	4
for	5
brad	6
a	7
have	8
is	9
that	10
not	11
me	12
this	13
thanks	14
and	15
out	16
of	17
in	18
with	19
up	20
000	21
please	22
call	23
at	24
on	25
if	26
what	27
your	28
will	29
great	30
it	31
my	32
all	33
good	34
be	35
are	36
check	37
can	38
was	39
com	40
do	41
would	42
know	43
too	44
he	45
one	46
going	47
ww	48
gorelieberman	49
2000	50
big	51
as	52
8	53
just	54
were	55
am	56
about	57
we	58
2	59
how	60
house	61
day	62
no	63
0	64
any	65
gotta	66
today	67
did	68
much	69
went	70
guy	71
help	72
by	73
from	74
or	75
some	76
time	77
think	78
should	79
rex	80
hope	81
last	82
home	83
those	84
only	85
other	86
there	87
30	88
they	89
don't	90
joe	91
i'll	92
soon	93
been	94
see	95
night	96
hunt	97
it's	98
get	99
find	100
him	101
4	102
cal	103
sorry	104
must	105
questions	106
article	107
well	108
look	109
very	110
trip	111
info	112
713	113
853	114
mean	115
boys	116
thought	117
late	118
may	119
long	120
yesterday	121
now	122
sure	123
hop	124
greg	125
9	126
had	127
line	128
into	129
around	130
go	131
who	132
yes	133
when	134
algonquin	135
our	136
lease	137
guided	138
duck	139
stay	140
knock	141
here	142
50	143
'bout	144
want	145
woman	146
talked	147
craig	148
never	149
man	150
5	151
like	152
01	153
6	154
family	155
volume	156
tad	157
1	158
rest	159
message	160
i'm	161
closing	162
more	163
jim	164
take	165
basis	166
enron	167
gas	168
an	169
fax	170
send	171
weekend	172
them	173
kids	174
excited	175
another	176
years	177
safe	178
love	179
gym	180
times	181
old	182
but	183
happy	184
give	185
job	186
way	187
second	188
room	189
hey	190
41	191
traded	192
cable	193
same	194
ok	195
per	196
quenet	197
keep	198
try	199
move	200
able	201
interview	202
hear	203
dear	204
mer	205
through	206
campus	207
told	208
else	209
access	210
tell	211
payment	212
read	213
us	214
prices	215
following	216
quail	217
deer	218
year	219
come	220
bt	221
trying	222
trouble	223
short	224
small	225
everyone	226
yet	227
later	228
amp	229
offers	230
austin	231
let	232
sat	233
deal	234
vvrroomm	235
took	236
fed	237
ex	238
leave	239
really	240
days	241
off	242
meet	243
fred	244
meeting	245
bet	246
he's	247
tonite	248
again	249
we're	250
guys	251
so	252
after	253
card	254
luck	255
cin	256
tried	257
down	258
nyc	259
switched	260
nyh	261
return	262
805	263
got	264
pm	265
cng	266
losing	267
lt	268
deleted	269
pay	270
owe	271
mids	272
add	273
05	274
015	275
index	276
change	277
counterparty	278
http	279
gasfundy	280
corp	281
framework	282
default	283
asp	284
amarillo	285
longhorns	286
test	287
tiff	288
both	289
school	290
lets	291
enthusiasm	292
16	293
gave	294
robin	295
barbe	296
she	297
contact	298
71777	299
colovista	300
term	301
pjm	302
chip	303
mature	304
birthday	305
names	306
individuals	307
kind	308
words	309
done	310
regarding	311
opportunities	312
stick	313
organizations	314
leading	315
sprague	316
first	317
women	318
rob	319
shared	320
third	321
sleep	322
slight	323
buzz	324
w	325
54	326
shares	327
since	328
neighbors	329
their	330
builder	331
enter	332
street	333
data	334
base	335
co	336
nuts	337
worry	338
blood	339
pressure	340
probably	341
right	342
stephanie	343
eol	344
set	345
id	346
password	347
course	348
yo	349
garyd	350
panus's	351
rome's	352
offended	353
comments	354
directed	355
heads	356
arrows	357
lunch	358
dinner	359
possible	360
suggest	361
wear	362
suit	363
point	364
23	365
talk	366
thurs	367
wk	368
76999	369
hm	370
972	371
1208	372
understand	373
san	374
antonio	375
amazed	376
record	377
streaking	378
rice	379
police	380
ones	381
file	382
complete	383
bummer	384
fbi	385
tom	386
quickly	387
breakout	388
occur	389
anytime	390
davis	391
market	392
hates	393
customers	394
competitors	395
mary	396
mckay	397
anne	398
seem	399
goes	400
every	401
battles	402
than	403
bought	404
new	405
blocks	406
doesn't	407
burr	408
getting	409
cold	410
avg	411
temp	412
60	413
jan	414
feb	415
married	416
still	417
play'	418
say	419
hi	420
qq	421
minute	422
banking	423
nada	424
