Word	Label
enron	1
the	2
to	3
s	4
amp	5
et	6
i	7
and	8
you	9
	10
on	11
for	12
this	13
of	14
is	15
with	16
in	17
have	18
be	19
lynn	20
thanks	21
a	22
we	23
that	24
not	25
me	26
are	27
if	28
please	29
up	30
your	31
will	32
know	33
enronxgate	34
blair	35
out	36
it	37
would	38
at	39
20001	40
just	41
or	42
from	43
x	44
ava	45
can	46
my	47
reps	48
june	49
all	50
stacy	51
was	52
am	53
as	54
terry	55
let	56
they	57
do	58
going	59
subject	60
any	61
questions	62
invoices	63
get	64
sure	65
check	66
john	67
randy	68
000	69
had	70
day	71
about	72
com	73
i'm	74
06	75
should	76
did	77
by	78
like	79
2000	80
enroncc	81
our	82
call	83
these	84
tuesday	85
he	86
how	87
an	88
what	89
lt	90
work	91
fgt	92
there	93
when	94
gas	95
raetta	96
kowalke	97
nng	98
larry	99
good	100
back	101
one	102
ok	103
make	104
them	105
fyi	106
us	107
go	108
has	109
come	110
time	111
joe	112
attached	113
pmto	114
sent	115
here	116
new	117
too	118
kathy	119
buchanan	120
need	121
then	122
meeting	123
reviewing	124
next	125
so	126
send	127
ww	128
gorelieberman	129
wanted	130
1	131
0	132
amto	133
mike	134
but	135
20	136
some	137
no	138
mary	139
jean	140
again	141
month	142
concerns	143
days	144
n	145
floor	146
last	147
were	148
storage	149
house	150
week	151
keep	152
don't	153
which	154
lynnfrom	155
see	156
message	157
been	158
today	159
tangie	160
big	161
m	162
01	163
change	164
team	165
e	166
imbalances	167
it's	168
oba	169
cycle	170
monday	171
well	172
night	173
home	174
those	175
since	176
hope	177
she	178
him	179
before	180
both	181
think	182
master	183
firm	184
comments	185
linda	186
original	187
12	188
version	189
content	190
cc	191
mail	192
guy	193
25	194
loop	195
very	196
per	197
2	198
find	199
222	200
janzen	201
debra	202
dickson	203
30	204
bodnar	205
use	206
rick	207
berger	208
report	209
down	210
over	211
glad	212
than	213
talked	214
email	215
take	216
i'll	217
agreements	218
cynthia	219
02	220
fw	221
may	222
also	223
garcia	224
non	225
small	226
gotta	227
everyone	228
re	229
where	230
mean	231
pm	232
chris	233
sell	234
system	235
lynda	236
talk	237
changes	238
approximately	239
could	240
10	241
contracts	242
now	243
end	244
energy	245
14	246
enro	247
james	248
review	249
training	250
second	251
same	252
want	253
brokers	254
cal	255
flash	256
went	257
ricki	258
told	259
looking	260
each	261
into	262
close	263
flood	264
rivers	265
5	266
tropical	267
storm	268
needs	269
who	270
their	271
checks	272
transfer	273
lblair	274
privileged	275
several	276
111	277
however	278
shelley	279
outlook	280
getting	281
working	282
much	283
short	284
update	285
shippers	286
number	287
does	288
adams	289
robert	290
dykes	291
sherry	292
forbish	293
greaney	294
janet	295
mcdaniel	296
scurlock	297
sturr	298
harry	299
woodson	300
gomez	301
testing	302
ramona	303
upgrade	304
more	305
gerry	306
reports	307
deadline	308
15	309
washington	310
help	311
dsl	312
only	313
msr's	314
line	315
credit	316
due	317
letter	318
district	319
still	320
dietz	321
fix	322
speed	323
even	324
jan	325
50	326
wgr	327
agreement	328
8	329
following	330
myself	331
nancy	332
callans	333
porter	334
available	335
000p	336
already	337
timely	338
4	339
6	340
ms	341
rates	342
question	343
really	344
ya'll	345
damage	346
yesterday	347
her	348
address	349
card	350
right	351
left	352
care	353
other	354
trip	355
29th	356
sorry	357
p	358
together	359
cary	360
follow	361
different	362
13	363
assistance	364
notice	365
while	366
asked	367
ward	368
thank	369
54	370
being	371
assist	372
providing	373
1000	374
receive	375
taken	376
sign	377
thoughts	378
mime	379
type	380
text	381
plain	382
charset	383
ascii	384
encoding	385
7bit	386
bcc	387
folder	388
origin	389
filename	390
agree	391
b	392
gary	393
35842	394
checking	395
off	396
morning	397
rest	398
o	399
payment	400
knock	401
information	402
large	403
stay	404
long	405
'bout	406
hop	407
session	408
benningfield	409
linhart	410
western	411
plant	412
mitchell	413
little	414
galen	415
thought	416
21	417
tms	418
july	419
thursday	420
test	421
process	422
7	423
possible	424
ask	425
laferla	426
msn	427
through	428
amy	429
albert	430
hernandez	431
mulligan	432
tracy	433
minter	434
beverly	435
miller	436
christine	437
mcevoy	438
marketing	439
exceptions	440
customer	441
commodity	442
tw	443
solutions	444
sbs	445
further	446
ready	447
60	448
degrees	449
woman	450
26	451
first	452
conversation	453
purchase	454
sale	455
713	456
853	457
later	458
attending	459
sending	460
w	461
boys	462
zadow	463
bryan	464
carr	465
shirley	466
perry	467
nron	468
diana	469
jerry	470
wilkens	471
says	472
give	473
anything	474
transaction	475
teams	476
another	477
brian	478
kuehl	479
9	480
market	481
hit	482
risk	483
19	484
18	485
having	486
deal	487
accounts	488
customers	489
preliminary	490
passing	491
unusual	492
high	493
low	494
dollar	495
amounts	496
answering	497
tas	498
error	499
unbilled	500
processing	501
errors	502
correcting	503
3	504
updates	505
gregg	506
doc	507
note	508
hopefully	509
everything	510
26th	511
hospital	512
capacity	513
steve	514
mom	515
chance	516
doing	517
gets	518
miss	519
heads	520
luck	521
nov	522
party	523
can't	524
conoco	525
09	526
relief	527
employees	528
allison	529
family	530
after	531
tomorrow	532
demand	533
order	534
funds	535
you're	536
'sent	537
l	538
pst	539
prayers	540
yes	541
dear	542
let's	543
lynnava	544
garcia06	545
post	546
allisonlynn	547
k	548
c	549
darrell	550
scott	551
sharon	552
cannot	553
remove	554
pretty	555
start	556
windows	557
takes	558
j	559
we're	560
dan	561
trying	562
trouble	563
ups	564
stands	565
friday	566
pipe	567
nomination	568
communicate	569
04	570
corman	571
assets	572
resources	573
few	574
loose	575
accounting	576
issues	577
related	578
gathering	579
co2	580
between	581
complete	582
1st	583
away	584
betancourt	585
testinglynn	586
regarding	587
explained	588
said	589
point	590
require	591
medeles	592
months	593
office	594
screens	595
stacey	596
copy	597
look	598
course	599
thanksgiving	600
longer	601
service	602
intranet	603
sense	604
elizabeth	605
put	606
categories	607
additional	608
items	609
corresponding	610
msr	611
volume	612
msr'sadjust	613
reservation	614
invoice	615
ellen	616
signed	617
appointing	618
enline	619
agent	620
utility	621
weekend	622
ie	623
injections	624
access	625
sheila	626
nacey	627
michael	628
mondayand	629
migrated	630
tuesday's	631
beneficialin	632
minimizing	633
shipper	634
teamsto	635
iam	636
actually	637
company	638
visit	639
feb	640
pressure	641
year	642
owe	643
dth	644
answers	645
amendment	646
corp	647
5705	648
meet	649
tonite	650
found	651
got	652
05	653
wednesday's	654
kelly	655
southern	656
provision	657
eol	658
closing	659
gym	660
times	661
man	662
move	663
instructions	664
critical	665
jodie	666
floyd	667
walden	668
katherine	669
aldinger	670
karen	671
clapper	672
marion	673
coon	674
tim	675
laura	676
giambrone	677
jack	678
howard	679
phillips	680
locknar	681
09lynn	682
remember	683
he's	684
issue	685
jeff	686
stand	687
every	688
yet	689
say	690
discussed	691
enr	692
magdelena	693
quenet	694
ftenergy	695
operational	696
name	697
person	698
input	699
cycles	700
thrown	701
around	702
drafting	703
committee	704
vvrroomm	705
lead	706
fed	707
ex	708
leave	709
outside	710
40	711
trades	712
hundred	713
commission	714
position	715
traded	716
75	717
cin	718
daily	719
concerning	720
etc	721
calls	722
assigning	723
totals	724
toby	725
add	726
section	727
buyer	728
bal	729
coral	730
cable	731
answer	732
surgery	733
18th	734
towork	735
surprised	736
postponed	737
theflooding	738
medical	739
center	740
stayed	741
sureready	742
felt	743
nurses	744
diagnostic	745
full	746
helping	747
themedthodist	748
herman	749
hospitals	750
belongings	751
havemore	752
peoplestarting	753
redo	754
walls	755
klimesh's	756
heard	757
his	758
lunchwith	759
forward	760
spending	761
withhis	762
speaking	763
parents	764
yours	765
soon	766
definitely	767
lunch	768
touch	769
making	770
christmas	771
sat	772
dec	773
9th	774
happy	775
holiday	776
suggestion	777
guy's	778
napoleon	779
oops	780
meant	781
foose	782
executable	783
gisb	784
incorporate	785
conoco's	786
neitherone	787
cynthia's	788
mother	789
sister	790
flooding	791
withoutelectricity	792
awhile	793
hearing	794
something	795
pleaselet	796
winters	797
victimslynn	798
below	799
tk	800
included	801
because	802
pass	803
kalmans	804
elyse	805
pmsubject	806
victimswe	807
many	808
severely	809
impacted	810
devastating	811
cares	812
immediate	813
met	814
contractors	815
houses	816
damaged	817
travelers	818
eb1625	819
noon	820
patient	821
temporarily	822
run	823
depending	824
paycheck	825
30th	826
grossed	827
account	828
taxes	829
employee	830
certification	831
situation	832
helps	833
misha	834
siegel	835
x37682	836
talking	837
duck	838
galen's	839
follows	840
people	841
tosend	842
cards	843
appreicate	844
address106222	845
endicott	846
lanehouston	847
tx	848
777318thanks	849
totally	850
ahead	851
cover	852
16	853
mortem	854
vacation	855
conflicting	856
mtg	857
reschedule	858
bushton	859
measurementarbitration	860
untiltuesday	861
drain	862
tubes	863
brown	864
27	865
feeling	866
stuck	867
kids	868
way	869
rolling	870
along	871
used	872
always	873
adapt	874
slb	875
numerous	876
conversations	877
release	878
payments	879
until	880
bush	881
plenty	882
streets	883
apart	884
wee	885
wesent	886
regulatory	887
darveaux	888
finalize	889
info	890
strangers	891
settlement	892
closely	893
alsoworking	894
fancler	895
debbie	896
mosley	897
finanace	898
haveany	899
nimble	900
alert	901
everyone's	902
ya'	903
boilermakers	904
alumni	905
the're	906
blasted	907
ou	908
mullets	909
play	910
goes	911
29	912
reviewjust	913
labels	914
okay	915
nominating	916
nng's	917
theyhave	918
location	919
poi	920
purposes	921
effect	922
oba's	923
schoolcraft	924
spraggins	925
steven	926
january	927
resourcesjust	928
exception	929
clearing	930
ends	931
involving	932
effective	933
fine	934
schedule	935
concerned	936
becauseof	937
shortage	938
lyndaif	939
thetesting	940
johnjust	941
spoke	942
upcoming	943
agreed	944
schedules	945
permited	946
project	947
production	948
15th	949
lynncc	950
matheson	951
maggie	952
terrysubject	953
code	954
past	955
mved	956
model	957
fairly	958
functions	959
icons	960
includes	961
processes	962
pipes	963
perlingiere	964
nov20001	965
notes	966
folders	967
sdickso	968
nsf	969
contract	970
yo	971
cocktails	972
gal	973
pilot	974
northpoint	975
subsidize	976
swb	977
suggested	978
decide	979
tell	980
clickathome	981
minute	982
banking	983
mulligan04	984
52	985
transwestern	986
invoicingi	987
spreadsheet	988
february	989
invoicing	990
idea	991
redistributed	992
void	993
two	994
voided	995
delete	996
checked	997
customervolume	998
adjust	999
exceptional	1000
explain	1001
rate	1002
marketingregenerate	1003
ole	1004
cop	1005
humor	1006
jefferson	1007
cocke	1008
county	1009
allocation	1010
questionshave	1011
crew	1012
documenting	1013
thequestions	1014
phone	1015
messageto	1016
research	1017
group	1018
withstorage	1019
determine	1020
made	1021
sunday	1022
tobe	1023
able	1024
allocated	1025
portion	1026
areallocating	1027
withdrawals	1028
allocatingwithdrawals	1029
willpursue	1030
