Word	Label
enron	1
the	2
to	3
ect	4
and	5
you	6
of	7
hou	8
i	9
	10
a	11
on	12
in	13
for	14
development	15
lt	16
is	17
will	18
greg	19
this	20
amp	21
with	22
have	23
be	24
whalley	25
that	26
your	27
we	28
corp	29
please	30
are	31
from	32
liz	33
com	34
s	35
thanks	36
me	37
not	38
m	39
at	40
it	41
if	42
et	43
subject	44
enronxgate	45
2000	46
e	47
or	48
20	49
as	50
would	51
20001	52
taylor	53
by	54
x	55
000	56
stacy	57
many	58
know	59
energy	60
111	61
call	62
what	63
an	64
ees	65
may	66
my	67
meeting	68
up	69
was	70
has	71
john	72
do	73
eees	74
about	75
can	76
1	77
communications	78
10	79
our	80
4	81
attached	82
cc	83
all	84
mail	85
any	86
out	87
am	88
number	89
mark	90
gas	91
one	92
p	93
get	94
re	95
5	96
amto	97
sent	98
3	99
they	100
no	101
2	102
some	103
lynn	104
june	105
time	106
w	107
tuesday	108
attend	109
he	110
business	111
713	112
need	113
transactions	114
pmto	115
let	116
should	117
lon	118
01	119
like	120
just	121
message	122
more	123
06	124
agreement	125
monday	126
but	127
i'll	128
i'm	129
questions	130
also	131
l	132
ectcc	133
see	134
na	135
thank	136
had	137
conference	138
there	139
how	140
which	141
power	142
credit	143
mike	144
these	145
so	146
7	147
morning	148
bob	149
than	150
new	151
give	152
12	153
below	154
us	155
version	156
going	157
them	158
day	159
keynote	160
05	161
week	162
30	163
their	164
j	165
interactive	166
changes	167
make	168
been	169
jeffrey	170
next	171
him	172
222	173
good	174
value	175
volume	176
houston	177
blair	178
21	179
did	180
net	181
dickson	182
original	183
here	184
first	185
04	186
bnimocks	187
zeusdevelopment	188
could	189
when	190
executive	191
sure	192
each	193
well	194
does	195
back	196
content	197
jeff	198
works	199
853	200
yes	201
mary	202
8	203
his	204
last	205
month	206
08	207
james	208
meetings	209
sa	210
team	211
nimocks	212
03	213
check	214
review	215
year	216
thursday	217
contact	218
kenneth	219
work	220
budget	221
other	222
joe	223
fw	224
into	225
copy	226
others	227
north	228
enroncc	229
don't	230
scheduled	231
09	232
brown	233
rebecca	234
weekly	235
tomorrow	236
information	237
6	238
executives	239
gross	240
take	241
02	242
find	243
deal	244
friday	245
very	246
who	247
29	248
katherine	249
report	250
notional	251
master	252
available	253
0	254
floor	255
25	256
forward	257
talk	258
both	259
think	260
office	261
america	262
24	263
firm	264
15	265
per	266
location	267
ford	268
april	269
trading	270
group	271
employees	272
go	273
comments	274
over	275
london	276
azurix	277
ava	278
game	279
company	280
pm	281
white	282
still	283
tickets	284
sue	285
only	286
two	287
high	288
calendar	289
reps	290
address	291
return	292
type	293
change	294
ww	295
rick	296
today	297
again	298
were	299
oil	300
then	301
use	302
send	303
now	304
working	305
hope	306
advise	307
mcconnell	308
cathy	309
phillips	310
kevin	311
committee	312
plan	313
through	314
august	315
long	316
come	317
market	318
terry	319
com'	320
able	321
fax	322
randy	323
sherri	324
b	325
want	326
david	327
chris	328
open	329
much	330
schedule	331
follow	332
tim	333
larry	334
18	335
goals	336
letter	337
nui	338
bp	339
management	340
including	341
date	342
27	343
following	344
march	345
invoices	346
n	347
email	348
weekend	349
26	350
request	351
louise	352
mcmahon	353
assistant	354
way	355
karen	356
gregg	357
buy	358
person	359
position	360
x31935	361
however	362
president	363
9	364
17	365
marcela	366
yahoo	367
kitchen	368
hannon	369
lavorato	370
cindy	371
paul	372
january	373
meet	374
night	375
keep	376
down	377
tx	378
event	379
program	380
such	381
trip	382
interview	383
piper	384
afternoon	385
while	386
home	387
getting	388
end	389
jay	390
bcc	391
notes	392
marsha	393
yesterday	394
she	395
online	396
markets	397
ann	398
14	399
50	400
hi	401
made	402
13	403
1000	404
things	405
before	406
16	407
fine	408
session	409
chairman	410
vice	411
look	412
process	413
during	414
presentation	415
fgt	416
via	417
book	418
sale	419
anything	420
28	421
whalley's	422
four	423
wednesday	424
mime	425
transfer	426
skilling	427
r	428
peggy	429
united	430
d	431
richard	432
mcdonald	433
kathy	434
trade	435
ews	436
too	437
yet	438
same	439
joseph	440
party	441
you're	442
mailto	443
update	444
suite	445
further	446
offer	447
eol	448
ling	449
procurement	450
most	451
area	452
wholesale	453
second	454
few	455
off	456
couple	457
gisb	458
document	459
golf	460
19	461
place	462
received	463
form	464
transaction	465
nng	466
being	467
listed	468
text	469
plain	470
charset	471
ascii	472
encoding	473
7bit	474
fitzgerald	475
folder	476
origin	477
filename	478
paper	479
07	480
numbers	481
k	482
attendance	483
shankman	484
sherriff	485
vanessa	486
g	487
response	488
ok	489
where	490
house	491
it's	492
after	493
thought	494
kowalke	495
really	496
saturday	497
hoskins	498
days	499
additional	500
under	501
opening	502
people	503
year's	504
shell	505
strategy	506
audience	507
utility	508
industry	509
field	510
behalf	511
possible	512
raetta	513
help	514
discuss	515
stanford	516
include	517
care	518
mr	519
discussed	520
since	521
sell	522
asap	523
kimberly	524
hillis	525
tina	526
spiller	527
participation	528
low	529
those	530
experience	531
already	532
jim	533
frevert	534
ken	535
loretta	536
brelsford	537
linda	538
video	539
note	540
due	541
latest	542
wanted	543
receive	544
minute	545
talked	546
customers	547
large	548
fyi	549
garza	550
nancy	551
groscrand	552
objectives	553
global	554
followed	555
dlj	556
between	557
its	558
join	559
commerce	560
mckinsey	561
speakers	562
debra	563
system	564
prior	565
set	566
speak	567
provide	568
services	569
best	570
buchanan	571
reviewing	572
purchase	573
heard	574
understand	575
issues	576
given	577
try	578
interest	579
folders	580
nsf	581
sera	582
details	583
confirmed	584
room	585
doc	586
suzanne	587
steven	588
garcia	589
whether	590
right	591
big	592
lunch	593
later	594
minutes	595
spot	596
asked	597
f	598
loop	599
answer	600
storage	601
yours	602
sutton	603
smith	604
phone	605
5705	606
natural	607
securities	608
little	609
rooftop	610
head	611
enron's	612
future	613
previous	614
c	615
buying	616
years	617
great	618
might	619
respond	620
robert	621
panel	622
three	623
comsubject	624
31	625
concerns	626
sunday	627
interviewers	628
physical	629
eb32c2	630
jetchart	631
tavaero	632
card	633
agreements	634
guy	635
left	636
diamond	637
enw	638
bibi	639
schiller	640
exchange	641
gorelieberman	642
23	643
raymond	644
michael	645
causey	646
delainey	647
stanley	648
horton	649
lay	650
jennifer	651
carol	652
stephanie	653
lauren	654
urquhart	655
needs	656
unable	657
reports	658
pmsent	659
scott	660
thomas	661
summary	662
small	663
every	664
participate	665
dinner	666
he's	667
notice	668
employee	669
dave	670
general	671
risk	672
everything	673
chance	674
doing	675
soon	676
susan	677
pam	678
benson	679
http	680
super	681
better	682
volumes	683
companies	684
section	685
concerning	686
outlook	687
members	688
consortium	689
unocal	690
total	691
director	692
practice	693
attended	694
growth	695
across	696
retail	697
media	698
investor	699
pr	700
newswire	701
educate	702
europe	703
832	704
hour	705
line	706
feedback	707
requested	708
brian	709
shirley	710
referenced	711
mean	712
v	713
jean	714
students	715
gateway	716
price	717
plane	718
case	719
chematch	720
rudwell	721
edu	722
bbbl	723
test	724
comcc	725
support	726
testing	727
didn't	728
interested	729
mitchell	730
oba	731
together	732
astros	733
sorry	734
lawrence	735
'sent	736
george	737
philippe	738
start	739
etc	740
notify	741
danz	742
bowen	743
janet	744
andrew	745
hughes	746
kean	747
koenig	748
metts	749
rice	750
sherrick	751
stark	752
conf	753
t	754
indicate	755
probably	756
cary	757
until	758
trying	759
say	760
lynnfrom	761
54	762
demand	763
sign	764
thoughts	765
45	766
though	767
regards	768
imbalances	769
went	770
looking	771
cliff	772
baxter	773
evening	774
requesting	775
confirm	776
launch	777
khoskins	778
sold	779
leaders	780
strong	781
versus	782
dsl	783
fourteen	784
talking	785
migration	786
cordially	787
beginning	788
hold	789
hard	790
what's	791
traderanger	792
ceo	793
either	794
hub	795
early	796
technology	797
petrochem	798
processing	799
journal	800
jones	801
interviews	802
ways	803
technologies	804
state	805
develop	806
solutions	807
specific	808
learn	809
staff	810
952	811
availability	812
input	813
haedicke	814
above	815
christine	816
nsw	817
5mw	818
wanting	819
hit	820
conversation	821
q	822
model	823
format	824
cycle	825
tangie	826
candidates	827
making	828
draft	829
training	830
ena	831
5000	832
mwh's	833
class	834
happy	835
40	836
75	837
janzen	838
jan	839
least	840
five	841
months	842
47	843
harry	844
mccurley	845
once	846
pledge	847
list	848
ask	849
provisions	850
derrick	851
fastow	852
olson	853
lou	854
pai	855
adams	856
dorothy	857
dalton	858
nicki	859
daw	860
dolores	861
fisher	862
rosalee	863
fleming	864
christina	865
grow	866
harris	867
heathman	868
bridget	869
maronge	870
maureen	871
mcvicker	872
owens	873
jana	874
sharron	875
westbrook	876
joannie	877
williamson	878
cdt	879
50th	880
established	881
dial	882
passcode	883
pressure	884
copies	885
print	886
february	887
andy	888
remember	889
payment	890
dennis	891
short	892
everyone	893
60	894
guys	895
without	896
providing	897
part	898
fun	899
sounds	900
fowler	901
bodnar	902
full	903
glad	904
brenda	905
skarness	906
thing	907
lizfrom	908
breakfast	909
'liz	910
csfb	911
ocean	912
prices	913
remain	914
declined	915
enp012901	916
pdf	917
suisse	918
stacey	919
plans	920
course	921
customer	922
sending	923
decision	924
allegheny	925
invited	926
vs	927
accommodate	928
spoken	929
certainly	930
consider	931
450	932
expect	933
initiatives	934
core	935
transportation	936
processes	937
events	938
key	939
benefit	940
buyers	941
organizations	942
eight	943
third	944
recruits	945
wilcrest	946
dr	947
perlingiere	948
project	949
amendment	950
enovate	951
regarding	952
idea	953
october	954
participant	955
complete	956
maybe	957
gary	958
past	959
got	960
held	961
confirmations	962
q3	963
tracy	964
put	965
contracts	966
access	967
currently	968
options	969
move	970
brad	971
1st	972
dates	973
bill	974
berger	975
shelby	976
earle	977
joyner	978
commercial	979
units	980
opportunities	981
products	982
capital	983
several	984
weeks	985
cal	986
networks	987
greg's	988
christie	989
deals	990
000p	991
usd	992
gwhalle	993
click	994
faxed	995
technical	996
discussion	997
weather	998
resources	999
behind	1000
dan	1001
near	1002
july	1003
level	1004
parking	1005
pass	1006
gwhalley	1007
lydia	1008
cannon	1009
breese	1010
444	1011
visit	1012
names	1013
h	1014
included	1015
fallon	1016
connie	1017
blackwood	1018
burns	1019
kay	1020
kelly	1021
meetingdate	1022
boardroomvideo	1023
connections	1024
remote	1025
locations	1026
upon	1027
reserved	1028
5984	1029
medium	1030
vacation	1031
gave	1032
numerous	1033
temp	1034
gotta	1035
90	1036
mobile	1037
gtc	1038
told	1039
cynthia	1040
different	1041
assistance	1042
because	1043
immediate	1044
taken	1045
order	1046
stan	1047
can't	1048
believe	1049
name	1050
seems	1051
industrial	1052
coverage	1053
fix	1054
question	1055
hopefully	1056
bannantine	1057
sanjay	1058
bhatnagar	1059
diomedes	1060
christodoulou	1061
haug	1062
izzo	1063
