Word	Label
the	1
to	2
lt	3
i	4
and	5
you	6
a	7
of	8
enron	9
ect	10
in	11
for	12
is	13
on	14
vince	15
that	16
	17
com	18
we	19
this	20
with	21
be	22
hou	23
have	24
kaminski	25
it	26
are	27
j	28
at	29
me	30
will	31
your	32
2000	33
from	34
subject	35
if	36
would	37
please	38
as	39
my	40
can	41
am	42
or	43
carol	44
not	45
our	46
thanks	47
an	48
about	49
know	50
ectcc	51
x	52
by	53
what	54
20	55
do	56
any	57
1	58
was	59
st	60
713	61
he	62
but	63
2	64
time	65
edu	66
like	67
risk	68
up	69
fax	70
some	71
us	72
need	73
corp	74
mail	75
let	76
shall	77
should	78
they	79
all	80
re	81
amp	82
853	83
phone	84
has	85
call	86
get	87
one	88
may	89
group	90
amto	91
there	92
could	93
10	94
so	95
cc	96
think	97
work	98
week	99
here	100
e	101
000	102
pmto	103
out	104
phillip	105
new	106
more	107
shirley	108
energy	109
research	110
him	111
3	112
meeting	113
very	114
s	115
646	116
send	117
message	118
which	119
111	120
3989	121
john	122
08	123
also	124
when	125
well	126
33393	127
make	128
gas	129
see	130
claireb	131
want	132
12	133
30	134
just	135
look	136
them	137
01	138
how	139
next	140
sent	141
no	142
these	143
been	144
good	145
his	146
forward	147
09	148
mark	149
take	150
information	151
4	152
credit	153
houston	154
back	155
other	156
stinson	157
day	158
use	159
had	160
clair	161
email	162
their	163
going	164
help	165
talk	166
give	167
03	168
conference	169
only	170
vkamins	171
who	172
date	173
power	174
5	175
05	176
stacy	177
she	178
i'm	179
friday	180
business	181
options	182
steve	183
were	184
06	185
agreement	186
attached	187
3892713	188
few	189
monday	190
02	191
last	192
price	193
content	194
04	195
thank	196
go	197
na	198
hope	199
best	200
questions	201
market	202
language	203
version	204
07	205
comments	206
today	207
visit	208
office	209
pm	210
meet	211
management	212
aol	213
et	214
program	215
did	216
15	217
number	218
schedule	219
discuss	220
still	221
than	222
jeff	223
before	224
contact	225
company	226
copy	227
net	228
sure	229
type	230
review	231
such	232
her	233
don't	234
communications	235
following	236
form	237
mike	238
p	239
year	240
way	241
then	242
london	243
presentation	244
8	245
6	246
financial	247
now	248
0	249
after	250
it's	251
morning	252
into	253
transfer	254
tomorrow	255
two	256
much	257
working	258
people	259
again	260
grant	261
does	262
set	263
issues	264
both	265
crenshaw	266
since	267
over	268
first	269
project	270
resume	271
draft	272
regarding	273
find	274
comcc	275
m	276
under	277
lon	278
bcc	279
letter	280
master	281
prices	282
gibner	283
its	284
kevin	285
real	286
model	287
20001	288
oren	289
might	290
per	291
where	292
request	293
through	294
lunch	295
between	296
regards	297
received	298
great	299
many	300
7	301
9	302
list	303
berkeley	304
days	305
interest	306
25	307
david	308
person	309
case	310
university	311
guaranty	312
long	313
http	314
interview	315
markets	316
really	317
thursday	318
doing	319
currently	320
option	321
book	322
available	323
finance	324
soon	325
trading	326
anjam	327
process	328
below	329
19	330
name	331
free	332
put	333
america	334
come	335
stanford	336
looking	337
susan	338
part	339
tuesday	340
north	341
interested	342
works	343
april	344
home	345
july	346
joe	347
position	348
29	349
allen	350
section	351
development	352
summer	353
222	354
dinner	355
18	356
same	357
notes	358
14	359
fyivince	360
27	361
28	362
another	363
glad	364
try	365
sorry	366
file	367
38889713	368
changes	369
made	370
years	371
able	372
problem	373
access	374
text	375
dale	376
uk	377
done	378
getting	379
original	380
17	381
feel	382
transaction	383
around	384
26	385
vincent	386
deal	387
each	388
possible	389
keep	390
mime	391
shmuel	392
utexas	393
given	394
place	395
value	396
ask	397
additional	398
wanted	399
plan	400
issue	401
understand	402
school	403
end	404
check	405
being	406
appreciate	407
smith	408
different	409
folder	410
because	411
yes	412
13	413
speak	414
encoding	415
com'	416
b	417
off	418
23	419
16	420
isda	421
d	422
right	423
together	424
plain	425
charset	426
happy	427
needs	428
team	429
opportunity	430
technical	431
already	432
include	433
june	434
cost	435
c	436
origin	437
filename	438
short	439
job	440
dickson	441
trying	442
leave	443
31	444
tx	445
hello	446
event	447
asked	448
weather	449
trip	450
most	451
wednesday	452
too	453
co	454
open	455
during	456
used	457
w	458
ca	459
ascii	460
things	461
based	462
address	463
respond	464
month	465
v	466
nsf	467
physical	468
termination	469
either	470
change	471
valuation	472
engineering	473
7bit	474
folders	475
www	476
point	477
looks	478
congratulations	479
current	480
enroncc	481
fine	482
october	483
'sent	484
tanya	485
got	486
until	487
weekend	488
better	489
details	490
data	491
mr	492
associate	493
lng	494
follow	495
provide	496
thoughts	497
thought	498
lynn	499
sending	500
saturday	501
444	502
derivatives	503
zimin	504
confirm	505
weeks	506
pay	507
second	508
enron's	509
high	510
article	511
doc	512
lot	513
said	514
21	515
however	516
afternoon	517
bring	518
ieor	519
contract	520
fyi	521
chris	522
invite	523
jim	524
enclosed	525
martin	526
site	527
william	528
mary	529
24	530
those	531
support	532
left	533
i'll	534
o	535
enronxgate	536
michael	537
future	538
george	539
attend	540
course	541
rice	542
models	543
keith	544
return	545
industry	546
area	547
mentioned	548
voice	549
firm	550
roberts	551
term	552
trades	553
something	554
note	555
students	556
cash	557
while	558
vasant	559
ehud	560
someone	561
within	562
assistant	563
anyone	564
ok	565
masson	566
having	567
discussed	568
ebs	569
taking	570
several	571
investment	572
tom	573
full	574
ny	575
volatility	576
party	577
yet	578
amendment	579
house	580
managing	581
numbers	582
room	583
services	584
sara	585
okay	586
whether	587
system	588
due	589
chance	590
down	591
natural	592
hear	593
further	594
g	595
talked	596
etc	597
let's	598
california	599
response	600
using	601
counterparty	602
join	603
sam	604
suzanne	605
lucy	606
invitation	607
even	608
agree	609
cannot	610
skills	611
points	612
add	613
san	614
department	615
later	616
latest	617
spoke	618
report	619
receive	620
storage	621
important	622
start	623
above	624
believe	625
info	626
jana	627
order	628
anything	629
paper	630
50	631
night	632
august	633
director	634
legal	635
general	636
cover	637
jun20001	638
ena	639
texas	640
512	641
why	642
greg	643
gary	644
class	645
ready	646
coming	647
bill	648
seminar	649
l	650
h	651
experience	652
vacation	653
say	654
requested	655
ees	656
manager	657
interesting	658
west	659
operations	660
offer	661
times	662
told	663
wants	664
1000	665
beth	666
bank	667
members	668
i've	669
march	670
far	671
rate	672
daily	673
baylor	674
unit	675
early	676
tell	677
run	678
products	679
id	680
question	681
recruiting	682
analyst	683
move	684
ashley	685
default	686
34	687
basis	688
hearing	689
else	690
construction	691
companies	692
sincerely	693
agreements	694
respect	695
meetings	696
pricing	697
idea	698
notice	699
ago	700
makes	701
desk	702
t	703
minutes	704
marketing	705
dear	706
austin	707
copies	708
inc	709
