Word	Label
713	1
corp	2
enron	3
com	4
to	5
a	6
me	7
isdas	8
sara	9
i	10
that	11
not	12
either	13
or	14
with	15
heardsenior	16
legal	17
specialistenron	18
north	19
america	20
phone	21
853	22
3907fax	23
646	24
3490marie	25
heard	26
has	27
list	28
of	29
outstanding	30
deemed	31
http	32
gasfundy	33
gas	34
framework	35
default	36
asp	37
pursuant	38
shackleton's	39
request	40
am	41
attaching	42
memo	43
prepared	44
in	45
april	46
2000	47
regarding	48
procedures	49
for	50
opening	51
brokerage	52
accounts	53
please	54
do	55
hesitate	56
contact	57
at	58
x35620	59
any	60
questions	61
marie	62
hi	63
bianca	64
francisco	65
pinto	66
leite	67
asked	68
give	69
him	70
all	71
and	72
mexican	73
counterparties	74
can	75
you	76
send	77
the	78
are	79
still	80
comments	81
received	82
counterparty	83
returned	84
signed	85
copy	86
thanks	87
mariemarie	88
