Word	Label
the	1
to	2
lt	3
i	4
and	5
you	6
a	7
of	8
is	9
enron	10
that	11
for	12
in	13
ect	14
this	15
with	16
we	17
have	18
on	19
com	20
are	21
be	22
me	23
it	24
if	25
will	26
carol	27
please	28
hou	29
your	30
st	31
from	32
as	33
at	34
know	35
attached	36
my	37
am	38
agreement	39
would	40
not	41
	42
any	43
or	44
subject	45
gerald	46
can	47
our	48
nemec	49
let	50
was	51
713	52
what	53
thanks	54
need	55
by	56
clair	57
they	58
up	59
but	60
do	61
1	62
fax	63
so	64
all	65
out	66
about	67
get	68
853	69
cc	70
review	71
phone	72
an	73
2	74
2000	75
like	76
there	77
646	78
some	79
time	80
3989	81
amp	82
33393	83
he	84
call	85
going	86
claireb	87
just	88
has	89
see	90
should	91
which	92
work	93
gas	94
e	95
these	96
3	97
sent	98
re	99
think	100
letter	101
here	102
when	103
one	104
draft	105
mail	106
want	107
them	108
questions	109
also	110
may	111
form	112
10	113
how	114
20001	115
had	116
enronxgate	117
mark	118
been	119
phillip	120
could	121
pm	122
us	123
back	124
were	125
new	126
comments	127
week	128
no	129
4	130
000	131
language	132
good	133
credit	134
make	135
still	136
don't	137
3892713	138
their	139
x	140
only	141
forward	142
did	143
send	144
111	145
message	146
email	147
go	148
now	149
more	150
s	151
5	152
other	153
6	154
changes	155
net	156
20	157
12	158
master	159
original	160
guaranty	161
take	162
into	163
day	164
his	165
corp	166
last	167
version	168
well	169
section	170
sure	171
under	172
date	173
who	174
i'm	175
she	176
next	177
him	178
doc	179
today	180
after	181
contract	182
look	183
information	184
then	185
stacy	186
talk	187
revised	188
09	189
discuss	190
before	191
since	192
help	193
use	194
both	195
02	196
isda	197
john	198
01	199
made	200
party	201
copy	202
give	203
30	204
group	205
following	206
really	207
eric	208
05	209
susan	210
03	211
deal	212
file	213
over	214
services	215
per	216
l	217
than	218
change	219
assignment	220
those	221
friday	222
schedule	223
between	224
pmto	225
energy	226
two	227
04	228
agreements	229
f	230
m	231
7	232
note	233
38889713	234
her	235
year	236
such	237
weekend	238
around	239
where	240
06	241
et	242
night	243
right	244
got	245
g	246
way	247
discussed	248
its	249
power	250
issues	251
texas	252
amendment	253
office	254
hope	255
very	256
tomorrow	257
few	258
company	259
does	260
check	261
number	262
looks	263
doing	264
8	265
ryan	266
9	267
off	268
first	269
legal	270
might	271
great	272
houston	273
much	274
23	275
down	276
probably	277
ena	278
place	279
getting	280
ectcc	281
confirm	282
gillaspie	283
each	284
termination	285
wanted	286
transaction	287
things	288
08	289
later	290
jeff	291
meeting	292
too	293
na	294
address	295
purchase	296
working	297
sorry	298
point	299
until	300
steve	301
again	302
fine	303
put	304
transfer	305
come	306
thank	307
15	308
find	309
soon	310
received	311
redlined	312
clean	313
done	314
thought	315
aol	316
999	317
sounds	318
same	319
project	320
try	321
mary	322
firm	323
being	324
07	325
didn't	326
price	327
george	328
part	329
allen	330
monday	331
yet	332
morning	333
list	334
name	335
through	336
leave	337
13	338
little	339
june	340
days	341
p	342
b	343
needs	344
14	345
respect	346
event	347
executed	348
contact	349
person	350
long	351
provide	352
plan	353
latest	354
amto	355
request	356
thursday	357
type	358
27	359
anything	360
lunch	361
keep	362
game	363
fw	364
pretty	365
process	366
wildhorse	367
north	368
house	369
why	370
david	371
fyi	372
deals	373
revisions	374
com'	375
home	376
business	377
yes	378
set	379
another	380
capacity	381
21	382
left	383
either	384
something	385
counterparty	386
term	387
tuesday	388
most	389
final	390
ok	391
meet	392
ruppert	393
big	394
o	395
end	396
documents	397
trying	398
looking	399
okay	400
default	401
prior	402
able	403
mike	404
while	405
below	406
i'll	407
else	408
response	409
because	410
ken	411
j	412
possible	413
someone	414
dickson	415
gt	416
further	417
enclosed	418
people	419
open	420
based	421
million	422
month	423
guys	424
added	425
25	426
wednesday	427
paul	428
document	429
said	430
16	431
contracts	432
chance	433
dan	434
0	435
brown	436
america	437
asked	438
collateral	439
line	440
understand	441
austin	442
inc	443
law	444
amount	445
let's	446
chris	447
currently	448
order	449
c	450
suzanne	451
system	452
love	453
222	454
notice	455
care	456
content	457
trading	458
definition	459
above	460
signed	461
can't	462
works	463
1999	464
concerning	465
scott	466
however	467
coming	468
already	469
cash	470
lisa	471
feel	472
sara	473
issue	474
used	475
physical	476
it's	477
state	478
trades	479
tell	480
having	481
release	482
everything	483
add	484
csa	485
hi	486
earlier	487
confirms	488
couple	489
construction	490
ca	491
mailto	492
west	493
busy	494
available	495
during	496
together	497
bill	498
receive	499
russell	500
yesterday	501
trip	502
fun	503
years	504
actually	505
17	506
notes	507
haven't	508
heard	509
told	510
payment	511
cost	512
better	513
26	514
best	515
attorney	516
regarding	517
18	518
free	519
happy	520
saturday	521
reviewed	522
numbers	523
keith	524
24	525
ext	526
confirmation	527
execution	528
once	529
docs	530
compression	531
friend	532
upon	533
start	534
ann	535
even	536
via	537
non	538
risk	539
voice	540
product	541
additional	542
tw	543
side	544
ready	545
plans	546
forwarded	547
market	548
town	549
anyone	550
gathering	551
follow	552
barry	553
schedules	554
believe	555
d	556
k	557
jim	558
19	559
financial	560
went	561
cover	562
'carol	563
sending	564
talked	565
pay	566
joe	567
include	568
llc	569
ecs	570
thoughts	571
greg	572
gnemec	573
maybe	574
football	575
development	576
school	577
san	578
acceptable	579
ii	580
n	581
sale	582
wt	583
townsend	584
consent	585
due	586
college	587
though	588
without	589
31	590
morgan	591
prepare	592
interest	593
worked	594
hear	595
afternoon	596
red	597
gtc	598
drop	599
50	600
swap	601
weeks	602
return	603
service	604
shall	605
threshold	606
late	607
redline	608
proposed	609
copies	610
sign	611
say	612
terms	613
shortly	614
early	615
marketing	616
28	617
provisions	618
requested	619
period	620
larry	621
site	622
points	623
confidentiality	624
against	625
tax	626
lc	627
hotmail	628
won't	629
given	630
planning	631
existing	632
bank	633
gtownsend	634
hey	635
t	636
lynn	637
i've	638
second	639
ask	640
changed	641
versions	642
called	643
paragraph	644
sys32	645
tickets	646
storage	647
hard	648
spoke	649
intended	650
obligations	651
problem	652
current	653
manorisd	654
case	655
rate	656
that's	657
short	658
status	659
parties	660
far	661
entity	662
anyway	663
r	664
close	665
barbara	666
interested	667
what's	668
exhibit	669
discussion	670
lot	671
amendments	672
exxon	673
http	674
lucy	675
full	676
access	677
natural	678
lin	679
agreed	680
team	681
drafts	682
along	683
room	684
counterparties	685
smtp	686
prices	687
29	688
every	689
three	690
annex	691
comsubject	692
never	693
pipeline	694
tom	695
times	696
effective	697
maria	698
class	699
fpexmail	700
sheet	701
support	702
