Word	Label
enron	1
to	2
ect	3
the	4
i	5
you	6
	7
a	8
hou	9
for	10
and	11
is	12
have	13
this	14
in	15
of	16
your	17
me	18
we	19
on	20
with	21
not	22
corp	23
that	24
are	25
if	26
it	27
x	28
ots	29
do	30
be	31
hi	32
so	33
at	34
na	35
all	36
up	37
was	38
going	39
my	40
just	41
out	42
from	43
please	44
no	45
know	46
would	47
how	48
yes	49
thanks	50
get	51
can	52
2000	53
ring	54
will	55
000	56
e	57
when	58
here	59
f	60
us	61
like	62
thank	63
any	64
i'm	65
much	66
what	67
who	68
but	69
amp	70
migration	71
andrea	72
take	73
time	74
had	75
20	76
one	77
sorry	78
check	79
by	80
good	81
notes	82
were	83
call	84
about	85
still	86
these	87
r	88
too	89
work	90
day	91
love	92
go	93
help	94
inside	95
com	96
gas	97
it's	98
house	99
scott	100
mail	101
care	102
products	103
only	104
deal	105
been	106
c	107
long	108
ww	109
gorelieberman	110
some	111
outlook	112
01	113
type	114
calendar	115
our	116
need	117
content	118
home	119
i'll	120
hope	121
price	122
took	123
them	124
down	125
big	126
stay	127
access	128
mark	129
email	130
0	131
went	132
last	133
night	134
as	135
am	136
guy	137
those	138
eric	139
craig	140
john	141
la	142
anyone	143
christmas	144
new	145
think	146
now	147
more	148
better	149
very	150
let	151
ok	152
did	153
today	154
week	155
again	156
prices	157
correct	158
gotta	159
or	160
w	161
2	162
survey	163
information	164
5	165
date	166
both	167
address	168
shared	169
1	170
cc	171
could	172
there	173
told	174
see	175
back	176
already	177
set	178
don't	179
50	180
joe	181
thought	182
well	183
around	184
eol	185
got	186
8	187
use	188
altrade	189
probably	190
everyone	191
an	192
team	193
neal	194
david	195
jan	196
young	197
brown	198
user	199
following	200
click	201
id	202
permission	203
does	204
responsible	205
updating	206
book	207
list	208
7	209
office	210
future	211
vacation	212
mm	213
ddd	214
yyy	215
mime	216
version	217
text	218
plain	219
charset	220
ascii	221
transfer	222
encoding	223
7bit	224
bcc	225
folder	226
jun20001	227
folders	228
'sent	229
origin	230
filename	231
aring	232
nsf	233
first	234
9	235
30	236
dick	237
doing	238
holiday	239
houston	240
during	241
never	242
getting	243
coming	244
than	245
has	246
should	247
everything	248
together	249
kids	250
mean	251
andy	252
month	253
desk	254
made	255
product	256
off	257
they	258
started	259
ena	260
into	261
once	262
cokinos	263
s	264
00075	265
cal	266
large	267
trip	268
amount	269
'bout	270
m	271
hop	272
find	273
20001	274
charles	275
chris	276
kimberly	277
sandra	278
brawner	279
j	280
reese	281
mary	282
ann	283
subject	284
few	285
then	286
sent	287
location	288
desktop	289
else	290
which	291
near	292
leave	293
michael	294
mousteiko	295
send	296
713	297
third	298
even	299
come	300
glad	301
tell	302
guess	303
thanksgiving	304
over	305
meet	306
additional	307
want	308
actually	309
company	310
little	311
60	312
degrees	313
beverly	314
changed	315
friday	316
drop	317
line	318
right	319
miss	320
boys	321
maybe	322
may	323
problems	324
being	325
delete	326
because	327
end	328
fun	329
really	330
days	331
woman	332
delivered	333
believe	334
tennessee	335
helps	336
party	337
make	338
knock	339
sitara	340
earlier	341
interested	342
transco	343
tetco	344
terms	345
he	346
start	347
yesterday	348
pm	349
rest	350
later	351
lunch	352
enr	353
09	354
physical	355
elizabeth	356
respond	357
indicating	358
wrote	359
incorrectly	360
found	361
past	362
experiences	363
discrepencies	364
usually	365
question	366
trying	367
trouble	368
small	369
short	370
card	371
14	372
26	373
v	374
weldon	375
ed	376
mcmichael	377
boyt	378
moon	379
geraldine	380
irvine	381
jin	382
guo	383
louis	384
dicarlo	385
maria	386
garza	387
sandy	388
olitsky	389
santiago	390
garcia	391
steven	392
curlee	393
alexandra	394
villarreal	395
brad	396
mckay	397
germany	398
hendrickson	399
thode	400
jennifer	401
walker	402
judy	403
townsend	404
kathie	405
grabstald	406
bates	407
koenig	408
peter	409
keavey	410
rebecca	411
ford	412
sean	413
boyle	414
pereira	415
victoria	416
versen	417
vladi	418
pimenov	419
taylor	420
jones	421
frank	422
gil	423
muhl	424
hodge	425
maureen	426
smith	427
nelson	428
ferries	429
phil	430
demoes	431
robin	432
barbe	433
ruth	434
concannon	435
depaolis	436
daniel	437
lisk	438
hillary	439
mack	440
sutherland	441
jason	442
wolfe	443
groenewold	444
enronxgate	445
shelly	446
mendel	447
stacey	448
suzanne	449
christiansen	450
ted	451
evans	452
dina	453
snow	454
kay	455
lance	456
schuler	457
legal	458
vineet	459
arora	460
beth	461
ryan	462
bill	463
terlip	464
doug	465
leach	466
marc	467
de	468
roche	469
randal	470
maffett	471
tushar	472
yolanda	473
cordova	474
gilbert	475
amy	476
villasenor	477
debra	478
jeff	479
arnold	480
fgt	481
josh	482
mayes	483
larry	484
fenstad	485
adleman	486
johnson	487
lynne	488
dix	489
mike	490
thomas	491
morris	492
rinetia	493
turner	494
robert	495
geheb	496
ruthann	497
frausto	498
tyrone	499
17	500
ensure	501
experience	502
successful	503
necessary	504
gather	505
individual	506
prior	507
minutes	508
completely	509
