Word	Label
the	1
to	2
i	3
and	4
you	5
lt	6
enron	7
of	8
a	9
carol	10
that	11
is	12
ect	13
in	14
st	15
we	16
for	17
on	18
this	19
with	20
have	21
com	22
be	23
are	24
will	25
clair	26
me	27
it	28
hou	29
if	30
please	31
from	32
713	33
your	34
as	35
fax	36
853	37
phone	38
not	39
at	40
	41
would	42
646	43
3989	44
our	45
33393	46
or	47
thanks	48
subject	49
my	50
can	51
claireb	52
am	53
know	54
what	55
need	56
any	57
do	58
they	59
2000	60
but	61
cc	62
1	63
about	64
2	65
was	66
all	67
so	68
up	69
3892713	70
let	71
by	72
call	73
3	74
out	75
an	76
get	77
there	78
them	79
000	80
think	81
just	82
re	83
like	84
he	85
us	86
should	87
agreement	88
amp	89
time	90
sent	91
credit	92
has	93
could	94
e	95
here	96
some	97
want	98
which	99
new	100
mail	101
phillip	102
week	103
mark	104
pm	105
see	106
language	107
may	108
send	109
i'm	110
work	111
corp	112
x	113
when	114
draft	115
going	116
06	117
how	118
20001	119
10	120
05	121
also	122
these	123
4	124
c	125
isda	126
one	127
doc	128
been	129
master	130
s	131
gas	132
had	133
12	134
guaranty	135
5	136
111	137
make	138
their	139
susan	140
38889713	141
form	142
comments	143
back	144
attached	145
dg	146
next	147
group	148
don't	149
message	150
6	151
questions	152
she	153
go	154
30	155
day	156
no	157
were	158
him	159
john	160
more	161
look	162
only	163
suzanne	164
her	165
last	166
sure	167
forward	168
date	169
other	170
darron	171
letter	172
did	173
good	174
giron	175
email	176
take	177
stacy	178
into	179
help	180
sara	181
today	182
david	183
issues	184
section	185
before	186
still	187
information	188
07	189
energy	190
deal	191
who	192
p	193
tomorrow	194
under	195
give	196
well	197
number	198
after	199
his	200
review	201
file	202
talk	203
use	204
01	205
transfer	206
mary	207
amendment	208
then	209
l	210
change	211
now	212
schedule	213
following	214
changes	215
list	216
thank	217
original	218
office	219
since	220
counterparty	221
jeff	222
20	223
deals	224
termination	225
23	226
does	227
09	228
na	229
where	230
ectcc	231
et	232
both	233
08	234
june	235
price	236
friday	237
done	238
set	239
respect	240
pmto	241
hope	242
legal	243
discuss	244
part	245
doing	246
02	247
until	248
04	249
amto	250
over	251
received	252
much	253
version	254
meeting	255
monday	256
getting	257
7	258
two	259
physical	260
8	261
than	262
contact	263
event	264
okay	265
made	266
really	267
process	268
i'll	269
each	270
very	271
default	272
tana	273
enclosed	274
b	275
bill	276
leave	277
people	278
again	279
find	280
soon	281
enronxgate	282
party	283
put	284
few	285
lunch	286
collateral	287
power	288
try	289
wanted	290
someone	291
15	292
because	293
such	294
issue	295
first	296
confirm	297
great	298
9573	299
west	300
assignment	301
between	302
looking	303
needs	304
same	305
copy	306
way	307
9	308
either	309
morning	310
adams	311
right	312
below	313
type	314
03	315
working	316
looks	317
days	318
online	319
asked	320
taylor	321
mike	322
person	323
tuesday	324
fine	325
ena	326
year	327
amount	328
trades	329
allen	330
trading	331
lc	332
additional	333
13	334
its	335
14	336
off	337
joe	338
financial	339
works	340
weeks	341
address	342
swap	343
got	344
something	345
russell	346
company	347
things	348
m	349
long	350
thought	351
come	352
per	353
north	354
regarding	355
plan	356
too	357
end	358
transaction	359
law	360
possible	361
anything	362
discussed	363
check	364
being	365
name	366
cash	367
keep	368
leslie	369
add	370
home	371
why	372
able	373
understand	374
left	375
scott	376
believe	377
confirmation	378
wednesday	379
desk	380
book	381
meet	382
consent	383
16	384
dickson	385
through	386
night	387
place	388
tax	389
project	390
thursday	391
development	392
around	393
can't	394
transactions	395
content	396
it's	397
counterparties	398
feel	399
firm	400
yes	401
trying	402
business	403
threshold	404
point	405
best	406
available	407
pay	408
steve	409
alos	410
25	411
sorry	412
spoke	413
jim	414
0	415
open	416
those	417
love	418
contract	419
revised	420
'carol	421
eta	422
response	423
risk	424
america	425
houston	426
above	427
used	428
house	429
signed	430
inc	431
another	432
based	433
requested	434
com'	435
heard	436
later	437
confirms	438
currently	439
mega	440
18	441
sending	442
charles	443
market	444
agree	445
voice	446
21	447
request	448
yesterday	449
counsel	450
latest	451
didn't	452
definition	453
might	454
d	455
notes	456
26	457
info	458
once	459
include	460
having	461
else	462
fyi	463
i've	464
said	465
proposed	466
documents	467
morgan	468
agreed	469
given	470
anyone	471
sitara	472
product	473
rod	474
annex	475
month	476
19	477
csa	478
access	479
note	480
dave	481
28	482
ii	483
format	484
keith	485
conference	486
follow	487
shackleton	488
thoughts	489
line	490
order	491
j	492
29	493
bailey	494
ed	495
side	496
tell	497
tagg	498
marketing	499
care	500
support	501
31	502
attorney	503
hopefully	504
free	505
bank	506
final	507
agreements	508
current	509
word	510
down	511
probably	512
daily	513
ask	514
222	515
numbers	516
receive	517
different	518
yet	519
larry	520
better	521
little	522
engage	523
canada	524
effective	525
payment	526
already	527
ace	528
position	529
books	530
update	531
hearing	532
cannot	533
lynn	534
enroncc	535
return	536
july	537
sign	538
added	539
provide	540
say	541
net	542
further	543
cost	544
close	545
eol	546
paragraph	547
using	548
san	549
17	550
vacation	551
cross	552
el	553
jones	554
hear	555
room	556
paul	557
most	558
utilicorp	559
k	560
randy	561
executed	562
elizabeth	563
cover	564
mailto	565
upon	566
afternoon	567
lucy	568
provisions	569
g	570
27	571
taffy	572
everything	573
services	574
mac	575
system	576
second	577
george	578
maria	579
changed	580
together	581
lin	582
everyone	583
while	584
team	585
notice	586
problem	587
prefer	588
frank	589
ready	590
enovate	591
1000	592
texas	593
hansen	594
entity	595
flynn	596
terms	597
james	598
points	599
paid	600
concerns	601
prices	602
sometime	603
rhonda	604
mentioned	605
waiting	606
play	607
wants	608
weekend	609
24	610
told	611
non	612
never	613
term	614
assistant	615
exposure	616
guarantee	617
even	618
ok	619
baby	620
chance	621
chris	622
maybe	623
during	624
index	625
accept	626
chnages	627
approval	628
denton	629
comcc	630
document	631
correct	632
schedules	633
socal	634
months	635
purchase	636
trade	637
coming	638
early	639
shortly	640
calendar	641
arbitration	642
bcc	643
policy	644
seems	645
amendments	646
assuming	647
taht	648
however	649
sale	650
ees	651
dates	652
wait	653
derrick	654
reviewing	655
case	656
advise	657
setoff	658
respond	659
guys	660
interested	661
question	662
o	663
start	664
products	665
anne	666
shuttee	667
far	668
t	669
tanya	670
intended	671
execution	672
memo	673
kristina	674
let's	675
h	676
paso	677
central	678
folder	679
origin	680
planning	681
trigger	682
rating	683
visit	684
keiser	685
run	686
short	687
red	688
ft	689
although	690
rate	691
kevin	692
text	693
encoding	694
updated	695
kam	696
parties	697
report	698
kaiser	699
confirmed	700
general	701
