Word	Label
the	1
to	2
enron	3
i	4
and	5
you	6
on	7
amp	8
this	9
s	10
et	11
a	12
of	13
for	14
that	15
	16
is	17
in	18
with	19
be	20
have	21
we	22
will	23
bt	24
thanks	25
if	26
are	27
me	28
my	29
up	30
not	31
it	32
lynn	33
as	34
your	35
would	36
can	37
am	38
any	39
know	40
at	41
out	42
should	43
get	44
enronxgate	45
please	46
or	47
call	48
our	49
was	50
from	51
all	52
blair	53
like	54
there	55
going	56
just	57
20001	58
some	59
then	60
questions	61
000	62
ava	63
us	64
june	65
need	66
reps	67
what	68
john	69
but	70
pls	71
gas	72
by	73
terry	74
has	75
work	76
had	77
good	78
about	79
subject	80
an	81
1	82
2000	83
did	84
so	85
do	86
sent	87
them	88
next	89
check	90
he	91
these	92
back	93
day	94
let	95
they	96
one	97
x	98
ok	99
down	100
when	101
06	102
go	103
sure	104
meeting	105
further	106
e	107
com	108
home	109
randy	110
m	111
time	112
enroncc	113
been	114
week	115
tuesday	116
don't	117
fgt	118
how	119
she	120
kowalke	121
may	122
larry	123
raetta	124
nng	125
see	126
invoices	127
come	128
also	129
date	130
today	131
note	132
barry	133
again	134
here	135
i'm	136
no	137
days	138
mail	139
together	140
send	141
make	142
2	143
too	144
pmto	145
buchanan	146
talk	147
both	148
kathy	149
their	150
message	151
changes	152
reviewing	153
number	154
information	155
monday	156
night	157
gerald	158
off	159
until	160
were	161
joe	162
ww	163
now	164
change	165
which	166
want	167
take	168
glad	169
concerns	170
floor	171
very	172
customers	173
new	174
month	175
3	176
still	177
group	178
keep	179
let's	180
set	181
guys	182
forward	183
lt	184
last	185
address	186
n	187
jean	188
mary	189
20	190
fyi	191
gorelieberman	192
long	193
more	194
could	195
schedule	196
lynnfrom	197
01	198
original	199
over	200
each	201
complete	202
than	203
friday	204
imbalances	205
6	206
report	207
oba	208
storage	209
mike	210
use	211
big	212
pm	213
system	214
capacity	215
her	216
house	217
think	218
tangie	219
bill	220
kim	221
risk	222
before	223
it's	224
however	225
little	226
much	227
testing	228
re	229
regarding	230
into	231
12	232
few	233
1000	234
reports	235
rick	236
222	237
amto	238
him	239
berger	240
4	241
wanted	242
customer	243
same	244
5	245
update	246
bodnar	247
loop	248
payment	249
discuss	250
getting	251
guy	252
30	253
who	254
where	255
language	256
install	257
notice	258
really	259
list	260
historical	261
contact	262
since	263
hope	264
short	265
janzen	266
first	267
asked	268
8	269
sell	270
end	271
west	272
form	273
jan	274
lynda	275
being	276
team	277
02	278
small	279
assist	280
point	281
needs	282
working	283
approximately	284
15	285
help	286
game	287
fw	288
anything	289
email	290
10	291
morning	292
issues	293
flash	294
meet	295
weekend	296
phone	297
talked	298
non	299
access	300
ready	301
conversation	302
funds	303
amount	304
gomez	305
put	306
advise	307
tues	308
around	309
summary	310
shippers	311
well	312
those	313
yesterday	314
right	315
looking	316
sorry	317
garcia	318
enro	319
james	320
linda	321
w	322
chris	323
training	324
gotta	325
follow	326
already	327
thurs	328
later	329
basis	330
i'll	331
way	332
start	333
rest	334
year	335
price	336
0	337
25	338
mean	339
co	340
line	341
canada	342
cal	343
package	344
pretty	345
degrees	346
even	347
only	348
50	349
away	350
thought	351
ramona	352
upgrade	353
require	354
gerry	355
test	356
deadline	357
possible	358
washington	359
yes	360
chance	361
dietz	362
having	363
different	364
ms	365
14	366
another	367
deal	368
items	369
rates	370
etc	371
every	372
close	373
cycle	374
low	375
amounts	376
error	377
total	378
myself	379
called	380
give	381
713	382
several	383
shelley	384
fix	385
everyone	386
speed	387
canadian	388
eric	389
calculation	390
pg	391
calc	392
copy	393
steve	394
111	395
stephanie	396
postpone	397
available	398
hear	399
other	400
look	401
after	402
spend	403
received	404
because	405
used	406
sending	407
numbers	408
related	409
dave	410
paul	411
went	412
ricki	413
told	414
his	415
care	416
trip	417
can't	418
term	419
firm	420
pipe	421
cynthia	422
adams	423
robert	424
dykes	425
sherry	426
forbish	427
greaney	428
janet	429
mcdaniel	430
debra	431
scurlock	432
sturr	433
harry	434
woodson	435
nancy	436
callans	437
cc	438
outlook	439
000p	440
second	441
include	442
bid	443
people	444
name	445
business	446
discussions	447
beach	448
jessica	449
content	450
lblair	451
privileged	452
brokers	453
say	454
review	455
flood	456
tropical	457
storm	458
receive	459
demand	460
tycholiz	461
coverage	462
believe	463
visa	464
wgr	465
60	466
better	467
galen	468
21	469
tms	470
said	471
assistance	472
large	473
july	474
thursday	475
past	476
model	477
office	478
process	479
7	480
ask	481
laferla	482
move	483
18	484
agree	485
zadow	486
teams	487
following	488
transfer	489
accounts	490
calls	491
through	492
reservation	493
preliminary	494
passing	495
unusual	496
high	497
dollar	498
answering	499
tas	500
unbilled	501
processing	502
errors	503
correcting	504
attending	505
distribution	506
region	507
including	508
details	509
1587	510
left	511
able	512
sbs	513
ya'll	514
while	515
raise	516
course	517
laura	518
40	519
julie	520
activities	521
kern	522
result	523
woman	524
draft	525
netting	526
advised	527
amending	528
pablo	529
yourself	530
status	531
two	532
room	533
attached	534
organizer	535
unable	536
sold	537
required	538
ever	539
calgary	540
everything	541
damage	542
lunch	543
p	544
paramount	545
tic	546
26	547
perry	548
bryan	549
carr	550
shirley	551
rivers	552
benningfield	553
diana	554
porter	555
jerry	556
wilkens	557
session	558
order	559
35842	560
hop	561
structure	562
such	563
position	564
el	565
receipt	566
san	567
eol	568
vs	569
always	570
ex	571
prayers	572
l	573
aware	574
owe	575
find	576
thoughts	577
version	578
format	579
data	580
part	581
management	582
provide	583
wants	584
taken	585
outside	586
market	587
hit	588
yet	589
regards	590
'bout	591
knock	592
mark	593
history	594
employees	595
else	596
boys	597
13	598
ward	599
checks	600
taxes	601
rings	602
houston	603
sounds	604
per	605
dinner	606
19	607
9	608
tickets	609
gary	610
lead	611
attention	612
marketing	613
play	614
settlement	615
nron	616
linhart	617
stay	618
click	619
western	620
mitchell	621
documents	622
plant	623
doc	624
updates	625
timely	626
actually	627
company	628
coming	629
visit	630
things	631
thanksgiving	632
feb	633
gets	634
feel	635
pressure	636
fine	637
cannot	638
loose	639
betancourt	640
testinglynn	641
agreed	642
15th	643
thank	644
54	645
medeles	646
months	647
screens	648
includes	649
dear	650
steps	651
09	652
against	653
create	654
daily	655
concerning	656
volume	657
conference	658
assigning	659
contracts	660
commodity	661
transportation	662
totals	663
takes	664
remain	665
reach	666
853	667
made	668
portion	669
injections	670
04	671
corman	672
sheila	673
nacey	674
michael	675
mondayand	676
migrated	677
tuesday's	678
beneficialin	679
minimizing	680
shipper	681
teamsto	682
iam	683
