Word	Label
the	1
to	2
i	3
and	4
you	5
enron	6
of	7
for	8
in	9
on	10
a	11
	12
we	13
is	14
this	15
will	16
that	17
mike	18
have	19
please	20
with	21
amp	22
be	23
me	24
thanks	25
x	26
are	27
s	28
stacy	29
it	30
at	31
ect	32
if	33
would	34
et	35
know	36
not	37
your	38
from	39
gas	40
e	41
grigsby	42
my	43
as	44
socal	45
index	46
all	47
let	48
out	49
am	50
our	51
can	52
need	53
like	54
any	55
up	56
new	57
get	58
thank	59
20001	60
call	61
do	62
what	63
should	64
dickson	65
by	66
was	67
hou	68
attached	69
an	70
agreement	71
also	72
or	73
when	74
one	75
us	76
products	77
west	78
cc	79
they	80
changes	81
pg	82
gd	83
com	84
1	85
these	86
about	87
lynn	88
day	89
basis	90
physical	91
transport	92
may	93
version	94
see	95
market	96
so	97
but	98
sincerely	99
topock	100
month	101
eol	102
content	103
000	104
subject	105
enronxgate	106
which	107
time	108
going	109
has	110
discuss	111
how	112
lt	113
deal	114
did	115
just	116
price	117
let's	118
there	119
them	120
think	121
make	122
questions	123
send	124
well	125
sent	126
review	127
then	128
firm	129
work	130
no	131
0	132
positions	133
credit	134
take	135
transaction	136
desk	137
product	138
daily	139
d	140
some	141
mail	142
look	143
here	144
comments	145
their	146
find	147
back	148
each	149
trading	150
blair	151
gisb	152
corp	153
deals	154
master	155
email	156
next	157
sure	158
two	159
check	160
2000	161
gregg	162
morning	163
transfer	164
points	165
been	166
through	167
type	168
add	169
forward	170
she	171
good	172
energy	173
into	174
under	175
bcc	176
sj	177
shall	178
term	179
set	180
phys	181
than	182
position	183
go	184
he	185
had	186
text	187
notes	188
m	189
use	190
border	191
713	192
were	193
him	194
following	195
monday	196
more	197
capacity	198
book	199
run	200
information	201
nui	202
access	203
4	204
today	205
before	206
anne	207
help	208
want	209
111	210
guys	211
mime	212
plain	213
charset	214
ascii	215
encoding	216
7bit	217
folder	218
origin	219
filename	220
only	221
06	222
don't	223
epng	224
contract	225
per	226
between	227
demand	228
cash	229
last	230
message	231
does	232
week	233
report	234
because	235
april	236
change	237
meeting	238
folders	239
nsf	240
john	241
randy	242
pm	243
5	244
june	245
reps	246
sale	247
other	248
southern	249
2	250
group	251
malin	252
04	253
number	254
853	255
ava	256
much	257
10	258
customers	259
invoices	260
terry	261
same	262
great	263
01	264
susan	265
keep	266
now	267
etc	268
together	269
02	270
her	271
letter	272
long	273
working	274
tomorrow	275
risk	276
30	277
14	278
i'm	279
come	280
very	281
contracts	282
system	283
talk	284
mark	285
3	286
since	287
l	288
reports	289
doing	290
ca	291
right	292
phillip	293
michael	294
non	295
jeff	296
north	297
purchase	298
yes	299
storage	300
tuesday	301
p	302
fixed	303
guaranty	304
agreements	305
matt	306
over	307
days	308
numbers	309
home	310
curve	311
'sent	312
being	313
volumes	314
enroncc	315
language	316
those	317
03	318
20	319
draft	320
spread	321
america	322
12	323
year	324
office	325
ehrenberg	326
latest	327
delivery	328
included	329
waha	330
document	331
give	332
supply	333
san	334
discussed	335
grigsbyx37031	336
available	337
needs	338
where	339
made	340
re	341
while	342
oct	343
regarding	344
chris	345
spreads	346
point	347
larry	348
original	349
who	350
juan	351
anything	352
hope	353
soon	354
keith	355
15	356
nice	357
provide	358
big	359
fine	360
load	361
n	362
jun20001	363
mgrigsb	364
still	365
1000	366
fyi	367
yesterday	368
flow	369
added	370
asked	371
fgt	372
05	373
rockies	374
data	375
after	376
copy	377
future	378
garcia	379
amto	380
doc	381
section	382
date	383
wanted	384
certain	385
sitara	386
frank	387
krs	388
simply	389
address	390
phone	391
manage	392
chance	393
start	394
gen	395
house	396
monthly	397
bidweek	398
concerns	399
kowalke	400
nng	401
agree	402
looking	403
continue	404
hhub	405
current	406
afternoon	407
prompt	408
tab	409
off	410
raetta	411
mary	412
debra	413
few	414
stacey	415
down	416
steve	417
reviewing	418
contact	419
additional	420
5705	421
database	422
ena	423
floor	424
ina	425
customer	426
try	427
again	428
na	429
swap	430
old	431
put	432
sheet	433
7	434
every	435
50	436
pmto	437
joe	438
short	439
already	440
spot	441
b	442
ok	443
provision	444
process	445
interested	446
curves	447
mojave	448
can't	449
could	450
melba	451
looks	452
sell	453
citygate	454
tw	455
above	456
team	457
baja	458
provisions	459
booked	460
understand	461
ww	462
swaps	463
another	464
order	465
friday	466
until	467
coming	468
able	469
dsl	470
create	471
cig	472
amendment	473
showing	474
getting	475
guy	476
buchanan	477
rick	478
fw	479
plan	480
vs	481
financial	482
place	483
march	484
went	485
really	486
show	487
kathy	488
13	489
business	490
trades	491
sorry	492
scal	493
markets	494
sending	495
both	496
include	497
ngi	498
website	499
counterparty	500
terms	501
quantity	502
volume	503
too	504
rate	505
daniel	506
first	507
perm	508
gorelieberman	509
indices	510
leave	511
update	512
trade	513
i'll	514
laptop	515
its	516
way	517
created	518
talked	519
form	520
fax	521
dear	522
rudwell	523
o	524
options	525
request	526
jean	527
linda	528
columbia	529
termination	530
using	531
allen	532
sdickso	533
meet	534
told	535
ncd	536
outlook	537
opal	538
steel	539
russell	540
natural	541
gtc	542
pipeline	543
enovate	544
buyer	545
cary	546
model	547
managing	548
09	549
company	550
referenced	551
possible	552
different	553
assistance	554
transporter	555
paul	556
final	557
requested	558
receive	559
job	560
open	561
desktop	562
said	563
thursday	564
testing	565
allow	566
priced	567
info	568
night	569
it's	570
left	571
imbalances	572
his	573
little	574
thinking	575
such	576
might	577
trip	578
glad	579
tangie	580
hodge	581
resources	582
sw	583
j	584
nov20001	585
issue	586
making	587
summer	588
full	589
conversation	590
own	591
plant	592
due	593
below	594
mr	595
patti	596
activate	597
end	598
providing	599
assist	600
response	601
cyndie	602
executed	603
copies	604
coral	605
unit	606
meter	607
later	608
line	609
location	610
6	611
lynnfrom	612
value	613
marketing	614
permian	615
keystone	616
guarantee	617
prices	618
cycle	619
migration	620
special	621
oba	622
transactions	623
flash	624
ellen	625
notice	626
confirmation	627
hear	628
average	629
hello	630
reached	631
newcurrentday	632
begin	633
manager	634
close	635
stay	636
el	637
paso	638
rates	639
effective	640
listed	641
page	642
spreadsheet	643
bodnar	644
loop	645
fix	646
everyone	647
baby	648
seen	649
tx	650
aware	651
trying	652
issues	653
utilities	654
cuts	655
detail	656
dan	657
less	658
fin	659
approved	660
follow	661
times	662
berger	663
james	664
robert	665
janzen	666
ward	667
jan	668
having	669
most	670
california	671
payment	672
perlingiere	673
remember	674
real	675
jay	676
buying	677
details	678
why	679
question	680
gets	681
08	682
adjust	683
better	684
sign	685
222	686
second	687
file	688
