Word	Label
enron	1
ect	2
the	3
	4
hou	5
to	6
enronxgate	7
i	8
and	9
you	10
of	11
a	12
is	13
on	14
for	15
amp	16
this	17
s	18
et	19
in	20
that	21
have	22
with	23
will	24
me	25
we	26
be	27
are	28
please	29
not	30
if	31
it	32
stacy	33
thanks	34
know	35
would	36
at	37
x	38
corp	39
your	40
lynn	41
up	42
can	43
e	44
my	45
development	46
do	47
john	48
as	49
any	50
attached	51
or	52
let	53
from	54
should	55
agreement	56
need	57
am	58
gas	59
an	60
call	61
our	62
hunter	63
new	64
na	65
20001	66
000	67
out	68
what	69
20	70
day	71
blair	72
com	73
was	74
version	75
all	76
like	77
just	78
they	79
changes	80
questions	81
may	82
also	83
by	84
has	85
think	86
about	87
these	88
mark	89
chris	90
one	91
going	92
he	93
l	94
meeting	95
did	96
subject	97
get	98
us	99
w	100
h	101
june	102
work	103
good	104
ava	105
dickson	106
m	107
credit	108
communications	109
garage	110
so	111
how	112
them	113
which	114
here	115
more	116
reps	117
give	118
thankshunter	119
thank	120
firm	121
there	122
deal	123
when	124
time	125
mary	126
than	127
terry	128
her	129
master	130
01	131
sure	132
had	133
1	134
sent	135
n	136
larry	137
randy	138
comments	139
nui	140
mail	141
send	142
go	143
content	144
10	145
month	146
michael	147
4	148
invoices	149
chicago	150
eol	151
she	152
check	153
use	154
r	155
smith	156
06	157
robert	158
some	159
review	160
per	161
mike	162
him	163
2	164
but	165
lisa	166
make	167
center	168
information	169
transaction	170
talk	171
shively	172
cc	173
2000	174
next	175
i'm	176
george	177
index	178
k	179
allen	180
t	181
does	182
joe	183
enroncc	184
5	185
week	186
c	187
713	188
853	189
today	190
0	191
laura	192
then	193
jeff	194
no	195
susan	196
office	197
want	198
see	199
don't	200
paul	201
letter	202
richard	203
tuesday	204
who	205
lt	206
enro	207
fgt	208
email	209
add	210
back	211
too	212
were	213
latest	214
david	215
f	216
ron	217
parking	218
en	219
kathy	220
kowalke	221
well	222
pmto	223
type	224
group	225
again	226
nng	227
first	228
james	229
miller	230
raetta	231
floor	232
days	233
same	234
30	235
ok	236
come	237
change	238
their	239
jean	240
debra	241
fyi	242
where	243
3	244
monday	245
receive	246
find	247
help	248
however	249
trading	250
dan	251
thursday	252
last	253
sign	254
message	255
daily	256
transportation	257
only	258
talked	259
gisb	260
brad	261
d	262
christopher	263
j	264
number	265
buchanan	266
system	267
agreements	268
wanted	269
friday	270
storage	271
been	272
sale	273
two	274
02	275
said	276
transfer	277
bcc	278
stacey	279
gregg	280
looks	281
hope	282
garcia	283
concerns	284
reviewing	285
market	286
numbers	287
home	288
each	289
those	290
jason	291
made	292
12	293
desk	294
tomorrow	295
both	296
5705	297
above	298
product	299
access	300
p	301
house	302
clark	303
steve	304
b	305
sherry	306
janet	307
discussed	308
report	309
team	310
down	311
keep	312
mime	313
text	314
plain	315
charset	316
ascii	317
encoding	318
7bit	319
folder	320
origin	321
filename	322
ww	323
gorelieberman	324
end	325
available	326
could	327
scott	328
linda	329
http	330
amto	331
very	332
imbalances	333
before	334
rate	335
leave	336
kevin	337
additional	338
into	339
info	340
phone	341
set	342
risk	343
eees	344
ees	345
kimberly	346
jeffrey	347
bruce	348
kelly	349
kenneth	350
nguyen	351
offer	352
nron	353
222	354
adams	355
tangie	356
gary	357
williams	358
told	359
anything	360
over	361
issue	362
greg	363
since	364
cary	365
purchase	366
energy	367
original	368
feel	369
15	370
event	371
oba	372
bryan	373
amy	374
cynthia	375
second	376
big	377
lynnfrom	378
following	379
customer	380
cycle	381
6	382
meet	383
elizabeth	384
guy	385
needs	386
under	387
still	388
section	389
small	390
frank	391
hub	392
person	393
yesterday	394
referenced	395
company	396
it's	397
dsl	398
document	399
patrick	400
brian	401
mean	402
janzen	403
pm	404
harry	405
gomez	406
between	407
kim	408
forward	409
9	410
morning	411
re	412
take	413
services	414
contact	415
everyone	416
looking	417
attend	418
loop	419
notes	420
folders	421
nsf	422
until	423
try	424
being	425
bodnar	426
karen	427
nancy	428
rainplease	429
rick	430
move	431
possible	432
glad	433
berger	434
through	435
reports	436
sending	437
post	438
due	439
room	440
night	441
later	442
o	443
now	444
draft	445
long	446
25	447
spot	448
deals	449
asked	450
natural	451
service	452
eric	453
g	454
johnson	455
jones	456
moore	457
ring	458
katherine	459
soon	460
less	461
trouble	462
yes	463
producers	464
50	465
spread	466
ec	467
ct	468
update	469
sell	470
few	471
youhunter	472
incorporates	473
notice	474
discuss	475
patrice	476
porter	477
enovate	478
copies	479
copy	480
ned	481
track	482
employee	483
heard	484
other	485
different	486
perlingiere	487
left	488
working	489
july	490
after	491
hernandez	492
lynda	493
diana	494
training	495
interested	496
book	497
calendar	498
ask	499
18	500
fw	501
having	502
14	503
approximately	504
contracts	505
flash	506
commodity	507
weeks	508
look	509
sara	510
must	511
already	512
language	513
trades	514
idea	515
his	516
fine	517
business	518
even	519
i'll	520
enter	521
hodge	522
based	523
interview	524
little	525
agreed	526
production	527
michelle	528
problem	529
gtc	530
parks	531
right	532
via	533
111	534
coming	535
gotta	536
msn	537
because	538
traders	539
data	540
brown	541
bob	542
stephanie	543
palmer	544
william	545
name	546
card	547
energygateway	548
its	549
short	550
best	551
non	552
cal	553
8	554
peoples	555
nxgate	556
brokers	557
loan	558
shippers	559
04	560
13	561
dykes	562
forbish	563
greaney	564
mcdaniel	565
scurlock	566
sturr	567
woodson	568
shelley	569
issues	570
26	571
remember	572
confirmations	573
understand	574
requested	575
goes	576
someone	577
district	578
conversation	579
let's	580
request	581
free	582
met	583
future	584
louise	585
03	586
nov20001	587
sdickso	588
volume	589
tell	590
wgr	591
jan	592
year	593
points	594
christine	595
enr	596
enronxga	597
te	598
rivers	599
callans	600
washington	601
jerry	602
outlook	603
000p	604
magdelena	605
storey	606
schedule	607
html	608
dietz	609
agree	610
7	611
21	612
ms	613
create	614
another	615
concerning	616
rates	617
conference	618
close	619
myself	620
sylvia	621
trunkline	622
note	623
website	624
id	625
put	626
kelli	627
checks	628
msr's	629
marketing	630
line	631
thought	632
www	633
unfortunately	634
fix	635
test	636
gerry	637
speed	638
while	639
thoughts	640
decision	641
contract	642
rudwell	643
gaskill	644
power	645
term	646
longer	647
'sent	648
got	649
date	650
during	651
testing	652
ramona	653
upgrade	654
large	655
deadline	656
amendment	657
north	658
nicor	659
texas	660
without	661
loans	662
form	663
follow	664
address	665
sorry	666
timely	667
05	668
updates	669
page	670
off	671
getting	672
providing	673
jennifer	674
doing	675
great	676
site	677
list	678
way	679
link	680
rest	681
park	682
phillip	683
irma	684
peggy	685
carter	686
conner	687
sheri	688
martin	689
flores	690
butler	691
harris	692
melissa	693
andrew	694
lopez	695
martinez	696
judy	697
veronica	698
sandy	699
quick	700
rogers	701
gregory	702
shari	703
stephen	704
campos	705
cook	706
jim	707
carolyn	708
gerri	709
gosnell	710
victor	711
sharon	712
thomas	713
employees	714
initial	715
spaces	716
basis	717
cost	718
saturn	719
summer	720
elevator	721
exit	722
able	723
online	724
018	725
most	726
much	727
several	728
ricki	729
flood	730
tropical	731
storm	732
greater	733
position	734
went	735
lblair	736
privileged	737
shall	738
ou	739
payment	740
benningfield	741
linhart	742
steven	743
western	744
resources	745
plant	746
mitchell	747
1st	748
woman	749
explain	750
pipelines	751
sounds	752
saturday	753
april	754
confirmation	755
guaranty	756
acceptable	757
session	758
everything	759
35842	760
ellen	761
signed	762
solutions	763
agent	764
utility	765
checking	766
executable	767
redlined	768
shows	769
print	770
executed	771
higgins	772
tim	773
read	774
pa	775
prefer	776
ectcc	777
stopped	778
wife	779
job	780
ever	781
talking	782
charge	783
stand	784
maybe	785
reply	786
28	787
dth	788
months	789
together	790
perry	791
carr	792
shirley	793
albert	794
mcevoy	795
beverly	796
tracy	797
minter	798
mulligan	799
galen	800
laferla	801
wilkens	802
course	803
cruz	804
learn	805
own	806
place	807
31	808
zadow	809
located	810
teams	811
accounts	812
customers	813
every	814
reservation	815
preliminary	816
passing	817
unusual	818
high	819
low	820
dollar	821
amounts	822
answering	823
tas	824
error	825
unbilled	826
processing	827
errors	828
correcting	829
attending	830
region	831
craig	832
therefore	833
further	834
details	835
deirdre	836
transactions	837
tom	838
portal	839
calculated	840
suggested	841
statement	842
probably	843
say	844
packet	845
posted	846
proposed	847
ward	848
spreadsheet	849
exceptions	850
explained	851
tw	852
boys	853
org	854
says	855
ya'll	856
ready	857
arbitration	858
anyone	859
29th	860
makes	861
heads	862
nipsco	863
wants	864
added	865
red	866
execution	867
excellent	868
utilities	869
drafting	870
airam	871
arteaga	872
1000	873
arrange	874
returned	875
versions	876
cannot	877
tms	878
assist	879
require	880
assistance	881
54	882
process	883
calculation	884
taylor	885
midwest	886
stack	887
manager	888
default	889
things	890
legal	891
helps	892
indicated	893
produce	894
doug	895
green	896
kuehl	897
19	898
rain	899
sincerely	900
hop	901
people	902
really	903
trip	904
brenda	905
clean	906
weather	907
wholesale	908
filed	909
below	910
bell	911
hear	912
waiting	913
many	914
east	915
dave	916
07	917
peter	918
barbara	919
maria	920
marks	921
travis	922
mccullough	923
mckay	924
ruscitti	925
caroline	926
dawn	927
currently	928
migration	929
monthly	930
choose	931
street	932
used	933
reach	934
along	935
platform	936
consumers	937
tanya	938
rohauer	939
breese	940
trying	941
stay	942
knock	943
60	944
question	945
found	946
around	947
weekend	948
sbs	949
damage	950
demand	951
taken	952
provisions	953
'bout	954
75	955
expires	956
anr	957
degrees	958
activities	959
care	960
025	961
bid	962
better	963
typo	964
states	965
ronxgate	966
xgate	967
ri	968
doc	969
guys	970
hit	971
555	972
load	973
pipe	974
nomination	975
communicate	976
darrell	977
corman	978
assets	979
exception	980
loose	981
accounting	982
related	983
gathering	984
co2	985
complete	986
effective	987
submit	988
situation	989
central	990
knows	991
final	992
swap	993
else	994
lynnava	995
garcia06	996
29	997
ups	998
stands	999
appointing	1000
enline	1001
lead	1002
booked	1003
mr	1004
carrabine	1005
hess	1006
incorporated	1007
herman	1008
project	1009
web	1010
eta	1011
husband	1012
fill	1013
openings	1014
personnel	1015
kitchen04	1016
mccarty	1017
bringing	1018
omaha	1019
tenaska	1020
lori	1021
neubauer	1022
interest	1023
straight	1024
ut	1025
super	1026
maximum	1027
something	1028
aware	1029
owe	1030
fuel	1031
answers	1032
spend	1033
jodie	1034
floyd	1035
aldinger	1036
clapper	1037
marion	1038
coon	1039
enronxg	1040
ate	1041
giambrone	1042
jack	1043
howard	1044
phillips	1045
locknar	1046
09lynn	1047
include	1048
order	1049
visit	1050
chance	1051
09	1052
regarding	1053
confusion	1054
away	1055
items	1056
etc	1057
calls	1058
marketers	1059
various	1060
assigning	1061
distribution	1062
current	1063
listed	1064
totals	1065
including	1066
takes	1067
important	1068
dynegy	1069
luck	1070
competitive	1071
additions	1072
spreads	1073
specific	1074
nominations	1075
provides	1076
profitable	1077
believe	1078
exact	1079
lavorato	1080
receiving	1081
geof	1082
pay	1083
account	1084
example	1085
categories	1086
corresponding	1087
msr	1088
msr'sadjust	1089
invoice	1090
start	1091
gym	1092
times	1093
conoco	1094
mondayand	1095
migrated	1096
tuesday's	1097
beneficialin	1098
