Word	Label
enron	1
the	2
to	3
i	4
you	5
and	6
s	7
amp	8
et	9
	10
on	11
this	12
for	13
is	14
a	15
in	16
of	17
have	18
chris	19
with	20
my	21
be	22
it	23
are	24
thanks	25
lynn	26
if	27
me	28
we	29
out	30
up	31
that	32
know	33
will	34
not	35
your	36
get	37
enronxgate	38
x	39
or	40
am	41
would	42
just	43
can	44
blair	45
from	46
going	47
how	48
at	49
please	50
20001	51
do	52
all	53
was	54
i'm	55
mail	56
but	57
any	58
they	59
dorland	60
check	61
about	62
let	63
day	64
what	65
cd	66
should	67
lt	68
ava	69
some	70
reps	71
like	72
thanx	73
had	74
terry	75
did	76
june	77
com	78
don't	79
good	80
back	81
call	82
sure	83
think	84
go	85
as	86
john	87
subject	88
one	89
has	90
been	91
so	92
questions	93
000	94
2000	95
06	96
week	97
an	98
work	99
tuesday	100
by	101
there	102
come	103
see	104
need	105
when	106
randy	107
gas	108
enroncc	109
us	110
our	111
fgt	112
talk	113
he	114
713	115
send	116
make	117
kowalke	118
i'll	119
time	120
raetta	121
nng	122
larry	123
invoices	124
again	125
want	126
e	127
sent	128
1	129
well	130
could	131
later	132
them	133
ok	134
here	135
days	136
then	137
haven't	138
yet	139
ww	140
next	141
meeting	142
pmto	143
buchanan	144
no	145
her	146
message	147
take	148
mike	149
too	150
home	151
fyi	152
kathy	153
joe	154
little	155
things	156
keep	157
4	158
today	159
received	160
nov	161
reviewing	162
down	163
houston	164
gorelieberman	165
address	166
jean	167
hope	168
were	169
content	170
use	171
30	172
now	173
night	174
wanted	175
who	176
where	177
n	178
mary	179
concerns	180
222	181
she	182
change	183
still	184
very	185
report	186
last	187
floor	188
over	189
pay	190
month	191
lynnfrom	192
monday	193
amto	194
cycle	195
01	196
m	197
20	198
market	199
0	200
cc	201
since	202
off	203
big	204
guy	205
2	206
those	207
really	208
him	209
tangie	210
friday	211
imbalances	212
office	213
it's	214
house	215
system	216
oba	217
card	218
new	219
than	220
sell	221
afternoon	222
info	223
much	224
10	225
stop	226
12	227
these	228
original	229
6	230
02	231
same	232
something	233
anything	234
25	235
getting	236
yesterday	237
team	238
thanxchris	239
berger	240
janzen	241
didn't	242
bodnar	243
can't	244
weekend	245
853	246
storage	247
rick	248
loop	249
what's	250
more	251
before	252
glad	253
pretty	254
401k	255
plan	256
coming	257
having	258
looking	259
cal	260
talked	261
14	262
re	263
111	264
p	265
contact	266
version	267
transfer	268
26	269
their	270
thank	271
hey	272
help	273
email	274
number	275
left	276
small	277
gotta	278
everyone	279
hop	280
find	281
parking	282
pm	283
enro	284
james	285
lynda	286
linda	287
receive	288
garcia	289
training	290
which	291
around	292
fw	293
while	294
5	295
trading	296
give	297
5888	298
update	299
non	300
set	301
working	302
mean	303
way	304
hit	305
better	306
3	307
both	308
approximately	309
flash	310
went	311
timely	312
even	313
also	314
callans	315
nancy	316
deadline	317
sunday	318
ryan	319
mime	320
type	321
text	322
plain	323
charset	324
ascii	325
encoding	326
7bit	327
dan	328
bcc	329
folder	330
'sent	331
origin	332
c	333
filename	334
distribution	335
tropical	336
storm	337
shelley	338
scott	339
windows	340
does	341
already	342
move	343
kim	344
shit	345
washington	346
adams	347
robert	348
dykes	349
sherry	350
forbish	351
greaney	352
debra	353
scurlock	354
janet	355
mcdaniel	356
sturr	357
harry	358
woodson	359
cynthia	360
thought	361
great	362
crazy	363
several	364
may	365
sheet	366
after	367
outlook	368
session	369
000p	370
second	371
times	372
ricki	373
flood	374
needs	375
tickets	376
phone	377
dietz	378
gerry	379
fix	380
speed	381
ask	382
company	383
ricardo	384
pjm	385
daily	386
15	387
hopefully	388
9	389
happy	390
person	391
each	392
brokers	393
end	394
close	395
60	396
lblair	397
privileged	398
care	399
question	400
into	401
shippers	402
gomez	403
wgr	404
jan	405
regarding	406
possible	407
try	408
testing	409
21	410
ramona	411
upgrade	412
reports	413
game	414
50	415
8	416
ms	417
rates	418
actually	419
jennifer	420
lost	421
someone	422
using	423
sorry	424
teams	425
kuehl	426
18	427
process	428
post	429
sending	430
told	431
19	432
line	433
further	434
updates	435
golf	436
dad	437
ect	438
pst	439
co	440
calgary	441
list	442
let's	443
b	444
gary	445
35842	446
w	447
anne	448
people	449
maybe	450
16663	451
knock	452
we're	453
voice	454
right	455
available	456
saturday	457
trying	458
stay	459
long	460
short	461
'bout	462
trip	463
myself	464
woman	465
fucking	466
show	467
zadow	468
bryan	469
carr	470
shirley	471
perry	472
nron	473
galen	474
laferla	475
diana	476
porter	477
jerry	478
wilkens	479
linhart	480
rivers	481
large	482
total	483
weather	484
year	485
power	486
season	487
asked	488
thoughts	489
benningfield	490
july	491
book	492
order	493
bought	494
touch	495
follow	496
damage	497
different	498
13	499
assistance	500
54	501
being	502
assist	503
1000	504
checks	505
taken	506
feel	507
doing	508
morning	509
sbs	510
access	511
17	512
ya'll	513
ready	514
test	515
rest	516
password	517
checking	518
doc	519
416	520
66694	521
first	522
boys	523
another	524
user	525
40	526
name	527
risk	528
old	529
every	530
man	531
trust	532
visit	533
edloe	534
called	535
got	536
brian	537
note	538
might	539
mention	540
meet	541
western	542
mitchell	543
agree	544
doesn't	545
only	546
tms	547
thursday	548
few	549
plans	550
thanksgiving	551
plant	552
accounts	553
customers	554
preliminary	555
passing	556
unusual	557
high	558
low	559
dollar	560
amounts	561
answering	562
tas	563
error	564
unbilled	565
processing	566
errors	567
correcting	568
attending	569
degrees	570
buy	571
palm	572
pilot	573
stub	574
seems	575
hear	576
bal	577
traded	578
eb	579
toby	580
continue	581
calls	582
nomination	583
05	584
interest	585
playing	586
cable	587
street	588
tx	589
mas	590
cover	591
lynnava	592
garcia06	593
allisonlynn	594
however	595
darrell	596
machine	597
start	598
pep	599
desk	600
that's	601
somebody	602
drewlo's	603
clothes	604
paint	605
thinner	606
mailed	607
rebecca	608
oct	609
pressure	610
probably	611
trouble	612
letter	613
notice	614
i've	615
heard	616
twice	617
straighten	618
instructions	619
critical	620
jodie	621
floyd	622
walden	623
katherine	624
tracy	625
minter	626
aldinger	627
karen	628
clapper	629
marion	630
coon	631
tim	632
laura	633
giambrone	634
jack	635
howard	636
phillips	637
locknar	638
christine	639
mcevoy	640
albert	641
hernandez	642
beverly	643
miller	644
mulligan	645
ward	646
09lynn	647
sheila	648
nacey	649
mess	650
nice	651
volatility	652
summer	653
prayers	654
worked	655
knows	656
deleted	657
sign	658
michael	659
enr	660
course	661
magdelena	662
include	663
place	664
vvrroomm	665
thinking	666
noon	667
untill	668
luck	669
09	670
relief	671
employees	672
many	673
allison	674
family	675
met	676
tomorrow	677
situation	678
funds	679
helps	680
remove	681
bad	682
shout	683
group	684
changes	685
ie	686
injections	687
04	688
corman	689
brad	690
medeles	691
mondayand	692
migrated	693
tuesday's	694
beneficialin	695
minimizing	696
shipper	697
teamsto	698
iam	699
match	700
fed	701
ex	702
leave	703
envelope	704
must	705
closing	706
eol	707
id	708
quenet	709
lead	710
yes	711
dear	712
reply	713
input	714
due	715
information	716
rob	717
gym	718
sharon	719
cannot	720
27	721
you're	722
takes	723
between	724
savings	725
contribution	726
outside	727
trades	728
hundred	729
say	730
problem	731
said	732
assume	733
broker	734
commission	735
position	736
making	737
29th	738
christmas	739
heads	740
together	741
surprised	742
cdorlan	743
best	744
believe	745
miss	746
chris5151	747
5131w	748
16663c	749
ideas	750
father's	751
ups	752
everything	753
st	754
14306houston	755
stubs	756
kind	757
stock	758
l	759
answers	760
ftenergy	761
tw	762
operational	763
capacity	764
cycles	765
thrown	766
interview	767
december	768
15th	769
rod	770
bank	771
seem	772
quarter	773
mohammad	774
hussain	775
3000	776
silver	777
black	778
issue	779
resources	780
co2	781
assets	782
owe	783
dth	784
months	785
tjae	786
package	787
northern	788
soon	789
explained	790
correct	791
26th	792
sit	793
kevin	794
model	795
works	796
done	797
benefits	798
away	799
loose	800
betancourt	801
testinglynn	802
require	803
screens	804
complete	805
7	806
love	807
other	808
feb	809
tonite	810
deal	811
he's	812
center	813
dorland713	814
pipe	815
issues	816
related	817
gathering	818
hospital	819
steve	820
mom	821
chance	822
gets	823
following	824
journal	825
concerning	826
etc	827
customer	828
assigning	829
contracts	830
commodity	831
totals	832
details	833
75	834
cin	835
kelly	836
sometime	837
's	838
wednesday's	839
updating	840
courthouse	841
stadium	842
broke	843
sweat	844
payment	845
you'	846
abyss	847
finds	848
http	849
gasfundy	850
corp	851
framework	852
default	853
asp	854
sucking	855
sound	856
mo	857
34	858
southern	859
henry	860
hub	861
3125achris	862
flee	863
cqg	864
canada	865
idchris	866
weeksteam	867
leader	868
inconvenience	869
beaware	870
procedure	871
extensioni	872
longer	873
weekends	874
becaue	875
via	876
expect	877
notified	878
extension	879
32	880
tobysubject	881
extensionnorthern	882
natural	883
extended	884
edi	885
services	886
representative	887
tor	888
exmerge	889
thanxcd	890
neighbors	891
builder	892
enter	893
data	894
base	895
nuts	896
laurel	897
transferred	898
perhaps	899
draw	900
picture	901
paper	902
mache	903
tiffany's	904
bracelet	905
earings	906
skater	907
ahead	908
16	909
mortem	910
k	911
vacation	912
conflicting	913
mtg	914
reschedule	915
ice	916
upgraded	917
business	918
applications	919
selection	920
under	921
programs	922
according	923
exist	924
why	925
paystubs	926
31116e	927
cd3	928
eb31116e	929
403	930
343	931
09111	932
bush	933
plenty	934
streets	935
apart	936
addresses	937
listthis	938
dennis	939
ple	940
torres	941
eb3125a	942
worry	943
blood	944
johnny	945
though	946
nimble	947
alert	948
everyone's	949
ya'	950
boilermakers	951
alumni	952
the're	953
blasted	954
ou	955
mullets	956
play	957
3125a	958
vegas	959
look	960
montessori	961
stuff	962
drop	963
downtown	964
copy	965
relationto	966
posting	967
web	968
everyoneon	969
read	970
congrats	971
bali	972
beautiful	973
deducted	974
clown	975
suit	976
intranet	977
procedures	978
put	979
03	980
09larry	981
william	982
collins	983
coope	984
r	985
ramer	986
maryann	987
en	988
ron	989
nningfield	990
t	991
buch	992
anan	993
09revised	994
popup	995
knowthe	996
outcome	997
relation	998
outinvoices	999
fx	1000
problems	1001
bit	1002
specifics	1003
x3	1004
round	1005
rested	1006
easycd	1007
galen's	1008
follows	1009
tosend	1010
cards	1011
appreicate	1012
address106222	1013
endicott	1014
lanehouston	1015
777318thanks	1016
boy	1017
we'll	1018
el	1019
paso	1020
aquila	1021
accidentally	1022
filled	1023
accomplishment	1024
barry	1025
tycholiz	1026
democrat	1027
squares	1028
size	1029
optical	1030
illusion	1031
rather	1032
brain	1033
teaser	1034
spend	1035
train	1036
conversion	1037
49	1038
09katherine	1039
hibbard	1040
joh	1041
walde	1042
enronxga	1043
te	1044
amy	1045
ard	1046
linha	1047
rt	1048
illiam	1049
col	1050
