Word	Label
the	1
to	2
i	3
and	4
of	5
that	6
is	7
with	8
this	9
you	10
for	11
in	12
have	13
not	14
as	15
are	16
a	17
tom	18
on	19
if	20
thanks	21
they	22
will	23
there	24
hpl	25
be	26
out	27
them	28
any	29
000	30
check	31
com	32
me	33
at	34
know	35
ww	36
gorelieberman	37
2000	38
want	39
about	40
cars	41
my	42
up	43
gas	44
it	45
other	46
enron	47
meeting	48
do	49
now	50
keep	51
ena	52
sale	53
talk	54
can	55
aep	56
transaction	57
or	58
going	59
your	60
did	61
range	62
but	63
time	64
has	65
done	66
am	67
closing	68
week	69
next	70
physical	71
from	72
eric	73
today	74
were	75
eol	76
so	77
after	78
close	79
should	80
daily	81
luxury	82
believe	83
give	84
sure	85
would	86
big	87
see	88
been	89
name	90
how	91
guy	92
by	93
trying	94
please	95
cell	96
get	97
supply	98
jim	99
march	100
an	101
trader	102
middle	103
marketer	104
asked	105
dave	106
set	107
subject	108
thought	109
transactions	110
transfer	111
yes	112
go	113
no	114
forward	115
volumes	116
monthly	117
nominate	118
priced	119
what	120
questions	121
let	122
wanted	123
mom	124
dad	125
lot	126
only	127
options	128
example	129
crown	130
victoria	131
grand	132
marquis	133
car	134
park	135
avenue	136
which	137
spend	138
he	139
plan	140
needs	141
thoughts	142
than	143
physically	144
start	145
part	146
took	147
fed	148
ex	149
leave	150
it's	151
delivered	152
was	153
trading	154
martin	155
thomas	156
communicate	157
others	158
when	159
need	160
computers	161
talked	162
ed	163
prior	164
lead	165
ok	166
probably	167
some	168
we	169
vacation	170
him	171
phone	172
numbers	173
employment	174
contracts	175
well	176
line	177
1	178
trader1	179
industrial	180
met	181
internal	182
experienced	183
janet	184
she	185
talent	186
desk	187
barbara	188
exclusions	189
relative	190
points	191
directly	192
impact	193
problem	194
terms	195
deals	196
these	197
locations	198
able	199
let's	200
soon	201
possible	202
clear	203
understanding	204
rules	205
engagement	206
deal	207
reason	208
booked	209
because	210
election	211
baseload	212
wait	213
rate	214
way	215
months	216
take	217
contractual	218
maximums	219
further	220
info	221
pick	222
brain	223
initial	224
research	225
large	226
consumer	227
report	228
yield	229
obvious	230
choices	231
considered	232
cr	233
recomended	234
few	235
20	236
25	237
ford	238
mecury	239
price	240
same	241
comfort	242
used	243
30	244
35	245
buick	246
think	247
pretty	248
fit	249
driving	250
i'm	251
kind	252
money	253
course	254
really	255
nice	256
satisfy	257
lincoln	258
town	259
cadillac	260
deville	261
40	262
45	263
said	264
spent	265
23	266
his	267
olds	268
98	269
19991	270
like	271
something	272
rides	273
quite	274
comfortable	275
bucks	276
focus	277
first	278
come	279
dad's	280
love	281
everything	282
ldc	283
business	284
even	285
located	286
intiating	287
ie	288
waha	289
katy	290
tailgate	291
carthaqe	292
hub	293
understand	294
baumbach	295
arranged	296
jeff	297
hodge	298
discuss	299
morgage	300
company	301
additional	302
funds	303
second	304
envelope	305
office	306
already	307
las	308
vegas	309
team	310
building	311
trip	312
approved	313
john	314
beginning	315
year	316
planning	317
put	318
together	319
volume	320
actuals	321
versus	322
performance	323
targets	324
described	325
20001	326
one	327
hey	328
w	329
getting	330
e	331
mails	332
who	333
selection	334
happening	335
may	336
pass	337
word	338
pagers	339
phones	340
etc	341
cancelled	342
june	343
1st	344
changes	345
arrange	346
new	347
traders	348
brian	349
agreed	350
4	351
back	352
anticipate	353
needing	354
2	355
end	356
month	357
much	358
brought	359
down	360
here	361
message	362
customer	363
entertainment	364
don't	365
worry	366
blood	367
pressure	368
right	369
fine	370
http	371
gasfundy	372
corp	373
framework	374
default	375
asp	376
generally	377
available	378
afternoons	379
3	380
assistant	381
schedule	382
either	383
wellhead	384
book	385
where	386
woman	387
call	388
recall	389
term	390
thompsonville	391
eex	392
during	393
letter	394
intent	395
unique	396
financing	397
issues	398
required	399
retain	400
appears	401
case	402
since	403
split	404
connect	405
location	406
just	407
make	408
swap	409
correctly	410
whole	411
yo	412
12th	413
thru	414
16th	415
lap	416
top	417
computer	418
reachable	419
kim	420
our	421
pager	422
calling	423
doing	424
folks	425
their	426
philip	427
eye	428
sat	429
morning	430
fill	431
stephanie	432
per	433
help	434
id	435
password	436
joe	437
quenet	438
received	439
notice	440
elsa	441
villareal	442
gary	443
lamphier	444
gottlob	445
accepted	446
jobs	447
until	448
means	449
staffing	450
follows	451
basis	452
least	453
asst	454
utility	455
originator1	456
originatori	457
jeanie	458
slone	459
recruiters	460
external	461
search	462
process	463
hoping	464
positions	465
filled	466
internally	467
associates	468
commercial	469
personnel	470
wallis	471
schwieger	472
stacy	473
neuweiller	474
bass	475
daren	476
farmer	477
all	478
review	479
documents	480
good	481
feeling	482
willing	483
sign	484
contacted	485
companies	486
job	487
opportunities	488
units	489
her	490
although	491
jim's	492
still	493
hung	494
super	495
vesting	496
language	497
i'll	498
working	499
read	500
given	501
severe	502
shortage	503
experience	504
consider	505
realocating	506
marketing	507
desks	508
texas	509
follow	510
return	511
monday	512
19th	513
