Word	Label
the	1
i	2
to	3
enron	4
you	5
and	6
for	7
is	8
amp	9
s	10
et	11
a	12
on	13
of	14
have	15
your	16
this	17
with	18
in	19
	20
be	21
that	22
thanks	23
it	24
are	25
will	26
me	27
am	28
we	29
if	30
know	31
not	32
my	33
up	34
lynn	35
or	36
can	37
do	38
please	39
out	40
just	41
at	42
would	43
get	44
but	45
all	46
by	47
was	48
enronxgate	49
blair	50
time	51
20001	52
about	53
an	54
need	55
they	56
so	57
what	58
going	59
more	60
love	61
any	62
today	63
day	64
these	65
from	66
as	67
there	68
how	69
sure	70
when	71
call	72
week	73
should	74
had	75
dont	76
ava	77
no	78
again	79
extension	80
one	81
good	82
thank	83
like	84
he	85
subject	86
reps	87
let	88
make	89
go	90
now	91
also	92
has	93
some	94
well	95
tax	96
gas	97
terry	98
june	99
000	100
2000	101
our	102
questions	103
sorry	104
new	105
invoices	106
irs	107
e	108
mail	109
john	110
check	111
com	112
been	113
work	114
lt	115
she	116
deadline	117
did	118
still	119
x	120
them	121
tuesday	122
i'm	123
very	124
sandra	125
much	126
days	127
us	128
come	129
06	130
fyi	131
april	132
pay	133
really	134
back	135
than	136
note	137
enroncc	138
wanted	139
randy	140
message	141
don't	142
big	143
getting	144
hope	145
too	146
think	147
16	148
fgt	149
were	150
want	151
things	152
n	153
kowalke	154
see	155
last	156
nng	157
great	158
take	159
him	160
month	161
larry	162
raetta	163
file	164
ok	165
here	166
keep	167
send	168
thought	169
meeting	170
monday	171
since	172
then	173
night	174
who	175
hello	176
joe	177
gotta	178
susan	179
house	180
pmto	181
buchanan	182
kathy	183
sent	184
over	185
dinner	186
home	187
able	188
next	189
even	190
looking	191
reviewing	192
return	193
request	194
glad	195
ww	196
gorelieberman	197
market	198
1	199
best	200
doing	201
side	202
only	203
little	204
being	205
01	206
may	207
same	208
yes	209
told	210
concerns	211
2	212
amto	213
say	214
year	215
never	216
can't	217
her	218
owe	219
jean	220
mary	221
tonight	222
floor	223
filing	224
could	225
help	226
right	227
stacy	228
it's	229
luck	230
30	231
way	232
wish	233
attend	234
m	235
team	236
lynnfrom	237
12	238
change	239
which	240
mike	241
comments	242
deal	243
kenny	244
after	245
taxes	246
20	247
cant	248
imbalances	249
does	250
mean	251
where	252
sell	253
oba	254
bill	255
tangie	256
cycle	257
25	258
other	259
offer	260
email	261
interest	262
guy	263
fine	264
touch	265
first	266
business	267
appreciate	268
alot	269
nice	270
weekend	271
maybe	272
each	273
enjoy	274
give	275
close	276
reading	277
long	278
those	279
everyone	280
both	281
original	282
working	283
15	284
plans	285
linda	286
0	287
later	288
trip	289
form	290
morning	291
yours	292
storage	293
bodnar	294
phone	295
use	296
rick	297
loop	298
before	299
actually	300
down	301
guys	302
together	303
care	304
report	305
janzen	306
10	307
scott	308
forward	309
got	310
222	311
berger	312
smiling	313
idea	314
per	315
payment	316
found	317
office	318
went	319
steve	320
brokers	321
line	322
thoughts	323
regards	324
thing	325
wonderful	326
pam	327
joke	328
explain	329
however	330
through	331
customer	332
always	333
trying	334
stay	335
small	336
short	337
something	338
i'll	339
schedule	340
lynda	341
away	342
02	343
re	344
talk	345
their	346
thursday	347
changes	348
few	349
approximately	350
possible	351
chris	352
attached	353
cynthia	354
fw	355
ever	356
8	357
cal	358
off	359
yesterday	360
fix	361
end	362
happy	363
card	364
made	365
talked	366
non	367
making	368
party	369
garcia	370
cc	371
must	372
guess	373
question	374
etc	375
hey	376
without	377
information	378
everything	379
yet	380
pm	381
system	382
put	383
evening	384
training	385
14	386
contracts	387
another	388
james	389
flash	390
penalties	391
installment	392
enro	393
family	394
communicate	395
via	396
kinda	397
around	398
wes	399
ideas	400
problem	401
payments	402
version	403
second	404
already	405
situation	406
anyone	407
believe	408
plan	409
greg	410
foo	411
sounds	412
meet	413
5	414
hi	415
trading	416
brokering	417
understand	418
trades	419
taking	420
share	421
find	422
outlook	423
available	424
course	425
into	426
testing	427
ramona	428
