Word	Label
you	1
to	2
the	3
just	4
are	5
my	6
rhino	7
go	8
out	9
line	10
and	11
would	12
here	13
sorry	14
lost	15
your	16
voice	17
goes	18
show	19
that	20
sometimes	21
prayers	22
answered	23
kidding	24
we	25
missed	26
at	27
gas	28
fair	29
it	30
wasn't	31
same	32
without	33
when	34
comming	35
back	36
oh	37
damm	38
i've	39
got	40
a	41
meeting	42
i'll	43
write	44
later	45
where	46
woman	47
call	48
me	49
stephanie	50
as	51
per	52
eol	53
help	54
can	55
please	56
set	57
up	58
id	59
password	60
for	61
enron	62
on	63
today	64
thanks	65
joe	66
quenet	67
according	68
calculations	69
term	70
needs	71
through	72
feb04	73
physical	74
fixed	75
price	76
be	77
7	78
34	79
i	80
like	81
rsvp	82
wife	83
laura	84
myself	85
thank	86
yo	87
big	88
guy	89
check	90
this	91
ww	92
gorelieberman	93
2000	94
com	95
