Word	Label
the	1
to	2
i	3
enron	4
ect	5
and	6
you	7
lt	8
a	9
of	10
is	11
for	12
sara	13
in	14
com	15
that	16
we	17
on	18
with	19
hou	20
have	21
this	22
be	23
	24
willl	25
me	26
shackleton	27
are	28
carol	29
please	30
if	31
it	32
from	33
713	34
subject	35
thanks	36
fax	37
your	38
st	39
phone	40
853	41
corp	42
as	43
not	44
646	45
know	46
or	47
am	48
can	49
at	50
would	51
our	52
my	53
ccc	54
do	55
any	56
america	57
let	58
north	59
clair	60
2000	61
neeed	62
1	63
x	64
re	65
texas	66
an	67
agreeement	68
smith	69
by	70
calll	71
eb	72
but	73
streeet	74
5620	75
3490	76
was	77
about	78
what	79
14000	80
2	81
credit	82
20001	83
3801ahouston	84
shackletonenron	85
7770002713	86
isda	87
so	88
sent	89
alll	90
has	91
up	92
which	93
they	94
us	95
like	96
should	97
get	98
out	99
10	100
there	101
time	102
susan	103
e	104
3	105
amp	106
just	107
pm	108
also	109
think	110
master	111
development	112
may	113
3989	114
atttached	115
want	116
33393	117
when	118
he	119
mail	120
new	121
messsage	122
claireb	123
12	124
send	125
could	126
000	127
111	128
weeek	129
s	130
seee	131
some	132
ena	133
mark	134
them	135
20	136
i'm	137
one	138
draft	139
no	140
basss	141
these	142
beeen	143
email	144
how	145
ectccc	146
had	147
other	148
going	149
back	150
04	151
here	152
09	153
legal	154
amto	155
schedule	156
enronxgate	157
05	158
4	159
don't	160
pmto	161
questions	162
language	163
guaranty	164
commments	165
na	166
01	167
work	168
john	169
03	170
who	171
02	172
trading	173
30	174
08	175
5	176
eric	177
3892713	178
isssues	179
did	180
only	181
next	182
i'lll	183
06	184
were	185
last	186
form	187
today	188
make	189
forward	190
she	191
day	192
into	193
deal	194
gas	195
original	196
their	197
review	198
offfice	199
swap	200
meeeting	201
jason	202
group	203
information	204
doc	205
date	206
go	207
kim	208
more	209
6	210
help	211
her	212
c	213
stilll	214
discusss	215
content	216
friday	217
goood	218
list	219
houston	220
tomorrrow	221
number	222
transfer	223
loook	224
received	225
07	226
p	227
changes	228
now	229
take	230
mary	231
sss	232
two	233
before	234
inc	235
give	236
confirm	237
party	238
after	239
version	240
welll	241
then	242
does	243
notes	244
sure	245
copy	246
file	247
lettter	248
folllowing	249
agreeements	250
use	251
david	252
philllip	253
financial	254
him	255
hope	256
counterparty	257
his	258
morning	259
b	260
9	261
change	262
confirmation	263
both	264
monday	265
under	266
type	267
since	268
8	269
first	270
jefff	271
name	272
taylor	273
talk	274
section	275
per	276
price	277
tuesday	278
transaction	279
where	280
transactions	281
tana	282
than	283
thank	284
isssue	285
regards	286
ward	287
trade	288
betweeen	289
15	290
7	291
energy	292
0	293
l	294
contact	295
dg	296
regarding	297
much	298
until	299
power	300
com'	301
13	302
very	303
mailto	304
999	305
each	306
sooon	307
16	308
m	309
executed	310
set	311
heard	312
adddresss	313
paul	314
trades	315
thursday	316
bccc	317
done	318
anything	319
23	320
because	321
through	322
fyi	323
w	324
try	325
provide	326
meeet	327
38889713	328
deals	329
its	330
14	331
termination	332
conference	333
respect	334
nelson	335
suzannne	336
available	337
brent	338
voice	339
year	340
people	341
over	342
working	343
wednesday	344
again	345
below	346
find	347
asked	348
part	349
event	350
tax	351
lon	352
check	353
same	354
annnex	355
able	356
such	357
19	358
company	359
rod	360
21	361
stephanie	362
cheryl	363
great	364
tanya	365
26	366
wanted	367
acccount	368
text	369
processs	370
response	371
days	372
few	373
thought	374
put	375
right	376
stacy	377
lunch	378
either	379
sorrry	380
posssible	381
physical	382
bank	383
amendment	384
fine	385
might	386
reallly	387
25	388
april	389
person	390
darrron	391
amount	392
222	393
28	394
place	395
loooking	396
it's	397
addd	398
offf	399
way	400
giron	401
billl	402
trying	403
hear	404
doing	405
made	406
default	407
law	408
documents	409
request	410
businesss	411
believe	412
can't	413
loooks	414
spoke	415
origin	416
folder	417
plain	418
encoding	419
entity	420
colllateral	421
paragraph	422
keeep	423
neeeds	424
mime	425
charset	426
tooo	427
left	428
come	429
17	430
leave	431
yet	432
said	433
filename	434
someone	435
7bit	436
further	437
june	438
end	439
joe	440
asciii	441
net	442
long	443
pereira	444
got	445
ed	446
bailey	447
folders	448
lawyer	449
nsf	450
24	451
advise	452
csa	453
whether	454
agreeed	455
jones	456
being	457
counsel	458
anyone	459
gettting	460
desk	461
night	462
asssignment	463
yesterday	464
kaye	465
scottt	466
suppport	467
27	468
chris	469
london	470
afternooon	471
format	472
18	473
mike	474
morgan	475
however	476
addditional	477
etc	478
why	479
works	480
29	481
best	482
discusssed	483
march	484
services	485
something	486
having	487
already	488
note	489
i've	490
adams	491
order	492
robert	493
didn't	494
yes	495
requested	496
understand	497
another	498
let's	499
dec2000	500
info	501
online	502
things	503
folllow	504
execution	505
maybe	506
home	507
revised	508
confirms	509
steve	510
contract	511
receive	512
june20001	513
currrently	514
upon	515
et	516
document	517
term	518
freee	519
those	520
most	521
rate	522
later	523
vacation	524
k	525
final	526
agreee	527
ssshackle	528
payment	529
risk	530
used	531
else	532
russselll	533
michael	534
market	535
west	536
respond	537
aol	538
include	539
update	540
latest	541
counterparties	542
bruce	543
opinion	544
bear	545
richard	546
hendry	547
speak	548
ok	549
waiting	550
george	551
point	552
above	553
jim	554
short	555
plan	556
based	557
d	558
side	559
31	560
equity	561
telll	562
weeeks	563
provisions	564
feeel	565
early	566
sheila	567
ask	568
eees	569
j	570
flynnn	571
together	572
lynnn	573
firm	574
love	575
signed	576
during	577
cannnot	578
samantha	579
parties	580
product	581
tracy	582
project	583
copies	584
h	585
bettter	586
tom	587
cash	588
sign	589
weeekend	590
diffferent	591
never	592
g	593
sending	594
threshold	595
frank	596
terms	597
guys	598
probably	599
htttp	600
products	601
handle	602
okay	603
boook	604
month	605
interested	606
iii	607
panus	608
ready	609
around	610
return	611
existing	612
wants	613
marie	614
sarasara	615
told	616
u	617
r	618
acccesss	619
docs	620
computer	621
pay	622
open	623
general	624
gary	625
weather	626
daily	627
proposed	628
eol	629
trader	630
derivatives	631
litttle	632
currrent	633
many	634
consent	635
memo	636
prior	637
offfer	638
commmunications	639
down	640
lotus	641
enronccc	642
limited	643
house	644
notice	645
ever	646
prices	647
once	648
say	649
alllen	650
line	651
given	652
must	653
second	654
non	655
t	656
coook	657
everyone	658
team	659
chance	660
shalll	661
securities	662
confirmed	663
enclosed	664
efffective	665
leslie	666
verify	667
el	668
reviewing	669
corrrect	670
hearing	671
45	672
word	673
due	674
arbitration	675
tafffy	676
system	677
9573	678
callled	679
even	680
