Word	Label
the	1
to	2
i	3
you	4
and	5
ect	6
enron	7
a	8
is	9
of	10
for	11
in	12
on	13
have	14
this	15
hou	16
me	17
lt	18
we	19
that	20
be	21
will	22
it	23
are	24
if	25
with	26
dg	27
	28
thanks	29
please	30
know	31
your	32
from	33
not	34
c	35
amp	36
com	37
subject	38
at	39
darron	40
giron	41
am	42
as	43
any	44
let	45
3	46
s	47
stacy	48
need	49
can	50
but	51
up	52
would	53
what	54
my	55
x	56
was	57
2000	58
20001	59
get	60
do	61
or	62
out	63
et	64
about	65
they	66
all	67
so	68
think	69
9573	70
just	71
call	72
000	73
like	74
there	75
phillip	76
ectcc	77
corp	78
1	79
questions	80
an	81
gas	82
these	83
deal	84
our	85
he	86
attached	87
by	88
don't	89
going	90
also	91
time	92
want	93
them	94
when	95
see	96
some	97
should	98
cc	99
deals	100
book	101
one	102
how	103
new	104
111	105
here	106
us	107
dickson	108
e	109
did	110
agreement	111
two	112
sent	113
good	114
sure	115
01	116
go	117
sitara	118
make	119
day	120
has	121
i'm	122
west	123
pmto	124
10	125
2	126
which	127
re	128
amto	129
12	130
were	131
08	132
help	133
number	134
back	135
had	136
price	137
pm	138
lynn	139
week	140
could	141
desk	142
email	143
changes	144
tagg	145
she	146
more	147
been	148
last	149
still	150
02	151
send	152
work	153
enovate	154
books	155
09	156
into	157
north	158
no	159
p	160
find	161
version	162
today	163
06	164
thank	165
mail	166
enronxgate	167
may	168
4	169
look	170
firm	171
then	172
next	173
friday	174
transaction	175
04	176
night	177
america	178
well	179
physical	180
office	181
d	182
forward	183
who	184
again	185
set	186
net	187
only	188
their	189
her	190
kam	191
content	192
change	193
gregg	194
following	195
group	196
853	197
message	198
now	199
master	200
give	201
take	202
chicago	203
ft	204
mike	205
him	206
than	207
use	208
eol	209
i'll	210
does	211
im	212
03	213
first	214
wanted	215
before	216
review	217
713	218
l	219
really	220
list	221
keiser	222
each	223
check	224
very	225
his	226
morning	227
comments	228
na	229
system	230
under	231
other	232
hope	233
information	234
central	235
per	236
credit	237
5	238
love	239
david	240
year	241
0	242
gisb	243
because	244
jeff	245
enroncc	246
month	247
15	248
looking	249
energy	250
blair	251
getting	252
got	253
tomorrow	254
anything	255
done	256
07	257
access	258
daily	259
mark	260
put	261
allen	262
info	263
b	264
meeting	265
type	266
chris	267
john	268
original	269
kevin	270
talk	271
over	272
basis	273
much	274
transfer	275
come	276
off	277
right	278
numbers	279
end	280
steve	281
randy	282
contract	283
june	284
30	285
long	286
thursday	287
purchase	288
same	289
already	290
baumbach	291
index	292
since	293
game	294
file	295
soon	296
days	297
made	298
guys	299
where	300
sale	301
shall	302
possible	303
can't	304
looks	305
place	306
kelly	307
between	308
m	309
team	310
ena	311
05	312
later	313
needs	314
order	315
copy	316
working	317
try	318
yesterday	319
further	320
20	321
together	322
risk	323
able	324
too	325
21	326
used	327
jeffrey	328
william	329
provide	330
nui	331
something	332
additional	333
7	334
invoices	335
plan	336
home	337
left	338
bcc	339
folder	340
notes	341
origin	342
position	343
14	344
told	345
monday	346
it's	347
ava	348
account	349
after	350
return	351
didn't	352
until	353
tuesday	354
believe	355
little	356
dgiron	357
kristi	358
doing	359
28	360
above	361
phone	362
gossett	363
follow	364
reps	365
6	366
market	367
during	368
region	369
booked	370
9	371
yes	372
people	373
cash	374
better	375
discussed	376
way	377
agreements	378
those	379
spreadsheet	380
mime	381
text	382
plain	383
charset	384
encoding	385
k	386
filename	387
even	388
susan	389
request	390
says	391
richard	392
latest	393
name	394
saturday	395
jennifer	396
note	397
pay	398
w	399
ok	400
8	401
april	402
larry	403
unit	404
date	405
17	406
else	407
process	408
great	409
jim	410
receive	411
dawn	412
down	413
socal	414
ascii	415
7bit	416
july	417
terry	418
lucy	419
power	420
company	421
mary	422
weekend	423
keep	424
sean	425
house	426
23	427
chance	428
demand	429
fine	430
31	431
contact	432
complete	433
financial	434
remember	435
buy	436
mean	437
folders	438
nsf	439
address	440
sorry	441
add	442
both	443
comcc	444
changed	445
below	446
most	447
yet	448
thought	449
everyone	450
joe	451
asked	452
kathy	453
units	454
counterparty	455
confirmation	456
run	457
actually	458
29	459
why	460
another	461
leave	462
bring	463
guy	464
currently	465
question	466
t	467
open	468
fall	469
trying	470
o	471
second	472
names	473
amount	474
letter	475
222	476
few	477
cnt	478
16	479
person	480
project	481
ask	482
pecorp	483
having	484
frank	485
trader	486
issues	487
respond	488
either	489
natural	490
heard	491
short	492
actual	493
storage	494
password	495
27	496
said	497
5705	498
guaranty	499
j	500
term	501
id	502
prices	503
thru	504
keith	505
regarding	506
bid	507
cost	508
town	509
reviewing	510
intra	511
business	512
tonight	513
fyi	514
went	515
form	516
draft	517
understand	518
doc	519
19	520
line	521
every	522
once	523
couple	524
against	525
big	526
best	527
things	528
discuss	529
monthly	530
might	531
26	532
ready	533
25	534
trading	535
value	536
being	537
product	538
nng	539
while	540
using	541
however	542
document	543
13	544
mid	545
site	546
denver	547
floor	548
march	549
loan	550
start	551
daniel	552
found	553
inc	554
garcia	555
feel	556
18	557
non	558
management	559
requested	560
play	561
houston	562
months	563
through	564
tell	565
plans	566
gd	567
concerns	568
married	569
texas	570
someone	571
sell	572
agave	573
top	574
24	575
spoke	576
scott	577
g	578
curves	579
include	580
charge	581
seems	582
agree	583
construction	584
due	585
description	586
n	587
response	588
tickets	589
fgt	590
coral	591
emw	592
park	593
interview	594
http	595
llc	596
rate	597
longer	598
products	599
south	600
jay	601
traders	602
enov	603
lunch	604
payment	605
'sent	606
report	607
received	608
marketing	609
free	610
kowalke	611
sending	612
care	613
sounds	614
gary	615
field	616
without	617
jan	618
problem	619
5000	620
quantity	621
contracts	622
trip	623
sunday	624
reports	625
earthlink	626
aol	627
fw	628
san	629
less	630
anyone	631
update	632
michael	633
co	634
mom	635
probably	636
genaro	637
different	638
curve	639
2226	640
debra	641
spot	642
early	643
50	644
available	645
wants	646
transactions	647
stacey	648
linda	649
raetta	650
across	651
correct	652
toni	653
referenced	654
such	655
specific	656
tara	657
grigsby	658
kids	659
always	660
patti	661
schedule	662
goes	663
almost	664
production	665
requests	666
jason	667
provision	668
side	669
rick	670
mayers	671
bwallace	672
annuity	673
meet	674
class	675
read	676
resources	677
provisions	678
ellen	679
late	680
oa	681
flash	682
transport	683
seem	684
maybe	685
ec3952	686
terms	687
customer	688
penman	689
stay	690
addition	691
click	692
sdickso	693
russell	694
section	695
nicor	696
completed	697
around	698
mutual	699
instead	700
ww	701
talked	702
buchanan	703
jean	704
family	705
