Word	Label
the	1
to	2
of	3
enron	4
a	5
is	6
and	7
cargo	8
you	9
on	10
for	11
that	12
at	13
this	14
we	15
be	16
in	17
development	18
are	19
days	20
if	21
paul	22
eco	23
have	24
with	25
1	26
price	27
lng	28
gallons	29
out	30
2000	31
cabot	32
would	33
com	34
please	35
day	36
000	37
20001	38
may	39
hoegh	40
galleon	41
check	42
ww	43
gorelieberman	44
project	45
as	46
2	47
or	48
how	49
it	50
outage	51
attached	52
any	53
call	54
me	55
regards	56
1000	57
mt	58
will	59
mm	60
cost	61
5	62
7	63
get	64
year	65
receive	66
last	67
copy	68
being	69
questions	70
can	71
gas	72
our	73
rate	74
btu	75
from	76
also	77
end	78
based	79
between	80
winter	81
plus	82
could	83
cargoes	84
ct1	85
what	86
after	87
second	88
there	89
latest	90
update	91
dpc	92
printed	93
photos	94
forwarded	95
seperately	96
feel	97
free	98
713	99
345	100
58555	101
best	102
per	103
following	104
heat	105
note	106
than	107
y'barbo	108
subject	109
tank	110
i	111
nymex	112
about	113
an	114
value	115
captured	116
by	117
not	118
number	119
able	120
sales	121
ect	122
next	123
delivery	124
should	125
date	126
up	127
right	128
big	129
oscar	130
fuel	131
mw	132
gallon	133
additional	134
developmentcc	135
na	136
where	137
prices	138
4	139
puerto	140
rico	141
january	142
make	143
need	144
60	145
risk	146
mont	147
belvieu	148
premium	149
july	150
3	151
suzanne	152
product	153
15	154
sale	155
greg	156
give	157
19	158
01	159
31	160
economics	161
buy	162
cms	163
had	164
december	165
ok	166
your	167
probably	168
now	169
guy	170
harib	171
line	172
my	173
thanks	174
jassem	175
capacity	176
91	177
507	178
kwh	179
no	180
different	181
those	182
regarding	183
updates	184
lpg	185
re	186
level	187
sending	188
monthly	189
future	190
trip	191
april	192
time	193
difference	194
commodity	195
charge	196
surcharge	197
delivered	198
61	199
pay	200
let's	201
its	202
think	203
work	204
early	205
spring	206
eco's	207
inventory	208
dispatch	209
diverted	210
cell	211
want	212
divert	213
means	214
more	215
full	216
175	217
but	218
enough	219
market	220
depends	221
here	222
go	223
structure	224
14000	225
fixed	226
represents	227
amount	228
june	229
procaribe	230
progasco	231
04	232
02	233
45	234
miguel	235
maltes	236
javier	237
chavarria	238
curran	239
ca	240
federico	241
haeussler	242
b	243
clapp	244
hou	245
12	246
has	247
loading	248
window	249
mts	250
mb	251
around	252
average	253
borrowing	254
balance	255
20	256
diversion	257
back	258
let	259
add	260
demand	261
another	262
earliest	263
contract	264
trying	265
when	266
says	267
great	268
her	269
she	270
mask	271
don't	272
worry	273
blood	274
pressure	275
yo	276
stephanie	277
eol	278
help	279
set	280
id	281
password	282
today	283
joe	284
quenet	285
http	286
gasfundy	287
corp	288
framework	289
default	290
asp	291
conversation	292
management	293
team's	294
assumptions	295
requirements	296
260	297
mmbtu	298
75000	299
kwhlpg	300
1905	301
metric	302
tons	303
7461	304
5222	305
3000	306
619	307
465	308
7313	309
131	310
850	311
rates	312
less	313
rick	314
arthur	315
performance	316
curves	317
provide	318
inventories	319
pauldan	320
masters	321
ect03	322
28	323
09	324
49	325
amto	326
angie	327
hueca	328
cedeno	329
ramon	330
pizarro	331
inaida	332
daily	333
reports	334
dan	335
woman	336
document	337
responsible	338
am	339
planning	340
middle	341
east	342
march	343
beginning	344
hope	345
meet	346
today's	347
closing	348
9	349
ecoelectrica's	350
20002	351
83	352
cbm	353
vs	354
assumes	355
50	356
vessel	357
jan	358
'02	359
41	360
fob	361
666	362
stay	363
touch	364
possibilty	365
landing	366
spot	367
into	368
discussed	369
play	370
issue	371
were	372
unable	373
release	374
deliver	375
continue	376
logistics	377
cabot's	378
cooperation	379
needed	380
size	381
until	382
spreadsheet	383
allows	384
easily	385
calculate	386
variety	387
cases	388
vary	389
simply	390
enter	391
assumption	392
a16	393
a23	394
automatically	395
calculated	396
negative	397
require	398
entitled	399
assuming	400
remaining	401
6	402
less2	403
required	404
result	405
still	406
end3	407
results	408
surplus	409
whether	410
much	411
exceeds	412
daysthe	413
above	414
figures	415
assume	416
76	417
95	418
availability	419
assumed	420
hey	421
w	422
democrat	423
worked	424
similar	425
eliminate	426
paying	427
borrowed	428
went	429
29000	430
128000	431
and29000	432
3the	433
premiums	434
under	435
discussion	436
matches	437
procaribe's	438
revenue	439
question	440
does	441
paid	442
goes	443
paulgreg	444
curran05	445
pmsent	446
curranto	447
mariella	448
mahan	449
explain	450
manage	451
remeber	452
worth	453
progas	454
payment	455
terms	456
cash	457
development05	458
pmto	459
cargoour	460
pdvsa	461
18	462
eta	463
21	464
10	465
2mm	466
three	467
bill	468
lading	469
invoice	470
before	471
excluding	472
weekends	473
holidays	474
cents	475
customer	476
san	477
juan	478
210	479
centro	480
140	481
gallonstotal	482
return	483
ecoel	484
ctrica	485
6667	486
returning	487
all	488
480	489
2333	490
estimated	491
heater	492
consumption	493
month	494
563	495
520	496
20th	497
through	498
31st	499
30	500
408	501
8000	502
4555	503
760	504
gallonsinventory	505
52	506
153	507
arrival	508
saludos	509
non	510
mentioned	511
prior	512
current	513
0	514
ena	515
us	516
terminal	517
fee	518
apply	519
hard	520
imagine	521
adds	522
sourced	523
nigeria	524
algeria	525
controls	526
november	527
23	528
unless	529
mutually	530
agreeable	531
determines	532
therefore	533
111	534
soon	535
29	536
first	537
late	538
two	539
barely	540
them	541
dates	542
they	543
eligible	544
addition	545
's	546
available	547
program	548
removes	549
receiving	550
timing	551
most	552
heavily	553
influenced	554
these	555
impact	556
tailgate	557
change	558
beat	559
crystal	560
ball	561
lock	562
purchase	563
bottoms	564
front	565
curve	566
lost	567
mmmbtu	568
weeks	569
order	570
prepared	571
execute	572
conditions	573
board	574
initiate	575
discussions	576
producer	577
supply	578
talk	579
gene	580
massey	581
confirm	582
his	583
thoughts	584
do	585
appreciate	586
insights	587
opportunity	588
sounds	589
like	590
i'm	591
going	592
renee	593
diving	594
masks	595
anything	596
face	597
claustrophobic	598
spelling	599
wear	600
ski	601
however	602
so	603
used	604
scuba	605
