Word	Label
the	1
to	2
lt	3
i	4
and	5
of	6
a	7
you	8
enron	9
is	10
that	11
ect	12
for	13
in	14
have	15
be	16
this	17
	18
with	19
we	20
if	21
on	22
please	23
me	24
20001	25
it	26
hou	27
will	28
are	29
dan	30
not	31
as	32
hyvl	33
subject	34
from	35
j	36
your	37
cc	38
any	39
am	40
contract	41
at	42
or	43
would	44
can	45
com	46
by	47
know	48
agreement	49
1	50
need	51
attached	52
do	53
they	54
was	55
my	56
amp	57
2	58
enronxgate	59
what	60
gas	61
should	62
let	63
x	64
which	65
has	66
stacy	67
s	68
up	69
thanks	70
01	71
re	72
an	73
out	74
so	75
changes	76
pm	77
call	78
no	79
one	80
them	81
all	82
review	83
deal	84
e	85
time	86
000	87
sent	88
our	89
new	90
ena	91
4	92
3	93
these	94
10	95
03	96
he	97
et	98
20	99
language	100
but	101
04	102
get	103
corp	104
master	105
questions	106
5	107
phillip	108
transaction	109
she	110
their	111
when	112
about	113
price	114
been	115
hpl	116
day	117
make	118
send	119
there	120
two	121
111	122
02	123
see	124
original	125
think	126
back	127
company	128
section	129
like	130
only	131
had	132
under	133
here	134
want	135
some	136
energy	137
just	138
us	139
may	140
comments	141
signed	142
forward	143
document	144
version	145
doc	146
30	147
work	148
could	149
also	150
term	151
thank	152
713	153
did	154
dickson	155
change	156
guaranty	157
firm	158
05	159
line	160
city	161
message	162
going	163
06	164
last	165
such	166
purchase	167
were	168
party	169
other	170
made	171
how	172
before	173
na	174
into	175
credit	176
use	177
12	178
l	179
kim	180
more	181
her	182
09	183
draft	184
next	185
letter	186
sale	187
copy	188
information	189
form	190
week	191
email	192
find	193
does	194
date	195
go	196
his	197
8	198
aep	199
okay	200
contracts	201
gisb	202
confirm	203
853	204
0	205
days	206
requested	207
john	208
number	209
than	210
above	211
pmto	212
then	213
still	214
month	215
however	216
deals	217
assignment	218
mail	219
15	220
provide	221
first	222
each	223
year	224
regarding	225
grant	226
don't	227
debra	228
21	229
through	230
give	231
good	232
its	233
over	234
tuesday	235
april	236
fw	237
today	238
file	239
texas	240
because	241
point	242
after	243
discussed	244
confirmation	245
list	246
look	247
amto	248
lynn	249
again	250
content	251
agreements	252
period	253
31	254
between	255
him	256
further	257
office	258
13	259
who	260
per	261
anything	262
volumes	263
gary	264
6	265
p	266
north	267
take	268
way	269
agree	270
7	271
below	272
service	273
sign	274
both	275
said	276
legal	277
place	278
being	279
parties	280
2000	281
america	282
type	283
put	284
gtc	285
help	286
needs	287
quantity	288
terms	289
08	290
signature	291
provided	292
now	293
mary	294
friday	295
shall	296
since	297
sure	298
same	299
janet	300
reviewed	301
fax	302
asked	303
executed	304
those	305
following	306
customer	307
barbara	308
agreed	309
response	310
monday	311
16	312
very	313
buyer	314
done	315
9	316
meeting	317
222	318
until	319
payment	320
m	321
right	322
14	323
june	324
jeff	325
address	326
17	327
trading	328
end	329
daily	330
check	331
note	332
physical	333
years	334
19	335
houston	336
el	337
currently	338
enfolio	339
ward	340
phil	341
group	342
execution	343
return	344
proposed	345
add	346
paso	347
fixed	348
enovate	349
additional	350
i'm	351
request	352
ellen	353
changed	354
counterparty	355
w	356
gregg	357
added	358
march	359
left	360
print	361
d	362
long	363
mark	364
dave	365
desk	366
25	367
project	368
transfer	369
system	370
well	371
anderson	372
talk	373
phone	374
another	375
include	376
amount	377
discuss	378
morning	379
index	380
c	381
delivery	382
eol	383
originals	384
event	385
down	386
business	387
used	388
set	389
plan	390
home	391
bcc	392
notes	393
darren	394
vanek	395
might	396
needed	397
where	398
transactions	399
termination	400
says	401
confidentiality	402
keep	403
getting	404
using	405
volume	406
understand	407
believe	408
person	409
provisions	410
during	411
leave	412
concerning	413
gray	414
issue	415
why	416
effective	417
crestar	418
acceptable	419
documents	420
amendment	421
looks	422
final	423
07	424
tell	425
question	426
receive	427
pay	428
contact	429
blair	430
ok	431
michael	432
n	433
included	434
mailto	435
walter	436
it's	437
default	438
perlingiere	439
cost	440
pg	441
lamphier	442
ectcc	443
house	444
b	445
ready	446
yes	447
once	448
natural	449
gulf	450
available	451
name	452
otherwise	453
doing	454
due	455
order	456
red	457
off	458
complete	459
cover	460
folder	461
susan	462
mmbtu	463
working	464
com'	465
january	466
29	467
necessary	468
much	469
robert	470
russell	471
wanted	472
even	473
west	474
lucy	475
allen	476
palo	477
received	478
inc	479
clean	480
too	481
mime	482
text	483
plain	484
charset	485
encoding	486
origin	487
filename	488
require	489
rent	490
demoes	491
becky	492
issues	493
linda	494
entity	495
paragraph	496
invoices	497
never	498
spot	499
soon	500
able	501
prices	502
fine	503
come	504
haldor	505
probably	506
revised	507
h	508
provision	509
bond	510
26	511
paid	512
property	513
old	514
advise	515
while	516
bridgette	517
county	518
initial	519
reasonable	520
reason	521
power	522
few	523
23	524
try	525
o	526
ascii	527
7bit	528
folders	529
nsf	530
t	531
enroncc	532
got	533
certain	534
floor	535
pipeline	536
relating	537
less	538
marketing	539
unit	540
actual	541
together	542
bp	543
average	544
18	545
smith	546
money	547
i'll	548
thursday	549
without	550
most	551
months	552
50	553
spoke	554
george	555
larry	556
market	557
correct	558
went	559
around	560
mike	561
something	562
little	563
richard	564
remember	565
notice	566
delete	567
wednesday	568
details	569
tomorrow	570
vanessa	571
steve	572
street	573
deleted	574
looking	575
possible	576
force	577
majeure	578
open	579
better	580
nui	581
numbers	582
development	583
can't	584
different	585
having	586
requirements	587
r	588
told	589
randy	590
read	591
terry	592
keith	593
g	594
access	595
alto	596
non	597
reps	598
assigned	599
costs	600
dated	601
resources	602
offer	603
cary	604
ava	605
guidroz	606
word	607
attorney	608
yet	609
current	610
maximum	611
part	612
wallis	613
fees	614
services	615
prepare	616
didn't	617
san	618
law	619
sheet	620
david	621
someone	622
'dan	623
rentroll	624
points	625
approved	626
schedule	627
hope	628
everything	629
description	630
report	631
stacey	632
clickathome	633
cable	634
items	635
therefore	636
ca	637
proceed	638
process	639
646	640
sorry	641
afternoon	642
case	643
follow	644
based	645
spencer	646
february	647
elizabeth	648
st	649
arbitration	650
always	651
best	652
seller	653
site	654
already	655
forwarded	656
yesterday	657
28	658
within	659
chris	660
sending	661
existing	662
plus	663
matter	664
rate	665
fully	666
special	667
units	668
construction	669
appears	670
merchant	671
several	672
voice	673
short	674
hodge	675
sylvia	676
standard	677
marked	678
start	679
austin	680
diamond	681
front	682
bob	683
allow	684
three	685
internet	686
referenced	687
suggest	688
griffin	689
anne	690
etc	691
sentence	692
article	693
found	694
basis	695
conditions	696
prepared	697
bid	698
guarantee	699
