Word	Label
the	1
to	2
enron	3
i	4
and	5
you	6
amp	7
s	8
on	9
et	10
for	11
thanks	12
	13
we	14
this	15
of	16
is	17
in	18
have	19
a	20
be	21
with	22
me	23
that	24
will	25
not	26
would	27
know	28
if	29
are	30
up	31
lynn	32
as	33
out	34
let	35
just	36
it	37
at	38
your	39
from	40
do	41
please	42
my	43
x	44
need	45
get	46
day	47
like	48
can	49
all	50
our	51
enronxgate	52
am	53
blair	54
or	55
any	56
an	57
what	58
was	59
about	60
these	61
20001	62
they	63
going	64
time	65
had	66
000	67
questions	68
should	69
here	70
so	71
us	72
also	73
randy	74
bob	75
her	76
could	77
ava	78
how	79
work	80
were	81
reps	82
when	83
think	84
1	85
make	86
there	87
invoices	88
sure	89
has	90
june	91
new	92
i'm	93
check	94
subject	95
month	96
by	97
good	98
patti	99
terry	100
back	101
but	102
go	103
he	104
them	105
john	106
call	107
again	108
did	109
com	110
more	111
want	112
e	113
06	114
gas	115
last	116
help	117
then	118
fyi	119
tuesday	120
some	121
she	122
2000	123
30	124
enroncc	125
over	126
week	127
now	128
been	129
one	130
lt	131
ok	132
stacy	133
group	134
anything	135
fgt	136
nng	137
come	138
mike	139
kowalke	140
next	141
no	142
days	143
else	144
meeting	145
raetta	146
larry	147
content	148
gay	149
mail	150
sent	151
see	152
too	153
toni	154
per	155
desk	156
before	157
don't	158
change	159
buchanan	160
concerns	161
pmto	162
keep	163
very	164
everyone	165
people	166
today	167
2	168
joe	169
following	170
take	171
only	172
kathy	173
well	174
cynthia	175
via	176
reviewing	177
5	178
since	179
working	180
hope	181
version	182
0	183
cc	184
changes	185
able	186
right	187
el	188
having	189
big	190
west	191
4	192
down	193
may	194
ww	195
gorelieberman	196
than	197
feel	198
system	199
offer	200
move	201
jean	202
information	203
n	204
mary	205
20	206
after	207
wanted	208
amto	209
who	210
report	211
same	212
floor	213
start	214
already	215
talked	216
3	217
jan	218
oba	219
still	220
debra	221
monday	222
use	223
imbalances	224
close	225
house	226
off	227
where	228
paso	229
m	230
12	231
phillip	232
give	233
it's	234
really	235
send	236
team	237
tangie	238
other	239
message	240
which	241
job	242
him	243
each	244
cycle	245
lynnfrom	246
111	247
01	248
possible	249
interview	250
etc	251
fine	252
janzen	253
10	254
re	255
year	256
being	257
end	258
set	259
transfer	260
update	261
storage	262
several	263
bodnar	264
non	265
rick	266
loop	267
ready	268
night	269
home	270
glad	271
attached	272
looking	273
8	274
point	275
even	276
those	277
guy	278
everything	279
different	280
14	281
60	282
does	283
between	284
pm	285
denver	286
their	287
222	288
energy	289
berger	290
linda	291
getting	292
pay	293
original	294
talk	295
both	296
i'll	297
into	298
sell	299
cal	300
let's	301
mime	302
type	303
text	304
plain	305
charset	306
ascii	307
encoding	308
7bit	309
randall	310
l	311
bcc	312
folder	313
origin	314
filename	315
contract	316
morning	317
fw	318
ya'll	319
agree	320
amount	321
gotta	322
scheduled	323
letter	324
7	325
mean	326
thought	327
much	328
small	329
customers	330
because	331
6	332
high	333
washington	334
heather	335
1000	336
things	337
office	338
adams	339
chris	340
issues	341
additional	342
follow	343
input	344
care	345
brokers	346
outside	347
problems	348
rest	349
garcia	350
25	351
enro	352
james	353
lynda	354
nominations	355
training	356
way	357
02	358
needs	359
deadline	360
invoice	361
rates	362
approximately	363
contracts	364
flash	365
jana	366
definitely	367
soon	368
another	369
hire	370
shippers	371
gomez	372
wgr	373
first	374
left	375
together	376
july	377
goes	378
'sent	379
dickson	380
stacey	381
made	382
access	383
shelley	384
dietz	385
gerry	386
fix	387
speed	388
address	389
long	390
plan	391
54	392
district	393
problem	394
happen	395
short	396
find	397
asap	398
attending	399
request	400
during	401
discuss	402
50	403
guys	404
tomorrow	405
might	406
josh	407
outlook	408
number	409
nomination	410
robert	411
dykes	412
sherry	413
forbish	414
greaney	415
janet	416
mcdaniel	417
scurlock	418
sturr	419
harry	420
woodson	421
few	422
plant	423
second	424
list	425
daily	426
probably	427
open	428
sounds	429
makes	430
discrepancies	431
around	432
lblair	433
privileged	434
nancy	435
callans	436
rivers	437
say	438
level	439
performance	440
anyone	441
myself	442
process	443
bring	444
comments	445
person	446
timely	447
every	448
yesterday	449
later	450
went	451
volumes	452
master	453
firm	454
receive	455
clear	456
o	457
15	458
outage	459
line	460
ricki	461
flood	462
tropical	463
storm	464
checks	465
10th	466
friday	467
email	468
ms	469
reports	470
lara	471
000p	472
testing	473
ramona	474
upgrade	475
msr's	476
analyst	477
acceptable	478
little	479
remember	480
meet	481
anytime	482
26	483
western	484
resources	485
mitchell	486
yes	487
try	488
dave	489
notes	490
folders	491
r	492
rgay	493
nsf	494
amendment	495
forward	496
weekend	497
sunday	498
sbs	499
further	500
test	501
while	502
volume	503
asked	504
thoughts	505
trip	506
sorry	507
can't	508
p	509
hop	510
knock	511
memo	512
until	513
seems	514
events	515
met	516
woman	517
solutions	518
said	519
most	520
service	521
'bout	522
boys	523
stay	524
ina	525
scheduling	526
attend	527
august	528
million	529
lost	530
including	531
exact	532
handle	533
worked	534
manager	535
trading	536
conversation	537
pretty	538
degrees	539
chapa	540
sending	541
large	542
13	543
benningfield	544
linhart	545
gary	546
great	547
tim	548
represent	549
comfortable	550
notice	551
maybe	552
taken	553
critical	554
zadow	555
bryan	556
carr	557
shirley	558
perry	559
tracy	560
minter	561
nron	562
galen	563
laferla	564
diana	565
porter	566
jerry	567
wilkens	568
christine	569
mcevoy	570
albert	571
hernandez	572
beverly	573
miller	574
mulligan	575
ward	576
schedule	577
years	578
bonus	579
increased	580
employees	581
sit	582
deals	583
brian	584
kuehl	585
question	586
tw	587
name	588
ask	589
checking	590
hopefully	591
windows	592
9	593
confirming	594
edi	595
due	596
lot	597
credit	598
miss	599
doc	600
updates	601
19	602
steve	603
juan	604
w	605
18	606
told	607
market	608
damage	609
assistance	610
thank	611
assist	612
order	613
unfinaled	614
21	615
thursday	616
accounts	617
customer	618
preliminary	619
passing	620
unusual	621
low	622
dollar	623
amounts	624
answering	625
tas	626
error	627
unbilled	628
processing	629
errors	630
correcting	631
commodity	632
card	633
b	634
course	635
nwpl	636
manually	637
80	638
amy	639
session	640
35842	641
vacation	642
tms	643
done	644
marketing	645
exceptions	646
hit	647
risk	648
sr	649
specialist	650
procedure	651
mason	652
although	653
expect	654
he's	655
man	656
tonite	657
bid	658
starting	659
heads	660
prompt	661
co2	662
aware	663
assets	664
least	665
none	666
owe	667
dth	668
months	669
dan	670
answers	671
dear	672
hear	673
yet	674
bal	675
traded	676
southern	677
afternoon	678
