Word	Label
the	1
to	2
i	3
you	4
enron	5
and	6
a	7
of	8
ect	9
is	10
for	11
on	12
in	13
that	14
this	15
have	16
	17
me	18
with	19
we	20
are	21
be	22
will	23
if	24
it	25
please	26
hou	27
your	28
would	29
not	30
from	31
john	32
can	33
at	34
phillip	35
my	36
amp	37
x	38
gas	39
or	40
know	41
stacy	42
as	43
am	44
s	45
call	46
1	47
get	48
need	49
do	50
what	51
up	52
any	53
was	54
2	55
et	56
like	57
they	58
corp	59
an	60
by	61
thanks	62
about	63
but	64
out	65
he	66
should	67
let	68
all	69
our	70
there	71
000	72
these	73
just	74
think	75
time	76
e	77
here	78
lavorato	79
some	80
subject	81
so	82
20001	83
going	84
work	85
has	86
questions	87
attached	88
when	89
one	90
did	91
make	92
3	93
713	94
agreement	95
don't	96
com	97
new	98
week	99
na	100
dickson	101
us	102
want	103
them	104
2000	105
changes	106
4	107
email	108
j	109
send	110
cc	111
information	112
no	113
meeting	114
thank	115
also	116
5	117
give	118
were	119
see	120
which	121
sure	122
trading	123
more	124
she	125
office	126
enronxgate	127
sent	128
him	129
change	130
been	131
deal	132
good	133
back	134
cal	135
their	136
mail	137
i'm	138
how	139
lynn	140
last	141
jeff	142
still	143
version	144
day	145
may	146
853	147
had	148
his	149
could	150
price	151
allen	152
only	153
content	154
go	155
lt	156
credit	157
into	158
12	159
10	160
find	161
next	162
two	163
very	164
review	165
than	166
firm	167
use	168
plan	169
number	170
contract	171
who	172
type	173
under	174
take	175
million	176
project	177
per	178
list	179
today	180
other	181
energy	182
power	183
transaction	184
check	185
mark	186
set	187
111	188
0	189
then	190
try	191
pm	192
master	193
help	194
lucy	195
done	196
mike	197
market	198
before	199
come	200
comments	201
yes	202
prices	203
notes	204
talk	205
06	206
friday	207
over	208
now	209
development	210
following	211
15	212
01	213
put	214
group	215
year	216
working	217
gregg	218
re	219
rentroll	220
made	221
said	222
20	223
might	224
9	225
first	226
houston	227
blair	228
enroncc	229
month	230
west	231
gisb	232
looks	233
transfer	234
copy	235
dave	236
again	237
lavo	238
p	239
7	240
june	241
monday	242
kim	243
north	244
fax	245
rent	246
much	247
contact	248
note	249
pay	250
however	251
needs	252
why	253
keith	254
too	255
access	256
fine	257
look	258
does	259
message	260
system	261
cost	262
natural	263
report	264
since	265
file	266
paid	267
6	268
chris	269
forward	270
where	271
keep	272
floor	273
little	274
same	275
house	276
desk	277
numbers	278
getting	279
reports	280
randy	281
30	282
deals	283
l	284
risk	285
well	286
home	287
bcc	288
folder	289
way	290
david	291
sale	292
anything	293
larry	294
tuesday	295
america	296
long	297
date	298
her	299
traders	300
m	301
shall	302
ok	303
off	304
schedule	305
utilities	306
between	307
purchase	308
original	309
morning	310
address	311
tomorrow	312
04	313
place	314
tell	315
unit	316
storage	317
basis	318
down	319
mime	320
text	321
plain	322
charset	323
encoding	324
origin	325
filename	326
thought	327
line	328
agreements	329
days	330
book	331
var	332
each	333
units	334
below	335
after	336
letter	337
05	338
ascii	339
7bit	340
left	341
didn't	342
something	343
even	344
until	345
14	346
invoices	347
current	348
discussed	349
nui	350
through	351
money	352
folders	353
nsf	354
regarding	355
currently	356
receive	357
wanted	358
product	359
because	360
being	361
susan	362
eol	363
together	364
trying	365
ava	366
everyone	367
kevin	368
document	369
fgt	370
discuss	371
25	372
info	373
provide	374
bid	375
ena	376
soon	377
complete	378
understand	379
amto	380
reps	381
daily	382
issues	383
loan	384
around	385
costs	386
i'll	387
its	388
migration	389
buyer	390
construction	391
business	392
right	393
greg	394
can't	395
property	396
response	397
those	398
couple	399
san	400
c	401
seems	402
8	403
ready	404
george	405
financial	406
09	407
guys	408
leave	409
second	410
people	411
payment	412
hillis	413
financing	414
additional	415
says	416
communications	417
ees	418
password	419
due	420
weeks	421
great	422
include	423
concerns	424
grigsby	425
later	426
looking	427
form	428
end	429
thursday	430
pmto	431
total	432
steve	433
add	434
commercial	435
during	436
manager	437
such	438
frank	439
spreadsheet	440
above	441
better	442
doing	443
sending	444
terry	445
26	446
told	447
missed	448
user	449
id	450
cash	451
follow	452
ted	453
both	454
deposit	455
future	456
job	457
draft	458
fyi	459
order	460
mm	461
50	462
went	463
another	464
part	465
term	466
jim	467
03	468
track	469
let's	470
run	471
socal	472
return	473
position	474
short	475
outlook	476
land	477
most	478
b	479
site	480
tim	481
sorry	482
08	483
late	484
agree	485
already	486
'sent	487
yet	488
issue	489
having	490
13	491
possible	492
222	493
different	494
contracts	495
sounds	496
start	497
program	498
update	499
asked	500
enovate	501
few	502
index	503
joe	504
latest	505
scott	506
anyone	507
k	508
phone	509
page	510
problems	511
click	512
hope	513
mary	514
peoplefinder	515
got	516
thoughts	517
02	518
jacques	519
partnership	520
sign	521
guarantee	522
guaranty	523
chance	524
reviewing	525
high	526
hear	527
lot	528
bank	529
spoke	530
plus	531
5705	532
points	533
process	534
40	535
big	536
trader	537
terms	538
o	539
calendar	540
actual	541
07	542
1000	543
things	544
confirmation	545
cary	546
plans	547
while	548
once	549
team	550
design	551
love	552
pass	553
physical	554
canada	555
move	556
meet	557
probably	558
early	559
believe	560
resume	561
best	562
requested	563
advise	564
across	565
front	566
assume	567
demand	568
sell	569
else	570
utility	571
paul	572
able	573
person	574
hit	575
bills	576
it's	577
mean	578
products	579
kathy	580
rick	581
sold	582
weekend	583
received	584
confirm	585
april	586
open	587
several	588
increase	589
signed	590
doc	591
18	592
items	593
final	594
without	595
fill	596
coral	597
patti	598
positions	599
reagan	600
mentioned	601
less	602
jan	603
beth	604
wade	605
many	606
months	607
bring	608
management	609
daniel	610
survey	611
thing	612
n	613
npng	614
hours	615
delivery	616
garcia	617
16	618
structure	619
7041	620
forecast	621
service	622
debra	623
stacey	624
buy	625
bill	626
marketing	627
fees	628
19	629
yesterday	630
dec2000	631
coming	632
drop	633
general	634
http	635
description	636
ahead	637
resources	638
raetta	639
21	640
nng	641
night	642
29	643
question	644
tenants	645
really	646
guess	647
support	648
full	649
offer	650
hr	651
groups	652
request	653
expenses	654
systems	655
talked	656
doesn't	657
dan	658
ask	659
trades	660
fixed	661
taking	662
inc	663
wednesday	664
t	665
kowalke	666
eees	667
investment	668
december	669
23	670
hopefully	671
sdickso	672
rob	673
presentation	674
333	675
data	676
attend	677
respond	678
kipp	679
marcos	680
near	681
decision	682
name	683
counterparty	684
conference	685
customers	686
distribution	687
further	688
trade	689
appraisal	690
provisions	691
quantity	692
seem	693
stuff	694
bob	695
spot	696
value	697
gary	698
side	699
remember	700
canadian	701
read	702
clear	703
