Word	Label
the	1
i	2
to	3
you	4
and	5
a	6
of	7
is	8
for	9
enron	10
that	11
on	12
in	13
have	14
this	15
with	16
be	17
me	18
it	19
are	20
will	21
we	22
am	23
if	24
	25
was	26
at	27
my	28
your	29
so	30
not	31
out	32
would	33
stacy	34
amp	35
know	36
or	37
s	38
please	39
ect	40
up	41
as	42
just	43
et	44
going	45
from	46
about	47
what	48
do	49
but	50
night	51
thanks	52
get	53
all	54
x	55
there	56
let	57
he	58
call	59
any	60
work	61
time	62
can	63
like	64
go	65
really	66
they	67
some	68
had	69
lt	70
day	71
she	72
how	73
by	74
were	75
good	76
don't	77
when	78
20001	79
down	80
did	81
weekend	82
dickson	83
attached	84
deal	85
an	86
think	87
e	88
one	89
need	90
then	91
should	92
been	93
agreement	94
hou	95
thank	96
her	97
here	98
week	99
our	100
has	101
gas	102
which	103
back	104
these	105
went	106
however	107
well	108
phillip	109
com	110
000	111
subject	112
lynn	113
last	114
sure	115
cc	116
see	117
could	118
new	119
want	120
them	121
us	122
1	123
now	124
come	125
anyway	126
give	127
questions	128
sent	129
game	130
transaction	131
changes	132
very	133
guys	134
enronxgate	135
him	136
got	137
also	138
firm	139
off	140
make	141
doing	142
no	143
hey	144
version	145
email	146
check	147
take	148
number	149
more	150
other	151
today	152
find	153
next	154
2	155
days	156
after	157
two	158
didn't	159
than	160
4	161
over	162
still	163
master	164
great	165
too	166
until	167
gregg	168
friday	169
credit	170
may	171
few	172
gisb	173
3	174
home	175
house	176
per	177
corp	178
anything	179
something	180
mail	181
blair	182
before	183
right	184
tell	185
pretty	186
energy	187
comments	188
price	189
2000	190
10	191
because	192
saturday	193
5	194
send	195
little	196
wanted	197
morning	198
those	199
month	200
deals	201
dave	202
since	203
sunday	204
only	205
content	206
much	207
forward	208
mike	209
john	210
their	211
111	212
hope	213
monday	214
again	215
yeah	216
shall	217
use	218
mark	219
around	220
his	221
working	222
getting	223
12	224
review	225
thought	226
thing	227
date	228
01	229
0	230
being	231
sorry	232
6	233
30	234
kind	235
schedule	236
better	237
tonight	238
message	239
even	240
713	241
made	242
actually	243
june	244
la	245
who	246
06	247
pm	248
left	249
while	250
nui	251
help	252
during	253
into	254
said	255
sale	256
853	257
chris	258
okay	259
keep	260
phone	261
several	262
able	263
told	264
way	265
maybe	266
office	267
love	268
between	269
ava	270
randy	271
contract	272
thursday	273
re	274
look	275
under	276
cell	277
having	278
jeff	279
hours	280
matter	281
feel	282
information	283
long	284
i'm	285
year	286
reps	287
tommorow	288
things	289
position	290
already	291
04	292
talk	293
invoices	294
why	295
change	296
where	297
shift	298
nice	299
input	300
might	301
type	302
7	303
shit	304
purchase	305
agreements	306
care	307
north	308
looking	309
line	310
group	311
terry	312
called	313
regarding	314
most	315
ya	316
first	317
dude	318
hang	319
meeting	320
does	321
original	322
both	323
end	324
problem	325
talked	326
enroncc	327
busy	328
following	329
plan	330
discussed	331
family	332
friends	333
big	334
second	335
put	336
friend	337
bad	338
later	339
totally	340
fyi	341
dinner	342
503	343
attention	344
transfer	345
america	346
job	347
eol	348
02	349
everything	350
fine	351
allen	352
people	353
sounds	354
probably	355
due	356
letter	357
town	358
20	359
says	360
drinking	361
yesterday	362
leave	363
beers	364
b	365
tuesday	366
numbers	367
enovate	368
bcc	369
folder	370
notes	371
either	372
schedules	373
jay	374
same	375
issue	376
someone	377
14	378
further	379
asked	380
kathy	381
evening	382
daily	383
free	384
units	385
soon	386
done	387
latest	388
desk	389
remember	390
additional	391
larry	392
system	393
yes	394
each	395
guaranty	396
copy	397
5705	398
opportunity	399
bill	400
amto	401
yet	402
came	403
grab	404
05	405
guy	406
set	407
couple	408
oh	409
say	410
whats	411
business	412
through	413
west	414
pick	415
mime	416
text	417
plain	418
charset	419
encoding	420
origin	421
filename	422
try	423
unit	424
team	425
lot	426
trading	427
25	428
o	429
09	430
susan	431
access	432
together	433
correct	434
concerns	435
pmto	436
tomorrow	437
party	438
