Word	Label
enron	1
ect	2
the	3
to	4
enronxgate	5
hou	6
i	7
and	8
you	9
s	10
for	11
amp	12
on	13
et	14
a	15
in	16
this	17
of	18
	19
thanks	20
be	21
with	22
is	23
fletch	24
that	25
me	26
have	27
please	28
if	29
we	30
will	31
it	32
my	33
are	34
lynn	35
your	36
would	37
not	38
up	39
or	40
at	41
know	42
out	43
as	44
like	45
just	46
john	47
from	48
gas	49
i'm	50
can	51
d	52
corp	53
do	54
about	55
get	56
blair	57
new	58
all	59
but	60
let	61
20001	62
development	63
e	64
think	65
these	66
going	67
our	68
any	69
x	70
good	71
com	72
put	73
what	74
was	75
ava	76
should	77
000	78
stacy	79
by	80
sure	81
reps	82
he	83
check	84
i'll	85
they	86
how	87
questions	88
an	89
some	90
need	91
us	92
so	93
one	94
subject	95
mail	96
call	97
did	98
there	99
go	100
meeting	101
had	102
basis	103
them	104
june	105
invoices	106
day	107
hhubgd	108
na	109
here	110
randy	111
see	112
which	113
could	114
daily	115
don't	116
back	117
terry	118
am	119
time	120
2000	121
month	122
work	123
larry	124
next	125
eol	126
too	127
more	128
sorry	129
06	130
been	131
mary	132
when	133
calendar	134
send	135
it's	136
now	137
sturm	138
tuesday	139
enroncc	140
again	141
lt	142
we're	143
30	144
keep	145
make	146
week	147
m	148
garage	149
no	150
fgt	151
communications	152
house	153
ww	154
sent	155
ok	156
yes	157
products	158
then	159
raetta	160
him	161
nng	162
0	163
l	164
joe	165
mike	166
come	167
use	168
chris	169
n	170
has	171
since	172
fyi	173
mark	174
attached	175
days	176
who	177
jeff	178
were	179
scott	180
guy	181
w	182
already	183
report	184
down	185
take	186
floor	187
very	188
wanted	189
reviewing	190
3	191
1	192
product	193
her	194
today	195
h	196
also	197
hope	198
jean	199
20	200
change	201
michael	202
robert	203
want	204
gorelieberman	205
group	206
working	207
night	208
well	209
per	210
where	211
following	212
everyone	213
than	214
amto	215
concerns	216
anything	217
email	218
etc	219
yet	220
right	221
other	222
market	223
storage	224
last	225
8	226
parking	227
713	228
kowalke	229
book	230
kathy	231
james	232
r	233
smith	234
center	235
later	236
another	237
still	238
positions	239
before	240
being	241
same	242
comments	243
through	244
message	245
4	246
pmto	247
deal	248
imbalances	249
cycle	250
5	251
oba	252
garcia	253
tomorrow	254
really	255
only	256
tangie	257
25	258
both	259
2	260
monday	261
talked	262
j	263
i'd	264
fri	265
great	266
first	267
off	268
list	269
buchanan	270
01	271
p	272
receive	273
big	274
trades	275
debra	276
soon	277
team	278
miller	279
linda	280
may	281
eric	282
allen	283
lisa	284
master	285
trading	286
else	287
each	288
morning	289
their	290
find	291
firm	292
price	293
b	294
long	295
every	296
rick	297
glad	298
lynnfrom	299
222	300
berger	301
different	302
close	303
6	304
information	305
version	306
content	307
cc	308
she	309
haven't	310
gd	311
home	312
loop	313
help	314
you're	315
able	316
until	317
k	318
mean	319
those	320
fletcher	321
richard	322
janzen	323
name	324
gary	325
changes	326
over	327
looking	328
nov	329
bodnar	330
brad	331
much	332
adams	333
sherry	334
janet	335
doing	336
c	337
cynthia	338
f	339
david	340
george	341
steve	342
susan	343
give	344
fix	345
risk	346
kevin	347
energy	348
review	349
training	350
end	351
interest	352
little	353
50	354
number	355
fw	356
original	357
having	358
14	359
10	360
contracts	361
flash	362
transportation	363
15	364
type	365
non	366
ready	367
luck	368
pm	369
dan	370
idea	371
website	372
does	373
cal	374
read	375
mon	376
agreements	377
that's	378
g	379
man	380
re	381
gomez	382
sell	383
company	384
12	385
told	386
nancy	387
111	388
dickson	389
greg	390
i've	391
short	392
brian	393
follow	394
into	395
look	396
made	397
while	398
available	399
brokers	400
second	401
offer	402
however	403
harry	404
system	405
tj	406
kelly	407
gotta	408
bryan	409
enro	410
laura	411
t	412
amy	413
ees	414
christopher	415
clark	416
elizabeth	417
details	418
credit	419
card	420
jenny	421
under	422
needs	423
agreement	424
checking	425
melba	426
description	427
yesterday	428
floating	429
6219	430
months	431
dietz	432
agree	433
ms	434
transfer	435
rates	436
customers	437
customer	438
approximately	439
reports	440
errors	441
lblair	442
privileged	443
taken	444
care	445
stay	446
swap	447
probably	448
shelley	449
line	450
set	451
providing	452
asked	453
said	454
discuss	455
several	456
southern	457
district	458
weekend	459
shippers	460
wgr	461
jan	462
year	463
together	464
timely	465
even	466
callans	467
sale	468
between	469
853	470
site	471
rest	472
might	473
ask	474
index	475
forward	476
letter	477
update	478
speed	479
say	480
sign	481
dykes	482
forbish	483
greaney	484
mcdaniel	485
scurlock	486
sturr	487
woodson	488
went	489
due	490
stacey	491
fine	492
traders	493
after	494
getting	495
outlook	496
katherine	497
karen	498
tim	499
diana	500
porter	501
jerry	502
christine	503
hernandez	504
rivers	505
02	506
000p	507
interested	508
ricki	509
flood	510
tropical	511
storm	512
checks	513
marketing	514
dsl	515
frank	516
eees	517
kimberly	518
patrick	519
jeffrey	520
bruce	521
kenneth	522
nguyen	523
msr's	524
http	525
gasfundy	526
gregg	527
language	528
o	529
access	530
someone	531
run	532
peter	533
done	534
seems	535
ted	536
dinner	537
amendment	538
thanksfletch	539
midpoint	540
hub	541
buyer	542
bob	543
move	544
talk	545
18	546
regarding	547
zadow	548
teams	549
items	550
accounts	551
preliminary	552
passing	553
unusual	554
high	555
low	556
dollar	557
amounts	558
answering	559
tas	560
error	561
unbilled	562
processing	563
correcting	564
attending	565
distribution	566
commodity	567
meet	568
myself	569
further	570
mime	571
text	572
plain	573
charset	574
ascii	575
encoding	576
7bit	577
bcc	578
folder	579
origin	580
filename	581
process	582
contact	583
taylor	584
longer	585
format	586
called	587
got	588
stephanie	589
tools	590
75	591
case	592
books	593
best	594
let's	595
business	596
congratulations	597
address	598
people	599
thoughts	600
paul	601
start	602
using	603
cary	604
payment	605
boys	606
times	607
because	608
26	609
28	610
western	611
mitchell	612
left	613
thomas	614
paso	615
kuehl	616
post	617
sending	618
via	619
deadline	620
19	621
updates	622
michelle	623
conversation	624
purchase	625
solutions	626
spreadsheet	627
used	628
cost	629
hunter	630
talking	631
terms	632
pretty	633
town	634
note	635
question	636
tw	637
mmbtu	638
'000	639
mar	640
'01	641
la	642
40	643
knock	644
transaction	645
can't	646
'bout	647
woman	648
trip	649
sbs	650
04	651
gerry	652
ya'll	653
miss	654
hit	655
rain	656
they're	657
actually	658
60	659
degrees	660
13	661
benningfield	662
linhart	663
plant	664
decision	665
9	666
add	667
section	668
copy	669
trying	670
below	671
julie	672
way	673
palmer	674
afternoon	675
says	676
everything	677
currently	678
trouble	679
hop	680
carr	681
shirley	682
perry	683
tracy	684
minter	685
william	686
nron	687
washington	688
ron	689
wilkens	690
mcevoy	691
albert	692
beverly	693
mulligan	694
ward	695
summer	696
office	697
two	698
sounds	699
central	700
trade	701
session	702
magdelena	703
order	704
35842	705
damage	706
relief	707
notice	708
employees	709
sheri	710
stack	711
manager	712
terri	713
rogers	714
msn	715
he's	716
brown	717
johnson	718
jones	719
moore	720
ring	721
jason	722
williams	723
sharon	724
during	725
exceptions	726
doc	727
mw4	728
file	729
framework	730
default	731
asp	732
stands	733
whether	734
definitely	735
response	736
worked	737
obviously	738
shows	739
certain	740
fletchp	741
cable	742
enter	743
street	744
data	745
requests	746
away	747
henry	748
pays	749
seller	750
sturmx3	751
patti	752
pass	753
visit	754
possible	755
plan	756
maybe	757
chance	758
09	759
friday	760
7	761
create	762
thursday	763
located	764
concerning	765
volume	766
calls	767
issues	768
reservation	769
assigning	770
south	771
craig	772
totals	773
weeks	774
including	775
takes	776
'sent	777
pst	778
try	779
bad	780
intra	781
filter	782
socal	783
nymex	784
fletchx3	785
pressure	786
pop	787
around	788
info	789
id	790
quenet	791
louise	792
charting	793
participate	794
ice	795
pay	796
pennwell	797
lead	798
love	799
old	800
tonite	801
prayers	802
provision	803
hear	804
bal	805
traded	806
looks	807
natgas	808
moon	809
conoco	810
remind	811
thought	812
gym	813
pjm	814
launch	815
article	816
park	817
issue	818
past	819
reply	820
resources	821
co2	822
assets	823
owe	824
dth	825
july	826
answers	827
mcdonald	828
fox	829
global	830
collins	831
420	832
678	833
579	834
toby	835
natural	836
nomination	837
05	838
janelle	839
simple	840
filled	841
north	842
party	843
5705	844
things	845
building	846
real	847
spread	848
application	849
include	850
nicor	851
pbr	852
cash	853
swaps	854
names	855
chic	856
ftenergy	857
54	858
operational	859
found	860
person	861
capacity	862
input	863
cycles	864
thrown	865
ie	866
received	867
anr	868
1000	869
heads	870
thanksgiving	871
modify	872
plenty	873
ellen	874
signed	875
appointing	876
enline	877
agent	878
utility	879
coral	880
dave	881
we'll	882
el	883
injections	884
corman	885
sheila	886
nacey	887
test	888
mondayand	889
migrated	890
tuesday's	891
beneficialin	892
minimizing	893
shipper	894
teamsto	895
iam	896
outside	897
possibly	898
anyone	899
offered	900
hundred	901
problem	902
stand	903
commission	904
position	905
option	906
wife	907
feb	908
gets	909
pipe	910
communicate	911
darrell	912
steven	913
accounting	914
related	915
gathering	916
complete	917
room	918
sleep	919
discussed	920
event	921
invoice	922
demand	923
service	924
full	925
nl1	926
schedule	927
perlingiere	928
opus	929
trader	930
desk	931
meetings	932
everyone's	933
okay	934
making	935
fred	936
point	937
far	938
notify	939
such	940
directly	941
provide	942
addresses	943
tell	944
vacation	945
guys	946
everyday	947
sturmenron	948
migration	949
remove	950
leave	951
dale	952
monthly	953
small	954
instructions	955
intranet	956
critical	957
jodie	958
floyd	959
walden	960
aldinger	961
clapper	962
marion	963
galen	964
coon	965
giambrone	966
jack	967
howard	968
lynda	969
laferla	970
phillips	971
locknar	972
09lynn	973
open	974
words	975
proposed	976
cin	977
owned	978
hey	979
tues	980
difficult	981
always	982
something	983
west	984
east	985
cover	986
king	987
remember	988
enr	989
course	990
cruz	991
own	992
brenda	993
assistance	994
thank	995
allison	996
family	997
met	998
employee	999
funds	1000
26th	1001
couple	1002
somewhat	1003
thu	1004
dear	1005
must	1006
closing	1007
ft	1008
others	1009
sue	1010
enough	1011
hi	1012
30pm	1013
baughman	1014
additional	1015
fed	1016
ex	1017
waiting	1018
29th	1019
his	1020
runs	1021
wednesday's	1022
allisonlynn	1023
phillip	1024
irma	1025
peggy	1026
carter	1027
conner	1028
martin	1029
barbara	1030
flores	1031
maria	1032
butler	1033
ned	1034
harris	1035
melissa	1036
kim	1037
andrew	1038
lopez	1039
jennifer	1040
martinez	1041
judy	1042
veronica	1043
sandy	1044
quick	1045
caroline	1046
gregory	1047
shari	1048
stephen	1049
campos	1050
cook	1051
jim	1052
carolyn	1053
gerri	1054
gosnell	1055
victor	1056
link	1057
todd	1058
initial	1059
spaces	1060
saturn	1061
elevator	1062
exit	1063
along	1064
jae	1065
categories	1066
checked	1067
corresponding	1068
msr	1069
msr'sadjust	1070
hopefully	1071
hospital	1072
mom	1073
windows	1074
lynnava	1075
garcia06	1076
ups	1077
oct	1078
27	1079
dec	1080
table	1081
fast	1082
mwsum	1083
vvrroomm	1084
added	1085
rudwell	1086
requested	1087
clear	1088
seen	1089
lanugage	1090
demo	1091
either	1092
blazer	1093
purse	1094
spouses	1095
invited	1096
democrat	1097
impression	1098
temporary	1099
