Word	Label
the	1
to	2
for	3
and	4
in	5
a	6
you	7
enron	8
i	9
was	10
bid	11
of	12
were	13
on	14
he	15
have	16
is	17
not	18
peak	19
this	20
up	21
from	22
at	23
we	24
be	25
will	26
that	27
with	28
they	29
soco	30
are	31
000	32
mid	33
power	34
out	35
no	36
your	37
offer	38
off	39
	40
it	41
tlr's	42
fpl	43
low	44
going	45
me	46
bids	47
my	48
all	49
get	50
into	51
16	52
evening	53
day	54
party	55
lynn	56
as	57
buying	58
thanks	59
serc	60
hour	61
amp	62
saturday	63
i'm	64
sceg	65
us	66
hourly	67
morning	68
2000	69
if	70
30's	71
afternoon	72
only	73
would	74
there	75
please	76
just	77
much	78
again	79
com	80
corp	81
x	82
do	83
did	84
check	85
tva	86
florida	87
good	88
birthday	89
these	90
hou	91
one	92
today	93
here	94
when	95
1	96
m	97
222	98
40's	99
any	100
average	101
fpc	102
also	103
can	104
ava	105
had	106
know	107
9	108
ect	109
call	110
until	111
opc	112
their	113
or	114
sold	115
called	116
it's	117
an	118
what	119
hi	120
big	121
house	122
deal	123
by	124
duke	125
show	126
50	127
21	128
them	129
30	130
5	131
e	132
2	133
hours	134
too	135
sunday	136
down	137
over	138
mw's	139
offered	140
teens	141
frcc	142
how	143
could	144
due	145
ercot	146
10	147
6	148
bought	149
during	150
north	151
love	152
12	153
thank	154
trans	155
20	156
60	157
23	158
schedule	159
joe	160
send	161
judy	162
little	163
ww	164
gorelieberman	165
our	166
ok	167
h	168
mail	169
night	170
tu	171
7	172
19	173
24	174
ecar	175
monday	176
na	177
baby	178
tomorrow	179
go	180
been	181
new	182
15	183
vepco	184
14	185
after	186
anything	187
very	188
50's	189
interest	190
migration	191
so	192
tagg	193
system	194
some	195
documents	196
livelink	197
later	198
but	199
8	200
i'll	201
4	202
than	203
take	204
tuesday	205
0	206
preschedule	207
sell	208
see	209
friday	210
prices	211
prevented	212
l	213
guy	214
time	215
got	216
other	217
don't	218
getting	219
still	220
111	221
back	222
s	223
need	224
bidding	225
60's	226
starting	227
began	228
flat	229
selling	230
cake	231
yes	232
blair	233
lt	234
hr	235
gpgfin	236
then	237
ashford	238
those	239
guys	240
work	241
access	242
has	243
being	244
outlook	245
say	246
well	247
neighbors	248
each	249
let	250
both	251
john	252
list	253
stay	254
gas	255
dec	256
hernandez	257
make	258
17	259
high	260
18	261
hlp	262
05	263
d	264
everyone	265
someone	266
hear	267
come	268
who	269
25	270
trying	271
cal	272
went	273
home	274
gotta	275
type	276
garcia	277
main	278
ce	279
move	280
70	281
south	282
looking	283
20's	284
seller	285
mean	286
office	287
give	288
mom	289
try	290
713	291
853	292
1000	293
ees	294
ended	295
utilities	296
real	297
150	298
sandy	299
like	300
team	301
am	302
find	303
think	304
faxed	305
its	306
keep	307
about	308
now	309
says	310
40	311
75	312
trip	313
already	314
more	315
65	316
http	317
sat	318
can't	319
13	320
told	321
bring	322
csw	323
where	324
80	325
guests	326
else	327
really	328
sure	329
information	330
content	331
et	332
folder	333
lblair	334
non	335
privileged	336
most	337
ameren	338
calendar	339
reliant	340
address	341
ots	342
email	343
hit	344
anyone	345
him	346
brokers	347
boys	348
thought	349
heard	350
while	351
hope	352
click	353
aol	354
instant	355
way	356
what's	357
things	358
chance	359
0383	360
closing	361
book	362
entered	363
fyi	364
strong	365
cpl	366
want	367
rain	368
tal	369
fp	370
o	371
sorry	372
stephanie	373
etc	374
bye	375
since	376
co	377
b	378
sent	379
because	380
limited	381
month	382
drew's	383
his	384
degrees	385
'bout	386
last	387
least	388
various	389
order	390
trained	391
employees	392
databases	393
decaf	394
fax	395
family	396
juan	397
following	398
working	399
yesterday	400
pm	401
nov	402
happy	403
p	404
plenty	405
knock	406
sale	407
own	408
35	409
smith	410
mm	411
didn't	412
instead	413
name	414
3	415
food	416
mijo's	417
el	418
small	419
another	420
traded	421
45	422
01	423
long	424
short	425
hop	426
first	427
that's	428
problem	429
price	430
put	431
myself	432
pay	433
sun	434
unfortunately	435
sellers	436
26	437
able	438
across	439
through	440
showed	441
offers	442
second	443
enronxgate	444
survey	445
notes	446
user	447
vacation	448
woman	449
several	450
risk	451
collection	452
gym	453
times	454
pick	455
alex	456
froggy	457
slowed	458
husband	459
gretchen	460
gtc	461
remained	462
sc	463
schedules	464
started	465
wednesday	466
pre	467
wait	468
look	469
preschedules	470
every	471
thing	472
k	473
january	474
31st	475
rest	476
must	477
per	478
eol	479
line	480
set	481
id	482
quenet	483
j	484
online	485
kelly	486
sending	487
cable	488
same	489
file	490
room	491
counterparty	492
track	493
related	494
miss	495
oscar	496
greg	497
talk	498
super	499
forget	500
verify	501
waiting	502
talking	503
kim	504
theriot	505
piwetz	506
shivers	507
diane	508
ellstrom	509
hunter	510
melissa	511
rodriguez	512
messages	513
june	514
tracked	515
clearing	516
database	517
incoming	518
status	519
such	520
ii	521
ascent	522
encopy	523
training	524
using	525
either	526
card	527
lost	528
i've	529
before	530
actually	531
company	532
coming	533
thanksgiving	534
even	535
jan	536
feb	537
pressure	538
luck	539
messenger	540
hey	541
w	542
right	543
fell	544
tonite	545
29th	546
heads	547
should	548
bush	549
we're	550
nf	551
firm	552
tlr	553
change	554
units	555
buy	556
quiet	557
ectcc	558
subject	559
problems	560
4687034	561
end	562
mexican	563
brought	564
kids	565
mijo	566
chuck	567
y	568
abuela	569
calls	570
start	571
hostess	572
child	573
something	574
week	575
store	576
bag	577
makes	578
save	579
music	580
tommy	581
her	582
few	583
days	584
saw	585
g	586
43	587
cin	588
jennifer	589
dear	590
trouble	591
never	592
remember	593
he's	594
man	595
stuff	596
requested	597
cherie	598
47	599
0999	600
attended	601
classes	602
meetings	603
input	604
workers	605
sleep	606
weekend	607
double	608
russell	609
mime	610
version	611
text	612
plain	613
charset	614
ascii	615
transfer	616
encoding	617
7bit	618
cc	619
bcc	620
'sent	621
origin	622
filename	623
pst	624
taken	625
care	626
numbers	627
god	628
bless	629
generation	630
fe	631
decent	632
energy	633
moving	634
fri	635
quoted	636
36	637
picking	638
lifted	639
aep	640
mistake	641
strongest	642
bad	643
beginning	644
34	645
cut	646
1000mw's	647
jea	648
tall	649
555	650
wtu	651
transmission	652
yet	653
laura	654
best	655
re	656
import	657
tx	658
rob	659
shared	660
mike	661
does	662
doug	663
joseph	664
dean	665
steve	666
gco	667
date	668
permission	669
responsible	670
updating	671
nodo	672
use	673
leave	674
ddd	675
yyy	676
14000	677
thus	678
showing	679
pjm	680
movement	681
boy	682
outside	683
market	684
trades	685
hundred	686
commission	687
position	688
