Word	Label
the	1
to	2
i	3
you	4
a	5
and	6
enron	7
of	8
on	9
is	10
in	11
for	12
lt	13
ect	14
john	15
that	16
this	17
	18
be	19
it	20
have	21
will	22
com	23
are	24
arnold	25
subject	26
with	27
if	28
we	29
hou	30
from	31
your	32
me	33
not	34
at	35
as	36
20001	37
or	38
my	39
would	40
1	41
please	42
gas	43
2000	44
can	45
get	46
2	47
but	48
what	49
was	50
re	51
do	52
pmto	53
by	54
any	55
out	56
know	57
e	58
so	59
phillip	60
ectcc	61
all	62
about	63
up	64
think	65
5	66
am	67
4	68
mail	69
20	70
just	71
amp	72
they	73
x	74
10	75
000	76
an	77
3	78
thanks	79
message	80
one	81
s	82
amto	83
more	84
time	85
like	86
need	87
0	88
there	89
05	90
some	91
call	92
enronxgate	93
he	94
company	95
here	96
01	97
corp	98
going	99
has	100
02	101
cc	102
when	103
03	104
week	105
may	106
our	107
12	108
market	109
let	110
today	111
work	112
us	113
111	114
new	115
how	116
price	117
sent	118
active	119
should	120
see	121
than	122
email	123
04	124
year	125
et	126
09	127
no	128
stacy	129
08	130
now	131
good	132
i'm	133
last	134
been	135
don't	136
them	137
want	138
trading	139
allen	140
comcc	141
next	142
back	143
demand	144
these	145
very	146
were	147
which	148
had	149
25	150
30	151
day	152
only	153
other	154
go	155
also	156
15	157
did	158
still	159
original	160
two	161
after	162
j	163
13	164
hbs	165
jennifer	166
their	167
take	168
make	169
under	170
713	171
much	172
epao	173
mba20002	174
could	175
per	176
well	177
p	178
06	179
over	180
pm	181
way	182
then	183
t	184
use	185
7	186
offer	187
him	188
long	189
853	190
deal	191
prices	192
6	193
into	194
share	195
fax	196
8	197
term	198
give	199
short	200
tomorrow	201
questions	202
thank	203
1000	204
07	205
trade	206
project	207
attached	208
little	209
information	210
m	211
na	212
edu	213
down	214
come	215
who	216
eol	217
its	218
50	219
nymex	220
his	221
it's	222
off	223
free	224
cash	225
friday	226
does	227
send	228
mike	229
office	230
energy	231
credit	232
month	233
meeting	234
before	235
agreement	236
fraser	237
sure	238
26	239
content	240
jarnold	241
right	242
forward	243
bid	244
natural	245
jeff	246
risk	247
16	248
help	249
said	250
power	251
where	252
try	253
really	254
keep	255
million	256
same	257
numbers	258
look	259
change	260
value	261
respond	262
first	263
winter	264
find	265
number	266
d	267
because	268
again	269
tuesday	270
i'll	271
globalp	272
too	273
being	274
pay	275
got	276
storage	277
sell	278
check	279
daily	280
dickson	281
talk	282
game	283
phone	284
following	285
cost	286
since	287
such	288
until	289
weather	290
getting	291
group	292
summer	293
buy	294
end	295
around	296
plan	297
why	298
most	299
version	300
9	301
trying	302
home	303
made	304
27	305
put	306
even	307
days	308
ng	309
place	310
monday	311
night	312
hope	313
changes	314
review	315
14	316
curve	317
l	318
might	319
sunday	320
however	321
weeks	322
23	323
she	324
bcf	325
great	326
mark	327
through	328
regarding	329
yes	330
list	331
thursday	332
desk	333
big	334
point	335
trades	336
jan	337
http	338
k	339
money	340
each	341
f	342
h	343
high	344
business	345
basis	346
29	347
222	348
firm	349
july	350
type	351
frank	352
kim	353
current	354
guys	355
years	356
address	357
between	358
products	359
31	360
interest	361
date	362
markets	363
west	364
april	365
received	366
both	367
slafontaine	368
heads	369
second	370
margaret	371
28	372
transaction	373
another	374
able	375
done	376
access	377
few	378
comments	379
set	380
june	381
larry	382
different	383
management	384
y	385
own	386
var	387
ward	388
floor	389
things	390
system	391
working	392
front	393
level	394
lynn	395
de	396
you're	397
extra	398
financial	399
wednesday	400
21	401
u	402
move	403
buying	404
steve	405
looking	406
looks	407
mailto	408
people	409
19	410
anything	411
play	412
communications	413
futures	414
file	415
24	416
ina	417
less	418
close	419
17	420
doing	421
maybe	422
problem	423
brian	424
best	425
options	426
believe	427
tails	428
having	429
while	430
coming	431
hey	432
north	433
www	434
contract	435
due	436
probably	437
james	438
houston	439
global	440
issues	441
later	442
production	443
those	444
months	445
andy	446
past	447
morning	448
plans	449
start	450
costs	451
below	452
lucy	453
product	454
strong	455
site	456
better	457
michael	458
development	459
thought	460
position	461
lot	462
view	463
enroncc	464
40	465
thing	466
g	467
seems	468
name	469
ce	470
vol	471
transfer	472
18	473
keith	474
open	475
soon	476
dinner	477
eva	478
schedule	479
45	480
line	481
results	482
march	483
portfolio	484
book	485
wanted	486
sign	487
lavorato	488
net	489
pmplease	490
above	491
either	492
higher	493
run	494
receive	495
side	496
yet	497
spread	498
order	499
total	500
available	501
george	502
pao	503
inc	504
im	505
issue	506
agree	507
el	508
every	509
say	510
provide	511
master	512
shall	513
left	514
customers	515
deals	516
couple	517
job	518
program	519
san	520
notes	521
paid	522
worth	523
bullish	524
traders	525
possible	526
tell	527
during	528
customer	529
discuss	530
37	531
4759	532
rent	533
understand	534
tonight	535
team	536
zdnetonebox	537
physical	538
actually	539
i've	540
that's	541
ready	542
afternoon	543
average	544
her	545
dont	546
32	547
contact	548
america	549
fine	550
times	551
aga	552
switching	553
needs	554
already	555
5000	556
selling	557
spreads	558
41	559
show	560
edusubject	561
chance	562
cal	563
oil	564
low	565
lower	566
everyone	567
bearish	568
manager	569
48	570
lost	571
can't	572
question	573
yesterday	574
bcc	575
something	576
service	577
hoskins	578
full	579
apr	580
outlook	581
loss	582
com'	583
paribas	584
toute	585
hear	586
pretty	587
hours	588
far	589
went	590
index	591
sale	592
mime	593
text	594
folder	595
estimates	596
rentroll	597
meet	598
we're	599
continue	600
interested	601
scott	602
loan	603
weekend	604
answer	605
asked	606
though	607
r	608
using	609
note	610
always	611
early	612
fraserenron	613
fundamentals713	614
mary	615
notice	616
646	617
enough	618
oct	619
nov	620
white	621
42	622
based	623
volume	624
certainly	625
blair	626
gregg	627
report	628
increase	629
complete	630
must	631
jim	632
letter	633
agreements	634
else	635
59	636
plain	637
charset	638
encoding	639
origin	640
filename	641
c	642
let's	643
gisb	644
contracts	645
further	646
calls	647
carol	648
longer	649
pira	650
buyer	651
problems	652
non	653
many	654
several	655
trader	656
never	657
we'll	658
saw	659
house	660
spreadsheet	661
ago	662
support	663
additional	664
three	665
w	666
amount	667
except	668
told	669
fill	670
didn't	671
city	672
david	673
currently	674
sorry	675
ny	676
swap	677
75	678
read	679
someone	680
hedge	681
remember	682
care	683
process	684
against	685
okay	686
hard	687
7bit	688
add	689
october	690
construction	691
gary	692
35	693
randy	694
industrial	695
orders	696
quarter	697
st	698
together	699
account	700
thus	701
image	702
painewebber	703
everything	704
socal	705
ascii	706
info	707
rest	708
away	709
attend	710
sold	711
thoughts	712
update	713
happy	714
